condition,target,target_score,stage39e_pca8_reference,delta_vs_stage39e_pca8,guard_threshold,target_guard_pass
dualhead_ema_vicreg_latent16,6e10/A_beta,0.2431781130030666,0.3746733755407961,-0.1314952625377295,-0.05,False
dualhead_ema_vicreg_latent16,AT8,0.38818061798632963,0.5155185235317487,-0.12733790554541902,-0.05,False
dualhead_ema_vicreg_latent16,GFAP,0.1654059230016288,0.3823049963928304,-0.2168990733912016,-0.05,False
dualhead_ema_vicreg_latent16,Iba1,0.020962768894271955,0.056974172849842526,-0.03601140395557057,-0.05,True
dualhead_ema_vicreg_latent16,NeuN,0.2250645674440804,0.4609347456451279,-0.23587017820104747,-0.05,False
dualhead_ema_vicreg_latent8,6e10/A_beta,0.21274033269757617,0.3746733755407961,-0.16193304284321994,-0.05,False
dualhead_ema_vicreg_latent8,AT8,0.3987119437729886,0.5155185235317487,-0.11680657975876008,-0.05,False
dualhead_ema_vicreg_latent8,GFAP,-0.04391854340994637,0.3823049963928304,-0.4262235398027768,-0.05,False
dualhead_ema_vicreg_latent8,Iba1,-0.049389093670224316,0.056974172849842526,-0.10636326652006683,-0.05,False
dualhead_ema_vicreg_latent8,NeuN,0.36560839695222247,0.4609347456451279,-0.0953263486929054,-0.05,False
dualhead_ema_vicreg_latent8_target_shuffled_control,6e10/A_beta,0.03051881266570475,0.3746733755407961,-0.34415456287509133,-0.05,False
dualhead_ema_vicreg_latent8_target_shuffled_control,AT8,-0.10716636615404931,0.5155185235317487,-0.6226848896857979,-0.05,False
dualhead_ema_vicreg_latent8_target_shuffled_control,GFAP,0.14665168219110983,0.3823049963928304,-0.23565331420172056,-0.05,False
dualhead_ema_vicreg_latent8_target_shuffled_control,Iba1,-0.04040649656432131,0.056974172849842526,-0.09738066941416385,-0.05,False
dualhead_ema_vicreg_latent8_target_shuffled_control,NeuN,0.018400932282482636,0.4609347456451279,-0.44253381336264525,-0.05,False
stage39e_pca8_reference,6e10/A_beta,0.3746733755407961,0.3746733755407961,0.0,-0.05,True
stage39e_pca8_reference,AT8,0.5155185235317487,0.5155185235317487,0.0,-0.05,True
stage39e_pca8_reference,GFAP,0.3823049963928304,0.3823049963928304,0.0,-0.05,True
stage39e_pca8_reference,Iba1,0.056974172849842526,0.056974172849842526,0.0,-0.05,True
stage39e_pca8_reference,NeuN,0.4609347456451279,0.4609347456451279,0.0,-0.05,True
supervised_mlp_no_ema_latent8_control,6e10/A_beta,0.205568968818612,0.3746733755407961,-0.1691044067221841,-0.05,False
supervised_mlp_no_ema_latent8_control,AT8,0.3763936341251075,0.5155185235317487,-0.13912488940664114,-0.05,False
supervised_mlp_no_ema_latent8_control,GFAP,-0.005468299156414812,0.3823049963928304,-0.3877732955492452,-0.05,False
supervised_mlp_no_ema_latent8_control,Iba1,-0.04807259127589806,0.056974172849842526,-0.10504676412574059,-0.05,False
supervised_mlp_no_ema_latent8_control,NeuN,0.3691731345215311,0.4609347456451279,-0.09176161112359676,-0.05,False
