resource_id,resource_name,source_url,manual_download_instruction,recommended_local_path,add_to_git,expected_downstream_script,checksum_required,notes
sea_ad_donor_metadata,SEA-AD donor metadata,https://brain-map.org/consortia/sea-ad/our-data,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/donor_metadata/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Safest first source with strict forbidden predictor filter.
sea_ad_mri_volumetrics,Postmortem MRI volumetrics,https://brain-map.org/consortia/sea-ad/our-data,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/mri_volumetrics/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Highest priority benchmark feature after donor metadata.
cellxgene_snrna_metadata,Processed snRNA-seq / CELLxGENE donor-cell metadata,https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/cellxgene_snrna/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Build donor-level summaries; avoid disease-state labels as predictors.
donor_celltype_composition,Donor-level cell-type/subclass composition summaries,https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/donor_celltype_composition/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Tier2 caution features requiring proxy audit.
celltype_module_state_summaries,Cell-type-specific module/state summaries,https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/celltype_module_state_summaries/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Must exclude pseudo-pathology/SEAAD target-proxy state labels.
spatial_transcriptomics_neighborhoods,Spatial transcriptomics neighborhood summaries,https://brain-map.org/consortia/sea-ad/our-data,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/spatial/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Compute neighborhoods without target labels.
snatac_regulatory_modules,snATAC / regulatory module summaries,https://brain-map.org/consortia/sea-ad/our-data,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/snatac/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Potential Tier2 feature; requires modality-specific QC.
microglia_multiregion_states,Microglia-enriched multiregion state summaries,https://brain-map.org/consortia/sea-ad/our-data,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/microglia_multiregion_states/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Avoid SEAAD/disease burden state labels as direct predictors.
he_lfb_non_target_morphology,H&E-LFB or non-target image morphology features,https://brain-map.org/consortia/sea-ad/our-resources,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/image_morphology/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Use non-target stains first; avoid same-stain same-target leakage.
cell_id_conversion_tables,Cell ID conversion / donor linkage tables,https://brain-map.org/consortia/sea-ad/our-resources,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",data/manual/sea_ad/linkage_tables/,False,scripts/build_stage41b_safe_feature_matrices_v1.py,True,Required for safe aggregation and provenance tracking.
sea_ad_whitepapers_methods,SEA-AD white papers and method documents,https://brain-map.org/consortia/sea-ad/our-resources,"Manually locate and download approved files; record filename, URL, checksum, and provenance before Stage41B.",docs/sea_ad_manual_provenance/,docs_only_if_license_allows,scripts/build_stage41b_safe_feature_matrices_v1.py,True,"Use for provenance, not predictors."
