condition,target,fold_id,n_train,n_test,n_features,model,alpha
safe_metadata_only,AT8,1,67,17,17,ridge,30.0
safe_metadata_only,AT8,2,67,17,17,ridge,30.0
safe_metadata_only,AT8,3,67,17,17,ridge,30.0
safe_metadata_only,AT8,4,67,17,17,ridge,30.0
safe_metadata_only,AT8,5,68,16,17,ridge,30.0
safe_metadata_only,6e10/A_beta,1,67,17,17,ridge,30.0
safe_metadata_only,6e10/A_beta,2,67,17,17,ridge,30.0
safe_metadata_only,6e10/A_beta,3,67,17,17,ridge,30.0
safe_metadata_only,6e10/A_beta,4,67,17,17,ridge,30.0
safe_metadata_only,6e10/A_beta,5,68,16,17,ridge,100.0
safe_metadata_only,GFAP,1,67,17,17,ridge,300.0
safe_metadata_only,GFAP,2,67,17,17,ridge,300.0
safe_metadata_only,GFAP,3,67,17,17,ridge,100.0
safe_metadata_only,GFAP,4,67,17,17,ridge,300.0
safe_metadata_only,GFAP,5,68,16,17,ridge,100.0
safe_metadata_only,Iba1,1,67,17,17,ridge,300.0
safe_metadata_only,Iba1,2,67,17,17,ridge,100.0
safe_metadata_only,Iba1,3,67,17,17,ridge,300.0
safe_metadata_only,Iba1,4,67,17,17,ridge,300.0
safe_metadata_only,Iba1,5,68,16,17,ridge,300.0
safe_metadata_only,NeuN,1,67,17,17,ridge,300.0
safe_metadata_only,NeuN,2,67,17,17,ridge,300.0
safe_metadata_only,NeuN,3,67,17,17,ridge,100.0
safe_metadata_only,NeuN,4,67,17,17,ridge,300.0
safe_metadata_only,NeuN,5,68,16,17,ridge,300.0
mri_only,AT8,1,67,17,148,ridge,100.0
mri_only,AT8,2,67,17,148,ridge,300.0
mri_only,AT8,3,67,17,148,ridge,300.0
mri_only,AT8,4,67,17,148,ridge,100.0
mri_only,AT8,5,68,16,148,ridge,300.0
mri_only,6e10/A_beta,1,67,17,148,ridge,30.0
mri_only,6e10/A_beta,2,67,17,148,ridge,300.0
mri_only,6e10/A_beta,3,67,17,148,ridge,300.0
mri_only,6e10/A_beta,4,67,17,148,ridge,300.0
mri_only,6e10/A_beta,5,68,16,148,ridge,300.0
mri_only,GFAP,1,67,17,148,ridge,300.0
mri_only,GFAP,2,67,17,148,ridge,100.0
mri_only,GFAP,3,67,17,148,ridge,300.0
mri_only,GFAP,4,67,17,148,ridge,300.0
mri_only,GFAP,5,68,16,148,ridge,300.0
mri_only,Iba1,1,67,17,148,ridge,300.0
mri_only,Iba1,2,67,17,148,ridge,100.0
mri_only,Iba1,3,67,17,148,ridge,300.0
mri_only,Iba1,4,67,17,148,ridge,30.0
mri_only,Iba1,5,68,16,148,ridge,300.0
mri_only,NeuN,1,67,17,148,ridge,300.0
mri_only,NeuN,2,67,17,148,ridge,300.0
mri_only,NeuN,3,67,17,148,ridge,300.0
mri_only,NeuN,4,67,17,148,ridge,300.0
mri_only,NeuN,5,68,16,148,ridge,300.0
safe_metadata_plus_mri,AT8,1,67,17,165,ridge,100.0
safe_metadata_plus_mri,AT8,2,67,17,165,ridge,300.0
safe_metadata_plus_mri,AT8,3,67,17,165,ridge,100.0
safe_metadata_plus_mri,AT8,4,67,17,165,ridge,30.0
safe_metadata_plus_mri,AT8,5,68,16,165,ridge,300.0
safe_metadata_plus_mri,6e10/A_beta,1,67,17,165,ridge,30.0
safe_metadata_plus_mri,6e10/A_beta,2,67,17,165,ridge,100.0
safe_metadata_plus_mri,6e10/A_beta,3,67,17,165,ridge,300.0
safe_metadata_plus_mri,6e10/A_beta,4,67,17,165,ridge,300.0
safe_metadata_plus_mri,6e10/A_beta,5,68,16,165,ridge,100.0
safe_metadata_plus_mri,GFAP,1,67,17,165,ridge,300.0
safe_metadata_plus_mri,GFAP,2,67,17,165,ridge,100.0
safe_metadata_plus_mri,GFAP,3,67,17,165,ridge,300.0
safe_metadata_plus_mri,GFAP,4,67,17,165,ridge,300.0
safe_metadata_plus_mri,GFAP,5,68,16,165,ridge,100.0
safe_metadata_plus_mri,Iba1,1,67,17,165,ridge,300.0
safe_metadata_plus_mri,Iba1,2,67,17,165,ridge,100.0
safe_metadata_plus_mri,Iba1,3,67,17,165,ridge,100.0
safe_metadata_plus_mri,Iba1,4,67,17,165,ridge,100.0
safe_metadata_plus_mri,Iba1,5,68,16,165,ridge,300.0
safe_metadata_plus_mri,NeuN,1,67,17,165,ridge,300.0
safe_metadata_plus_mri,NeuN,2,67,17,165,ridge,300.0
safe_metadata_plus_mri,NeuN,3,67,17,165,ridge,300.0
safe_metadata_plus_mri,NeuN,4,67,17,165,ridge,300.0
safe_metadata_plus_mri,NeuN,5,68,16,165,ridge,300.0
