dataset_id,mechanism_id,candidate_gene_or_module,present_in_dataset,support_test_performed,support_direction,support_strength,conflicting_signal,not_testable_reason,allowed_interpretation
GSE160936,M1,Endolysosomal / autophagy / proteostasis,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE160936,M2,Glial activation / disease-associated microglia-astrocyte state,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE160936,M3,Oxidative stress / antioxidant response,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE160936,M4,Inflammatory signaling / transport / cell-state modulation,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE125050,M1,Endolysosomal / autophagy / proteostasis,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE125050,M2,Glial activation / disease-associated microglia-astrocyte state,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE125050,M3,Oxidative stress / antioxidant response,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE125050,M4,Inflammatory signaling / transport / cell-state modulation,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE157827,M1,Endolysosomal / autophagy / proteostasis,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE157827,M2,Glial activation / disease-associated microglia-astrocyte state,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE157827,M3,Oxidative stress / antioxidant response,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE157827,M4,Inflammatory signaling / transport / cell-state modulation,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE138852,M1,Endolysosomal / autophagy / proteostasis,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE138852,M2,Glial activation / disease-associated microglia-astrocyte state,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE138852,M3,Oxidative stress / antioxidant response,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE138852,M4,Inflammatory signaling / transport / cell-state modulation,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE174367,M1,Endolysosomal / autophagy / proteostasis,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE174367,M2,Glial activation / disease-associated microglia-astrocyte state,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE174367,M3,Oxidative stress / antioxidant response,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
GSE174367,M4,Inflammatory signaling / transport / cell-state modulation,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
stage37_38_39_external_outputs,M1,Endolysosomal / autophagy / proteostasis,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
stage37_38_39_external_outputs,M2,Glial activation / disease-associated microglia-astrocyte state,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
stage37_38_39_external_outputs,M3,Oxidative stress / antioxidant response,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
stage37_38_39_external_outputs,M4,Inflammatory signaling / transport / cell-state modulation,False,False,not_testable,not_testable,False,No compatible processed external expression/support matrix was available for Stage42 computation.,external supportive consistency only; no validation claim
