dataset_id,success,n_obs,n_columns,path,error
3e87b1fa-472a-401c-8fa8-f31c10437d5f,True,2069,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_3e87b1fa-472a-401c-8fa8-f31c10437d5f.csv,
81e91ff8-f619-4ad1-a0c3-b45e1dc63f68,True,1496,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_81e91ff8-f619-4ad1-a0c3-b45e1dc63f68.csv,
2ecc72f8-085f-4e86-8692-771f316c54f6,True,2575,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_2ecc72f8-085f-4e86-8692-771f316c54f6.csv,
236baeda-5fdd-41bf-8e32-bae21ac7d435,True,4328,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_236baeda-5fdd-41bf-8e32-bae21ac7d435.csv,
fc0ceb80-d2d9-47c1-9d78-b0e45c64c500,True,1877,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_fc0ceb80-d2d9-47c1-9d78-b0e45c64c500.csv,
2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb,True,4860,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb.csv,
07428d73-fdea-4bd4-a801-94b00c4d961c,True,2590,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_07428d73-fdea-4bd4-a801-94b00c4d961c.csv,
8c6ed88f-11bf-4159-bad7-ff41fb1e1eca,True,10928,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_8c6ed88f-11bf-4159-bad7-ff41fb1e1eca.csv,
f67f2cfa-ba45-4f77-8e26-64a15f666043,True,9203,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_f67f2cfa-ba45-4f77-8e26-64a15f666043.csv,
6cda07c7-5d7a-41ba-9799-5bb73da25a60,True,4097,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_6cda07c7-5d7a-41ba-9799-5bb73da25a60.csv,
0eccaf0c-19d2-4900-9962-899378adf8be,True,9446,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_0eccaf0c-19d2-4900-9962-899378adf8be.csv,
5ae6ab72-1927-4d5b-9826-86be65791293,True,22168,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_5ae6ab72-1927-4d5b-9826-86be65791293.csv,
c76098ba-eed3-45b1-98f2-96fcac55ed18,True,40000,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_c76098ba-eed3-45b1-98f2-96fcac55ed18.csv,
0374f03c-62e2-4859-8a14-acb00b0627d5,True,15412,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_0374f03c-62e2-4859-8a14-acb00b0627d5.csv,
e8ac3386-31d4-48ba-aa70-1bae0cf020e7,True,21443,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_e8ac3386-31d4-48ba-aa70-1bae0cf020e7.csv,
1c05b7ae-4dfb-4c1b-a441-4b23c04b169e,True,32493,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_1c05b7ae-4dfb-4c1b-a441-4b23c04b169e.csv,
75e6eee5-d0e3-4291-9360-f288ffe6c7c4,True,20741,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_75e6eee5-d0e3-4291-9360-f288ffe6c7c4.csv,
8a8aedcb-5bb3-453d-a9f0-f37951ae1515,True,16227,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_8a8aedcb-5bb3-453d-a9f0-f37951ae1515.csv,
c19275f5-739e-4796-ad5d-b0830b760db1,True,18402,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_c19275f5-739e-4796-ad5d-b0830b760db1.csv,
58c43cc2-e00e-43c4-94eb-8501369264e1,True,29041,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_58c43cc2-e00e-43c4-94eb-8501369264e1.csv,
100c6145-7b0e-4ba6-81c1-ffebed0d1ac4,True,42486,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_100c6145-7b0e-4ba6-81c1-ffebed0d1ac4.csv,
1c9f5c6b-73da-4d17-95de-df080ffe0df1,True,13909,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_1c9f5c6b-73da-4d17-95de-df080ffe0df1.csv,
b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e,True,24792,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e.csv,
b8920ef5-7d22-497b-abca-a7a9eb76d79a,True,19191,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_b8920ef5-7d22-497b-abca-a7a9eb76d79a.csv,
eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0,True,42921,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0.csv,
79d485a8-b8b1-49f2-85aa-c44e5206aa53,True,26129,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_79d485a8-b8b1-49f2-85aa-c44e5206aa53.csv,
a190b2e9-3796-4785-9a2f-013e2a9a43e6,True,22891,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_a190b2e9-3796-4785-9a2f-013e2a9a43e6.csv,
d0ea3ec4-0f3b-4649-9146-1c0b5f303a55,True,18903,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_d0ea3ec4-0f3b-4649-9146-1c0b5f303a55.csv,
146216e1-ec30-4fee-a1fb-25defe801e2d,True,58265,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_146216e1-ec30-4fee-a1fb-25defe801e2d.csv,
5097d77d-08fa-4105-a18f-4072d61522a4,True,70009,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_5097d77d-08fa-4105-a18f-4072d61522a4.csv,
a4e89c26-e8d4-4471-9b06-16a1405880f0,True,29343,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_a4e89c26-e8d4-4471-9b06-16a1405880f0.csv,
