gene_symbol,stage47_priority_rank,mechanism_bin,stage36e_mechanism_id,stage36e_mechanism_name,target_contexts_from_stage36e,present_in_stage36c_ranked_genes,present_in_stage36d_shortlist,present_in_stage36e_frozen_registry,present_in_stage38c_external_support_priority,present_in_v2_exploratory_context,present_in_stage47_druggability_mapping,evidence_source_count,evidence_tier,external_support_evidence,cell_state_evidence,druggability_evidence,recommended_followup,safe_claim,unsafe_claims_to_avoid,dossier_status,recommended_experiment,recommended_next_data,risk_of_overclaiming
APOE,1,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
BSG,2,Inflammatory signaling / transport / cell-state modulation,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ;AT8,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
CST7,3,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
CTSB,4,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,NeuN,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
CTSD,5,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,6e10/Aβ;AT8;GFAP;NeuN,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
GPX4,6,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,Iba1,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
HMOX1,7,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,Iba1,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
IL27RA,8,Inflammatory signaling / transport / cell-state modulation,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ;AT8,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
LAMP2,9,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,NeuN,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
LAPTM5,10,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,NeuN,True,True,True,True,True,True,6,Tier 1,not_testable,v2 exploratory or microglia/cell-state file support,no local druggability resource mapped in Stage47 unless listed separately,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,traceable,cell-type-specific expression confirmation; CRISPRi/CRISPRa or pharmacologic perturbation only as future validation,spatial transcriptomics/protein colocalization and curated druggability resource,moderate/high if called causal or therapeutic
