gene_symbol,stage47_priority_rank,present_in_stage36c_ranked_genes,present_in_stage36d_shortlist,present_in_stage36e_frozen_registry,present_in_stage38c_external_support_priority,present_in_v2_exploratory_context,present_in_stage47_druggability_mapping,evidence_source_count,dossier_status
APOE,1,True,True,True,True,True,True,6,traceable
BSG,2,True,True,True,True,True,True,6,traceable
CST7,3,True,True,True,True,True,True,6,traceable
CTSB,4,True,True,True,True,True,True,6,traceable
CTSD,5,True,True,True,True,True,True,6,traceable
GPX4,6,True,True,True,True,True,True,6,traceable
HMOX1,7,True,True,True,True,True,True,6,traceable
IL27RA,8,True,True,True,True,True,True,6,traceable
LAMP2,9,True,True,True,True,True,True,6,traceable
LAPTM5,10,True,True,True,True,True,True,6,traceable
LGALS3,11,True,True,True,True,True,True,6,traceable
NFKBIA,12,True,True,True,True,True,True,6,traceable
NPC2,13,True,True,True,True,True,True,6,traceable
NQO1,14,True,True,True,True,True,True,6,traceable
SLC6A12,15,True,True,True,True,True,True,6,traceable
SOD1,16,True,True,True,True,True,True,6,traceable
SOD2,17,True,True,True,True,True,True,6,traceable
TREM2,18,True,True,True,True,True,True,6,traceable
