gene_symbol,pubmed_ad_records,pubmed_cell_state_records,ad_evidence_class
APOE,20,20,metadata_support_detected
BSG,20,7,metadata_support_detected
CST7,20,16,metadata_support_detected
CTSB,20,20,metadata_support_detected
CTSD,20,20,metadata_support_detected
GPX4,20,20,metadata_support_detected
HMOX1,20,20,metadata_support_detected
IL27RA,3,0,metadata_support_detected
LAMP2,20,20,metadata_support_detected
LAPTM5,10,8,metadata_support_detected
LGALS3,20,20,metadata_support_detected
NFKBIA,20,20,metadata_support_detected
NPC2,20,11,metadata_support_detected
NQO1,20,20,metadata_support_detected
SLC6A12,6,2,metadata_support_detected
SOD1,20,20,metadata_support_detected
SOD2,20,20,metadata_support_detected
TREM2,20,20,metadata_support_detected
