gene_symbol,source_name,mapping_status,drug_or_compound,interaction_type,evidence_level,therapeutic_claim_allowed,notes
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Apolipoprotein B-100
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Tumor necrosis factor ligand superfamily member 10
APOE,ChEMBL,target_search_hit,,NUCLEIC-ACID,target_search_metadata,False,Apo-B 100 mRNA
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Apolipoprotein C-III
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Apolipoprotein L1
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Apolipoprotein A-I
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Tumor necrosis factor receptor superfamily member 6
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Tumor necrosis factor receptor superfamily member 6
APOE,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Biotin--protein ligase
BSG,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Basigin
BSG,ChEMBL,target_search_hit,,PROTEIN-PROTEIN INTERACTION,target_search_metadata,False,Protein cereblon/Basigin
CTSB,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,,SELECTIVITY GROUP,target_search_metadata,False,Cathepsin (B and K)
CTSD,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin D
CTSD,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Cathepsin D
GPX4,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Phospholipid hydroperoxide glutathione peroxidase GPX4
GPX4,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Phospholipid hydroperoxide glutathione peroxidase GPX4
GPX4,ChEMBL,target_search_hit,,PROTEIN-PROTEIN INTERACTION,target_search_metadata,False,Protein cereblon/Phospholipid hydroperoxide glutathione peroxidase GPX4
GPX4,ChEMBL,target_search_hit,,PROTEIN-PROTEIN INTERACTION,target_search_metadata,False,von Hippel-Lindau disease tumor suppressor/Phospholipid hydroperoxide glutathione peroxidase GPX4
GPX4,ChEMBL,target_search_hit,,PROTEIN-PROTEIN INTERACTION,target_search_metadata,False,Baculoviral IAP repeat-containing protein 2/Phospholipid hydroperoxide glutathione peroxidase GPX4
HMOX1,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Heme oxygenase 1
HMOX1,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Heme oxygenase 1
HMOX1,ChEMBL,target_search_hit,,SINGLE PROTEIN,target_search_metadata,False,Heme oxygenase 1
