input_id,path,found,input_type,n_rows_if_readable,n_columns_if_readable,donor_id_column_found,gene_or_module_columns_found,usable_for_stage50,reason_if_not_usable,notes
EXPR002,data\processed\sea_ad_mtg_microglia_pvm_pseudobulk.csv,True,donor_expression_or_module_matrix,89,36602,Donor ID,36600,True,,raw matrix is local only and will not be committed; exact forbidden metadata columns would be stripped before any future training: GFAP
EXPR003,data\processed\sea_ad_mtg_microglia_pvm_pseudobulk_all_refresh.csv,True,donor_expression_or_module_matrix,89,36602,Donor ID,36600,True,,raw matrix is local only and will not be committed; exact forbidden metadata columns would be stripped before any future training: GFAP
EXPR004,data\processed\sea_ad_mtg_microglia_pvm_pseudobulk_expanded_modules.csv,True,donor_expression_or_module_matrix,89,36602,Donor ID,36600,True,,raw matrix is local only and will not be committed; exact forbidden metadata columns would be stripped before any future training: GFAP
EXPR005,data\processed\sea_ad_mtg_microglia_pvm_pseudobulk_module_preserved_refresh.csv,True,donor_expression_or_module_matrix,89,36602,Donor ID,36600,True,,raw matrix is local only and will not be committed; exact forbidden metadata columns would be stripped before any future training: GFAP
EXPR006,data\processed\sea_ad_mtg_microglia_pvm_pseudobulk_refresh.csv,True,donor_expression_or_module_matrix,89,36602,Donor ID,36600,True,,raw matrix is local only and will not be committed; exact forbidden metadata columns would be stripped before any future training: GFAP
EXPR007,data\processed\sea_ad_mtg_microglia_pvm_smoke_pseudobulk.csv,True,donor_expression_or_module_matrix,89,36602,Donor ID,36600,True,,raw matrix is local only and will not be committed; exact forbidden metadata columns would be stripped before any future training: GFAP
EXPR001,data\external\gse138852\processed\stage38a_gse138852_candidate_expression.csv,True,donor_expression_or_module_matrix,13214,13,,13,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
EXPR011,results\tables\microglia_pvm_pseudobulk_ridge_1000genes.csv,True,donor_expression_or_module_matrix,17,5,,5,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
EXPR013,results\tables\stage50_expression_matrix_inventory_v1.csv,True,donor_expression_or_module_matrix,13,11,,11,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
EXPR012,results\tables\multitarget_oof_jepa_vs_pseudobulk_summary.csv,True,donor_expression_or_module_matrix,9,10,,10,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
EXPR008,results\tables\gse138852_graph_jepa_zero_shot_aligned_module_scores.csv,True,donor_expression_or_module_matrix,6,29,,29,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
EXPR009,results\tables\gse138852_graph_jepa_zero_shot_baseline_module_scores.csv,True,donor_expression_or_module_matrix,6,29,,29,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
EXPR010,results\tables\gse138852_graph_jepa_zero_shot_module_scores.csv,True,donor_expression_or_module_matrix,6,25,,25,False,"requires donor/sample id, >=20 rows, and >=5 non-forbidden feature columns",raw matrix is local only and will not be committed
