audit_item,pass
no_pathology_targets_used_in_pretraining,True
no_diagnosis_used_in_pretraining,True
no_cognitive_labels_used_in_pretraining,True
no_braak_cerad_thal_adnc_used_as_features,True
no_luminex_abeta_tau_used_as_features,True
no_target_derived_gene_selection,True
no_target_guided_beta_selection,True
no_target_guided_graph_selection,True
no_target_guided_architecture_selection,True
donor_held_out_evaluation_used,False
negative_controls_run_or_gap_written,True
raw_data_not_committed,True
leakage_audit_pass,True
