model_variant,latent_dim,seed,target,pooled_oof_spearman,n_donors
gene_preserved_state_modules,8,107,6e10/A_beta,0.28779993925280956,84
gene_preserved_state_modules,8,107,AT8,0.49508960210590264,84
gene_preserved_state_modules,8,107,GFAP,0.27866761162296244,84
gene_preserved_state_modules,8,107,Iba1,0.05262731598663562,84
gene_preserved_state_modules,8,107,NeuN,0.200323985015693,84
gene_preserved_state_modules,8,211,6e10/A_beta,0.2846410853498026,84
gene_preserved_state_modules,8,211,AT8,0.4437379771185582,84
gene_preserved_state_modules,8,211,GFAP,0.23069758023691406,84
gene_preserved_state_modules,8,211,Iba1,-0.03138604839526172,84
gene_preserved_state_modules,8,211,NeuN,0.3681887212716412,84
gene_preserved_state_modules,8,307,6e10/A_beta,0.3226890756302521,84
gene_preserved_state_modules,8,307,AT8,0.5117950794775742,84
gene_preserved_state_modules,8,307,GFAP,0.2133036347068948,84
gene_preserved_state_modules,8,307,Iba1,-0.041915561405285004,84
gene_preserved_state_modules,8,307,NeuN,0.33323883770375623,84
gene_preserved_state_modules,16,107,6e10/A_beta,0.23067733117343323,84
gene_preserved_state_modules,16,107,AT8,0.41158246431102563,84
gene_preserved_state_modules,16,107,GFAP,0.21083324896223551,84
gene_preserved_state_modules,16,107,Iba1,-0.13850359420876784,84
gene_preserved_state_modules,16,107,NeuN,0.17677432418750633,84
gene_preserved_state_modules,16,211,6e10/A_beta,0.22294218892376227,84
gene_preserved_state_modules,16,211,AT8,0.46348081401235197,84
gene_preserved_state_modules,16,211,GFAP,0.2077958894401134,84
gene_preserved_state_modules,16,211,Iba1,-0.1149944315075428,84
gene_preserved_state_modules,16,211,NeuN,0.35364989369241673,84
gene_preserved_state_modules,16,307,6e10/A_beta,0.14605649488711148,84
gene_preserved_state_modules,16,307,AT8,0.37969018932874354,84
gene_preserved_state_modules,16,307,GFAP,0.14447706793560797,84
gene_preserved_state_modules,16,307,Iba1,-0.12505821605750733,84
gene_preserved_state_modules,16,307,NeuN,0.25598866052445074,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,107,6e10/A_beta,0.2961223043434241,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,107,AT8,0.45584691708008507,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,107,GFAP,0.26001822415713277,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,107,Iba1,0.08040903108231244,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,107,NeuN,0.5127467854611725,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,211,6e10/A_beta,0.1440518376025109,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,211,AT8,0.5313556748000405,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,211,GFAP,0.19477574162195,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,211,Iba1,0.03723802774121697,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,211,NeuN,0.5084742330667207,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,307,6e10/A_beta,0.20080996253923256,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,307,AT8,0.4811784954945834,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,307,GFAP,0.23168978434747395,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,307,Iba1,0.03934393034322163,84
negative_control_programming_plus_state_shuffled_gene_preserved,8,307,NeuN,0.5402247646046371,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,107,6e10/A_beta,0.25594816239748913,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,107,AT8,0.4605042016806723,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,107,GFAP,0.2576693327933583,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,107,Iba1,0.03201376936316695,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,107,NeuN,0.4937734129796497,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,211,6e10/A_beta,0.10950693530424217,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,211,AT8,0.45272856130403966,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,211,GFAP,0.16450339171813305,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,211,Iba1,0.047767540751240255,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,211,NeuN,0.49029057406094967,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,307,6e10/A_beta,0.13283385643413992,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,307,AT8,0.44088285916776354,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,307,GFAP,0.20253113293510175,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,307,Iba1,-0.007836387567075024,84
negative_control_programming_plus_state_shuffled_gene_preserved,16,307,NeuN,0.48261617900172116,84
programming_only_pca_jepa,8,107,6e10/A_beta,0.299402652627316,84
programming_only_pca_jepa,8,107,AT8,0.4488407411157234,84
programming_only_pca_jepa,8,107,GFAP,0.2621848739495798,84
programming_only_pca_jepa,8,107,Iba1,0.06724713981978335,84
programming_only_pca_jepa,8,107,NeuN,0.5135364989369242,84
programming_only_pca_jepa,8,211,6e10/A_beta,0.1527589348992609,84
programming_only_pca_jepa,8,211,AT8,0.525645438898451,84
programming_only_pca_jepa,8,211,GFAP,0.19354054874962032,84
programming_only_pca_jepa,8,211,Iba1,0.035537106408828595,84
programming_only_pca_jepa,8,211,NeuN,0.5144072086665992,84
programming_only_pca_jepa,8,307,6e10/A_beta,0.19566670041510578,84
programming_only_pca_jepa,8,307,AT8,0.4700820087070973,84
programming_only_pca_jepa,8,307,GFAP,0.22883466639667918,84
programming_only_pca_jepa,8,307,Iba1,0.04687658195808444,84
programming_only_pca_jepa,8,307,NeuN,0.5435253619520097,84
programming_only_pca_jepa,16,107,6e10/A_beta,0.26659916978839726,84
programming_only_pca_jepa,16,107,AT8,0.44728156322770074,84
programming_only_pca_jepa,16,107,GFAP,0.2548142148425635,84
programming_only_pca_jepa,16,107,Iba1,0.05653538523843272,84
programming_only_pca_jepa,16,107,NeuN,0.48911612837906243,84
programming_only_pca_jepa,16,211,6e10/A_beta,0.14038675711248355,84
programming_only_pca_jepa,16,211,AT8,0.429725625189835,84
programming_only_pca_jepa,16,211,GFAP,0.17339273058621038,84
programming_only_pca_jepa,16,211,Iba1,0.04329249772198036,84
programming_only_pca_jepa,16,211,NeuN,0.49351017515439916,84
programming_only_pca_jepa,16,307,6e10/A_beta,0.17632884479092842,84
programming_only_pca_jepa,16,307,AT8,0.43582059329756007,84
programming_only_pca_jepa,16,307,GFAP,0.19339880530525463,84
programming_only_pca_jepa,16,307,Iba1,0.012270932469373292,84
programming_only_pca_jepa,16,307,NeuN,0.48441834565151365,84
programming_plus_gene_preserved_state_modules,8,107,6e10/A_beta,0.3076237724005265,84
programming_plus_gene_preserved_state_modules,8,107,AT8,0.45416624481117746,84
programming_plus_gene_preserved_state_modules,8,107,GFAP,0.27077047686544503,84
programming_plus_gene_preserved_state_modules,8,107,Iba1,0.08057102359015895,84
programming_plus_gene_preserved_state_modules,8,107,NeuN,0.5098106712564545,84
programming_plus_gene_preserved_state_modules,8,211,6e10/A_beta,0.17521514629948365,84
programming_plus_gene_preserved_state_modules,8,211,AT8,0.5204414295838817,84
programming_plus_gene_preserved_state_modules,8,211,GFAP,0.20404981269616282,84
programming_plus_gene_preserved_state_modules,8,211,Iba1,0.038918700010124534,84
programming_plus_gene_preserved_state_modules,8,211,NeuN,0.5138199858256555,84
programming_plus_gene_preserved_state_modules,8,307,6e10/A_beta,0.20785663663055584,84
programming_plus_gene_preserved_state_modules,8,307,AT8,0.4813202389389491,84
programming_plus_gene_preserved_state_modules,8,307,GFAP,0.2343221625999798,84
programming_plus_gene_preserved_state_modules,8,307,Iba1,0.048071276703452466,84
programming_plus_gene_preserved_state_modules,8,307,NeuN,0.5421686746987953,84
programming_plus_gene_preserved_state_modules,16,107,6e10/A_beta,0.2513516249873443,84
programming_plus_gene_preserved_state_modules,16,107,AT8,0.4425230333097095,84
programming_plus_gene_preserved_state_modules,16,107,GFAP,0.27093246937329146,84
programming_plus_gene_preserved_state_modules,16,107,Iba1,0.04975194897236002,84
programming_plus_gene_preserved_state_modules,16,107,NeuN,0.4955553305659613,84
programming_plus_gene_preserved_state_modules,16,211,6e10/A_beta,0.14631973271236204,84
programming_plus_gene_preserved_state_modules,16,211,AT8,0.43567884985319427,84
programming_plus_gene_preserved_state_modules,16,211,GFAP,0.17276500961830515,84
programming_plus_gene_preserved_state_modules,16,211,Iba1,0.04930646957578212,84
programming_plus_gene_preserved_state_modules,16,211,NeuN,0.491343525361952,84
programming_plus_gene_preserved_state_modules,16,307,6e10/A_beta,0.17529614255340692,84
programming_plus_gene_preserved_state_modules,16,307,AT8,0.4340386757112484,84
programming_plus_gene_preserved_state_modules,16,307,GFAP,0.2101042826769262,84
programming_plus_gene_preserved_state_modules,16,307,Iba1,0.0010934494279639566,84
programming_plus_gene_preserved_state_modules,16,307,NeuN,0.4880226789510985,84
