model_variant,n_runs,mean,sd,min,max,fraction_above_stage27c,fraction_above_same80_mean
dlpfc_state_abundance_only,20,0.14558087201125175,0.024388838728702386,0.09623066104078763,0.20109235818096577,0.0,0.0
dlpfc_state_expression_modules_only,20,0.17239943741209565,0.04246999798212341,0.09943272386310362,0.233033286451008,0.0,0.0
dlpfc_state_modules_only,20,0.1686964369432724,0.0438568393985798,0.0890576652601969,0.23543366150961093,0.0,0.0
mtg_programming_only_same80,20,0.26612423816221287,0.033899077366436756,0.2189639006094702,0.3358368495077356,0.05,0.4
mtg_programming_plus_dlpfc_state_abundance,20,0.2666490857946554,0.03404287512309488,0.22089076418190343,0.3377449601500234,0.05,0.45
mtg_programming_plus_dlpfc_state_expression_modules,20,0.2761298640412565,0.03223246899095773,0.23294889826535398,0.34314580403188,0.1,0.6
mtg_programming_plus_dlpfc_state_modules_full,20,0.2773150492264417,0.03185350943301839,0.23203000468823257,0.34332395686826067,0.1,0.6
negative_control_donor_shuffled_dlpfc_expression_modules,20,0.2643696671354899,0.030611356710792847,0.22107829348335678,0.3254758556024379,0.0,0.45
negative_control_donor_shuffled_dlpfc_full,20,0.27209751523675574,0.0317194276749064,0.22188935771214252,0.3395030473511486,0.05,0.45
negative_control_expression_permuted_within_donor,20,0.28029043600562586,0.032307043244436964,0.23028598218471635,0.3421190811064229,0.1,0.65
negative_control_expression_permuted_within_state,20,0.27329137365213313,0.03283013813818313,0.23000468823253634,0.3330004688232536,0.1,0.55
negative_control_module_gene_shuffled_matched_size,20,0.27207172995780593,0.03260943464768901,0.23407876230661043,0.33495546179090485,0.1,0.6
negative_control_random_gene_modules_matched_size,20,0.27286849507735583,0.03500861144039061,0.22452883263009848,0.3383544303797469,0.1,0.55
negative_control_state_label_shuffled_within_donor,20,0.28139076418190345,0.03114149022816151,0.2394702297233943,0.34307079231129867,0.1,0.65
