signature_type,signature_name,leave_one_out_score,estimated_positive_contribution,evidence_strength,handoff_status,allowed_claim
state_or_supertype,Micro-PVM_3-SEAAD,0.2725740740740741,0.004740975152367599,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating state-stratified signature only
module_family,lysosomal_endolysosomal,0.274648382559775,0.002666666666666706,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating module signature only
module_family,dam_lipid_trem2_apoe,0.2749383497421472,0.0023766994842944755,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating module signature only
state_or_supertype,Micro-PVM_1,0.2750813408345054,0.002233708391936262,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating state-stratified signature only
module_family,complement_phagocytosis,0.2751078293483356,0.0022072198781060703,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating module signature only
state_or_supertype,Micro-PVM_1_1-SEAAD,0.2753251289263947,0.0019899203000469656,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating state-stratified signature only
state_or_supertype,Micro-PVM_2_1-SEAAD,0.275374589779653,0.001940459446788667,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating state-stratified signature only
state_or_supertype,Micro-PVM_2,0.2755478199718706,0.0017672292545710677,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating state-stratified signature only
module_family,antigen_presentation,0.2762637130801688,0.0010513361462728965,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating module signature only
module_family,oxidative_stress_gene_preserved,0.2763581809657759,0.0009568682606657664,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating module signature only
module_family,interferon_inflammatory,0.2765764181903422,0.0007386310360995019,weak_positive_diagnostic,candidate_for_external_support,hypothesis-generating module signature only
state_or_supertype,Micro-PVM_2_2-SEAAD,0.2782566807313643,-0.0009416315049226021,unstable_or_negative,keep_for_supplement,hypothesis-generating state-stratified signature only
feature_family_inventory,state_abundance__obs_state_count_or_fraction,,,inventory_only,keep_for_supplement,inventory only; not validated biomarker
feature_family_inventory,antigen_presentation__gene_expression_module_score_within_state,,,inventory_only,manual_review_required,inventory only; not validated biomarker
feature_family_inventory,complement_phagocytosis__gene_expression_module_score_within_state,,,inventory_only,manual_review_required,inventory only; not validated biomarker
feature_family_inventory,dam_lipid_trem2_apoe__gene_expression_module_score_within_state,,,inventory_only,manual_review_required,inventory only; not validated biomarker
feature_family_inventory,interferon_inflammatory__gene_expression_module_score_within_state,,,inventory_only,manual_review_required,inventory only; not validated biomarker
feature_family_inventory,lysosomal_endolysosomal__gene_expression_module_score_within_state,,,inventory_only,manual_review_required,inventory only; not validated biomarker
feature_family_inventory,oxidative_stress_gene_preserved__gene_expression_module_score_within_state,,,inventory_only,manual_review_required,inventory only; not validated biomarker
