dataset,feature,metric,target,spearman,n_donors
DLPFC,antigen_presentation,mean,AT8,-0.0892639474917956,80
DLPFC,antigen_presentation,mean,6e10/A_beta,-0.011064228785747773,80
DLPFC,antigen_presentation,mean,GFAP,-0.03982653539615565,80
DLPFC,antigen_presentation,mean,Iba1,0.02627754336615096,80
DLPFC,antigen_presentation,mean,NeuN,0.19737458977965308,80
DLPFC,antigen_presentation,variance,AT8,0.017885607126113458,80
DLPFC,antigen_presentation,variance,6e10/A_beta,0.11802625410220348,80
DLPFC,antigen_presentation,variance,GFAP,0.04378809188935771,80
DLPFC,antigen_presentation,variance,Iba1,-0.01237693389592124,80
DLPFC,antigen_presentation,variance,NeuN,-0.061322081575246136,80
DLPFC,antigen_presentation,q90,AT8,-0.05496952648851383,80
DLPFC,antigen_presentation,q90,6e10/A_beta,0.020768870135958743,80
DLPFC,antigen_presentation,q90,GFAP,0.010993905297702767,80
DLPFC,antigen_presentation,q90,Iba1,0.006797937177684015,80
DLPFC,antigen_presentation,q90,NeuN,0.09547585560243789,80
DLPFC,antigen_presentation,q95,AT8,-0.027918424753867795,80
DLPFC,antigen_presentation,q95,6e10/A_beta,0.051781528363806846,80
DLPFC,antigen_presentation,q95,GFAP,0.04285044538209095,80
DLPFC,antigen_presentation,q95,Iba1,-0.019432723863103612,80
DLPFC,antigen_presentation,q95,NeuN,0.05304735114861698,80
DLPFC,antigen_presentation,q99,AT8,0.02257383966244726,80
DLPFC,antigen_presentation,q99,6e10/A_beta,0.052203469292076886,80
DLPFC,antigen_presentation,q99,GFAP,0.04690576652601969,80
DLPFC,antigen_presentation,q99,Iba1,0.020346929207688703,80
DLPFC,antigen_presentation,q99,NeuN,0.012001875293014533,80
DLPFC,antigen_presentation,fraction_high_global_q95,AT8,-0.025926533681143043,80
DLPFC,antigen_presentation,fraction_high_global_q95,6e10/A_beta,0.03799901545852882,80
DLPFC,antigen_presentation,fraction_high_global_q95,GFAP,0.053259570093632004,80
DLPFC,antigen_presentation,fraction_high_global_q95,Iba1,-0.004688342437819719,80
DLPFC,antigen_presentation,fraction_high_global_q95,NeuN,0.04906350361178336,80
DLPFC,antigen_presentation,top_10pct_mean,AT8,-0.016432255039849977,80
DLPFC,antigen_presentation,top_10pct_mean,6e10/A_beta,0.05693858415377403,80
DLPFC,antigen_presentation,top_10pct_mean,GFAP,0.03518518518518519,80
DLPFC,antigen_presentation,top_10pct_mean,Iba1,0.0014064697609001409,80
DLPFC,antigen_presentation,top_10pct_mean,NeuN,0.04596812001875293,80
DLPFC,antigen_presentation,top_5pct_mean,AT8,0.014932020628223162,80
DLPFC,antigen_presentation,top_5pct_mean,6e10/A_beta,0.07379278012189405,80
DLPFC,antigen_presentation,top_5pct_mean,GFAP,0.04742147210501642,80
DLPFC,antigen_presentation,top_5pct_mean,Iba1,0.020557899671823726,80
DLPFC,antigen_presentation,top_5pct_mean,NeuN,0.030450070323488048,80
DLPFC,antigen_presentation,top_1pct_mean,AT8,0.08673230192217536,80
DLPFC,antigen_presentation,top_1pct_mean,6e10/A_beta,0.12346460384435069,80
DLPFC,antigen_presentation,top_1pct_mean,GFAP,0.08830285982184717,80
DLPFC,antigen_presentation,top_1pct_mean,Iba1,0.0585560243788092,80
DLPFC,antigen_presentation,top_1pct_mean,NeuN,0.012236286919831224,80
DLPFC,complement_phagocytosis,mean,AT8,0.058907641819034226,80
DLPFC,complement_phagocytosis,mean,6e10/A_beta,0.16425222691045477,80
DLPFC,complement_phagocytosis,mean,GFAP,0.14481950304735117,80
DLPFC,complement_phagocytosis,mean,Iba1,0.16479137365213314,80
DLPFC,complement_phagocytosis,mean,NeuN,-0.0035161744022503515,80
DLPFC,complement_phagocytosis,variance,AT8,0.05016408813877169,80
DLPFC,complement_phagocytosis,variance,6e10/A_beta,0.1426160337552743,80
DLPFC,complement_phagocytosis,variance,GFAP,0.14861697140178154,80
DLPFC,complement_phagocytosis,variance,Iba1,0.11687763713080168,80
DLPFC,complement_phagocytosis,variance,NeuN,-0.186615096108767,80
DLPFC,complement_phagocytosis,q90,AT8,0.0596812001875293,80
DLPFC,complement_phagocytosis,q90,6e10/A_beta,0.15691514299109235,80
DLPFC,complement_phagocytosis,q90,GFAP,0.13865447726207222,80
DLPFC,complement_phagocytosis,q90,Iba1,0.12751992498827944,80
DLPFC,complement_phagocytosis,q90,NeuN,-0.10827473042662918,80
DLPFC,complement_phagocytosis,q95,AT8,0.08338021565869667,80
DLPFC,complement_phagocytosis,q95,6e10/A_beta,0.16451007969995313,80
DLPFC,complement_phagocytosis,q95,GFAP,0.16905766526019692,80
DLPFC,complement_phagocytosis,q95,Iba1,0.13401312705110174,80
DLPFC,complement_phagocytosis,q95,NeuN,-0.12381622128457571,80
DLPFC,complement_phagocytosis,q99,AT8,0.06136896390060948,80
DLPFC,complement_phagocytosis,q99,6e10/A_beta,0.13938115330520395,80
DLPFC,complement_phagocytosis,q99,GFAP,0.23656821378340365,80
DLPFC,complement_phagocytosis,q99,Iba1,0.14512423816221287,80
DLPFC,complement_phagocytosis,q99,NeuN,-0.15450070323488047,80
DLPFC,complement_phagocytosis,fraction_high_global_q95,AT8,0.08356970395413649,80
DLPFC,complement_phagocytosis,fraction_high_global_q95,6e10/A_beta,0.14055650628583516,80
DLPFC,complement_phagocytosis,fraction_high_global_q95,GFAP,0.17904779770033505,80
DLPFC,complement_phagocytosis,fraction_high_global_q95,Iba1,0.16793642612270232,80
DLPFC,complement_phagocytosis,fraction_high_global_q95,NeuN,-0.12721817205023805,80
DLPFC,complement_phagocytosis,top_10pct_mean,AT8,0.08260665729020158,80
DLPFC,complement_phagocytosis,top_10pct_mean,6e10/A_beta,0.16092358180965777,80
DLPFC,complement_phagocytosis,top_10pct_mean,GFAP,0.18096577590248475,80
DLPFC,complement_phagocytosis,top_10pct_mean,Iba1,0.13532583216127522,80
DLPFC,complement_phagocytosis,top_10pct_mean,NeuN,-0.13263009845288326,80
DLPFC,complement_phagocytosis,top_5pct_mean,AT8,0.08415377402719175,80
DLPFC,complement_phagocytosis,top_5pct_mean,6e10/A_beta,0.15654008438818567,80
DLPFC,complement_phagocytosis,top_5pct_mean,GFAP,0.20752461322081578,80
