dataset,state_label,metric,target,spearman,n_donors
MTG,Monocyte,disease_program_mean,AT8,0.6932330827067669,20
MTG,Monocyte,disease_program_fraction_high_global_q95,AT8,0.6482872170492594,20
MTG,Micro-PVM_4-SEAAD,disease_program_q95,Iba1,0.621978021978022,14
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_mean,NeuN,-0.6029411764705882,16
MTG,Micro-PVM_2_1-SEAAD,disease_program_mean,AT8,0.575,15
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_mean,AT8,0.5735294117647058,16
MTG,Micro-PVM_2_1-SEAAD,disease_program_q95,AT8,0.5714285714285713,15
MTG,Micro-PVM_3-SEAAD,state_fraction_within_donor,AT8,0.5632074516553609,84
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_mean,Iba1,0.5029411764705883,16
MTG,Monocyte,disease_program_q95,AT8,0.4917293233082706,20
MTG,Micro-PVM_4-SEAAD,disease_program_q95,NeuN,-0.4813186813186813,14
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_mean,GFAP,0.4794117647058824,16
MTG,Micro-PVM_1,disease_program_fraction_high_global_q95,AT8,0.47926187865318676,80
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_q95,GFAP,0.4764705882352941,16
MTG,Monocyte,disease_program_fraction_high_global_q95,6e10/A_beta,0.4725610116952477,20
MTG,Micro-PVM_4-SEAAD,state_fraction_within_donor,GFAP,0.47252747252747257,14
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_fraction_high_global_q95,NeuN,-0.4705582479510997,16
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_q95,NeuN,-0.4588235294117647,16
MTG,Micro-PVM_4-SEAAD,disease_program_mean,NeuN,-0.45494505494505494,14
MTG,Monocyte,disease_program_mean,6e10/A_beta,0.4496240601503759,20
MTG,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,-0.446724391785073,15
MTG,Micro-PVM_2_1-SEAAD,disease_program_mean,Iba1,0.4464285714285714,15
MTG,Micro-PVM_1,disease_program_mean,AT8,0.4451476793248945,80
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_q95,NeuN,-0.4428571428571427,15
MTG,Micro-PVM_1,disease_program_q95,AT8,0.4417252695733709,80
MTG,Micro-PVM_4-SEAAD,disease_program_mean,Iba1,0.4241758241758242,14
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,NeuN,-0.4225771273642583,15
MTG,Micro-PVM_1,disease_program_q95,NeuN,-0.4211908110642288,80
MTG,Micro-PVM_4-SEAAD,disease_program_q95,GFAP,0.4197802197802198,14
MTG,Micro-PVM_4-SEAAD,disease_program_mean,GFAP,0.4153846153846154,14
DLPFC,Micro-PVM_1,disease_program_mean,NeuN,-0.41072520144484587,60
MTG,Lymphocyte,state_fraction_within_donor,AT8,0.41042016806722686,50
MTG,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,0.4089878756746513,84
MTG,Micro-PVM_1,disease_program_fraction_high_global_q95,NeuN,-0.40856982106670325,80
MTG,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,AT8,0.40162192834229204,84
MTG,Micro-PVM_3-SEAAD,disease_program_q95,6e10/A_beta,0.40085046066619423,84
MTG,Micro-PVM_3-SEAAD,state_fraction_within_donor,6e10/A_beta,0.39840032398501574,84
MTG,Micro-PVM_3-SEAAD,disease_program_mean,6e10/A_beta,0.3945935000506227,84
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_fraction_high_global_q95,GFAP,0.39437262685425495,16
MTG,Micro-PVM_3-SEAAD,disease_program_mean,AT8,0.39026020046572846,84
MTG,Monocyte,state_fraction_within_donor,Iba1,0.38796992481203,20
MTG,Micro-PVM_3-SEAAD,disease_program_q95,AT8,0.3834160170092133,84
DLPFC,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,NeuN,0.38214285714285706,15
DLPFC,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,GFAP,-0.38214285714285706,15
MTG,Monocyte,state_fraction_within_donor,NeuN,-0.38195488721804516,20
DLPFC,Micro-PVM_2,state_fraction_within_donor,GFAP,-0.37255039849976557,80
MTG,Micro-PVM_4-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.3712870933567469,14
DLPFC,Micro-PVM_2,state_fraction_within_donor,AT8,-0.36912798874824193,80
DLPFC,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,GFAP,0.36720580340314546,56
MTG,Micro-PVM_2,disease_program_q95,GFAP,0.3653336033208464,84
MTG,Micro-PVM_3-SEAAD,disease_program_q95,GFAP,0.36126354156120283,84
MTG,Micro-PVM_1,disease_program_mean,NeuN,-0.3486638537271449,80
MTG,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,GFAP,0.34783527292503696,84
MTG,Micro-PVM_2,disease_program_fraction_high_global_q95,GFAP,0.34758302579898576,84
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_q95,AT8,0.34642857142857136,15
DLPFC,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.34642857142857136,15
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_mean,6e10/A_beta,0.3428571428571428,15
MTG,Micro-PVM_1,disease_program_q95,GFAP,0.34275668073136434,80
MTG,Micro-PVM_1,state_fraction_within_donor,GFAP,0.3406469760900141,80
MTG,Monocyte,disease_program_mean,GFAP,0.3398496240601503,20
MTG,Monocyte,disease_program_q95,6e10/A_beta,0.3398496240601503,20
MTG,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,AT8,0.33928571428571425,15
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_q95,6e10/A_beta,0.33928571428571425,15
MTG,Micro-PVM_1,disease_program_fraction_high_global_q95,GFAP,0.3379397958227842,80
MTG,Lymphocyte,state_fraction_within_donor,NeuN,-0.33647058823529413,50
MTG,Micro-PVM_2_1-SEAAD,disease_program_q95,GFAP,0.33571428571428563,15
MTG,Micro-PVM_2_3-SEAAD,disease_program_mean,Iba1,0.33554723094056904,84
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_q95,AT8,0.33529411764705885,16
MTG,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,NeuN,-0.3307361151866085,84
MTG,Micro-PVM_1,disease_program_mean,GFAP,0.3248007501172058,80
DLPFC,Micro-PVM_3-SEAAD,state_fraction_within_donor,AT8,0.32392344497607656,56
MTG,Micro-PVM_3-SEAAD,state_fraction_within_donor,GFAP,0.32351928723296547,84
MTG,Micro-PVM_3-SEAAD,disease_program_q95,NeuN,-0.32258783031284805,84
MTG,Micro-PVM_2,disease_program_mean,GFAP,0.32256758124936724,84
MTG,Micro-PVM_1,disease_program_mean,6e10/A_beta,0.3212376933895922,80
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,NeuN,-0.31900205058099795,56
DLPFC,Micro-PVM_1,disease_program_q95,NeuN,-0.31831064184495694,60
MTG,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,Iba1,-0.3178571428571428,15
MTG,Micro-PVM_2,disease_program_fraction_high_global_q95,NeuN,-0.31662913470323745,84
MTG,Micro-PVM_1,disease_program_q95,6e10/A_beta,0.3143928738865448,80
MTG,Micro-PVM_2_1-SEAAD,disease_program_q95,Iba1,0.3142857142857143,15
DLPFC,Micro-PVM_1,disease_program_q95,GFAP,0.3084190052792443,60
DLPFC,Micro-PVM_3-SEAAD,disease_program_mean,NeuN,-0.30833902939166097,56
MTG,Micro-PVM_3-SEAAD,disease_program_mean,NeuN,-0.3072997873848335,84
MTG,Micro-PVM_2,disease_program_mean,AT8,0.30375620127569103,84
DLPFC,Micro-PVM_1_1-SEAAD,state_fraction_within_donor,Iba1,-0.3029411764705882,16
MTG,Micro-PVM_2,state_fraction_within_donor,NeuN,0.3009010833248963,84
MTG,Micro-PVM_2_3-SEAAD,disease_program_q95,GFAP,0.29832945226283286,84
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_fraction_high_global_q95,AT8,0.29577947014069117,16
MTG,Lymphocyte,state_fraction_within_donor,GFAP,0.2932533013205282,50
MTG,Micro-PVM_2_3-SEAAD,disease_program_q95,6e10/A_beta,0.2922952313455503,84
DLPFC,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,AT8,0.2922912540793052,56
DLPFC,Micro-PVM_1_1-SEAAD,state_fraction_within_donor,AT8,-0.2911764705882353,16
MTG,Micro-PVM_1,disease_program_fraction_high_global_q95,6e10/A_beta,0.290795215473778,80
MTG,Micro-PVM_2,disease_program_fraction_high_global_q95,AT8,0.2904155646260788,84
MTG,Monocyte,disease_program_mean,Iba1,0.2902255639097744,20
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,AT8,0.28776486671223517,56
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,GFAP,0.2864661654135339,56
MTG,Micro-PVM_2,disease_program_q95,AT8,0.2856332894603625,84
DLPFC,Micro-PVM_3-SEAAD,disease_program_mean,GFAP,0.28503075871496925,56
MTG,Micro-PVM_2_3-SEAAD,disease_program_q95,AT8,0.2831021565252607,84
MTG,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.2821428571428571,15
DLPFC,Micro-PVM_3-SEAAD,state_fraction_within_donor,GFAP,0.2818865345181135,56
DLPFC,Micro-PVM_1_1-SEAAD,state_fraction_within_donor,NeuN,0.27941176470588236,16
DLPFC,Micro-PVM_2,state_fraction_within_donor,6e10/A_beta,-0.27613689639006095,80
DLPFC,Micro-PVM_1,disease_program_mean,GFAP,0.2761322589608225,60
MTG,Micro-PVM_2_3-SEAAD,disease_program_mean,AT8,0.27461779892679966,84
MTG,Micro-PVM_2,disease_program_mean,Iba1,0.27271438695960315,84
