dataset,feature,metric,target,spearman,n_donors,mean_spearman,mean_n_donors,abs_tail_spearman,abs_mean_spearman,tail_minus_mean_abs_spearman,tail_beats_mean,supports_dilution_hypothesis
DLPFC,disease_program_score,variance,NeuN,-0.3873652133145804,80,-0.0457805907172995,80,0.3873652133145804,0.0457805907172995,0.3415846225972809,True,True
MTG,disease_program_score,variance,NeuN,-0.4713576997063887,84,-0.1810266275184772,84,0.4713576997063887,0.1810266275184772,0.2903310721879115,True,True
DLPFC,lysosomal_endolysosomal,variance,NeuN,-0.5109704641350211,80,-0.2395921237693389,80,0.5109704641350211,0.2395921237693389,0.2713783403656822,True,True
DLPFC,disease_program_score,q99,NeuN,-0.2985935302390998,80,-0.0457805907172995,80,0.2985935302390998,0.0457805907172995,0.2528129395218003,True,True
DLPFC,disease_program_score,top_1pct_mean,NeuN,-0.2930145335208626,80,-0.0457805907172995,80,0.2930145335208626,0.0457805907172995,0.2472339428035631,True,True
DLPFC,disease_program_score,top_5pct_mean,NeuN,-0.2898265353961556,80,-0.0457805907172995,80,0.2898265353961556,0.0457805907172995,0.2440459446788561,True,True
DLPFC,disease_program_score,top_10pct_mean,NeuN,-0.2726676043131739,80,-0.0457805907172995,80,0.2726676043131739,0.0457805907172995,0.22688701359587438,True,True
MTG,disease_program_score,top_1pct_mean,NeuN,-0.4044952920927407,84,-0.1810266275184772,84,0.4044952920927407,0.1810266275184772,0.2234686645742635,True,True
DLPFC,lysosomal_endolysosomal,top_1pct_mean,AT8,0.4338490389123301,80,0.2187763713080169,80,0.4338490389123301,0.2187763713080169,0.21507266760431323,True,True
DLPFC,disease_program_score,q95,NeuN,-0.259704641350211,80,-0.0457805907172995,80,0.259704641350211,0.0457805907172995,0.21392405063291148,True,True
DLPFC,disease_program_score,top_1pct_mean,AT8,0.3151429910923581,80,0.1112048757618378,80,0.3151429910923581,0.1112048757618378,0.2039381153305203,True,True
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,NeuN,-0.2764181903422409,80,-0.0745194561650257,80,0.2764181903422409,0.0745194561650257,0.2018987341772152,True,True
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,NeuN,-0.4281059540553211,80,-0.2395921237693389,80,0.4281059540553211,0.2395921237693389,0.1885138302859822,True,True
DLPFC,lysosomal_endolysosomal,q99,NeuN,-0.4258556024378809,80,-0.2395921237693389,80,0.4258556024378809,0.2395921237693389,0.186263478668542,True,True
DLPFC,lysosomal_endolysosomal,top_1pct_mean,6e10/A_beta,0.363877168307548,80,0.1793248945147679,80,0.363877168307548,0.1793248945147679,0.1845522737927801,True,True
DLPFC,dam_lipid_trem2_apoe,q99,NeuN,-0.2590482887951242,80,-0.0745194561650257,80,0.2590482887951242,0.0745194561650257,0.1845288326300985,True,True
DLPFC,dam_lipid_trem2_apoe,variance,NeuN,-0.2571729957805908,80,-0.0745194561650257,80,0.2571729957805908,0.0745194561650257,0.18265353961556507,True,True
DLPFC,lysosomal_endolysosomal,top_10pct_mean,NeuN,-0.4212142522269104,80,-0.2395921237693389,80,0.4212142522269104,0.2395921237693389,0.1816221284575715,True,True
DLPFC,lysosomal_endolysosomal,top_5pct_mean,NeuN,-0.4190576652601969,80,-0.2395921237693389,80,0.4190576652601969,0.2395921237693389,0.179465541490858,True,True
MTG,disease_program_score,top_5pct_mean,NeuN,-0.356990989166751,84,-0.1810266275184772,84,0.356990989166751,0.1810266275184772,0.17596436164827378,True,True
MTG,antigen_presentation,variance,GFAP,0.2912827781715095,84,0.1205021767743242,84,0.2912827781715095,0.1205021767743242,0.1707806013971853,True,True
MTG,disease_program_score,top_10pct_mean,NeuN,-0.3498633188215045,84,-0.1810266275184772,84,0.3498633188215045,0.1810266275184772,0.1688366913030273,True,True
DLPFC,disease_program_score,q99,AT8,0.2721987810595406,80,0.1112048757618378,80,0.2721987810595406,0.1112048757618378,0.1609939052977028,True,True
DLPFC,lysosomal_endolysosomal,q95,NeuN,-0.4001640881387717,80,-0.2395921237693389,80,0.4001640881387717,0.2395921237693389,0.1605719643694328,True,True
MTG,disease_program_score,fraction_high_global_q95,NeuN,-0.3403964510044462,84,-0.1810266275184772,84,0.3403964510044462,0.1810266275184772,0.159369823485969,True,True
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,AT8,0.3617440225035162,80,0.2023909985935302,80,0.3617440225035162,0.2023909985935302,0.159353023909986,True,True
DLPFC,disease_program_score,top_1pct_mean,GFAP,0.2854195968120019,80,0.1274027191748711,80,0.2854195968120019,0.1274027191748711,0.15801687763713082,True,True
MTG,disease_program_score,q95,NeuN,-0.3375518882251695,84,-0.1810266275184772,84,0.3375518882251695,0.1810266275184772,0.15652526070669232,True,True
MTG,disease_program_score,q99,NeuN,-0.3336438189733725,84,-0.1810266275184772,84,0.3336438189733725,0.1810266275184772,0.15261719145489527,True,True
DLPFC,lysosomal_endolysosomal,q99,6e10/A_beta,0.3317627754336615,80,0.1793248945147679,80,0.3317627754336615,0.1793248945147679,0.1524378809188936,True,True
MTG,complement_phagocytosis,variance,GFAP,0.4346461476156727,84,0.2876581958084439,84,0.4346461476156727,0.2876581958084439,0.14698795180722884,True,True
DLPFC,lysosomal_endolysosomal,q99,AT8,0.3640178152836381,80,0.2187763713080169,80,0.3640178152836381,0.2187763713080169,0.1452414439756212,True,True
DLPFC,disease_program_score,top_5pct_mean,AT8,0.2550164088138771,80,0.1112048757618378,80,0.2550164088138771,0.1112048757618378,0.1438115330520393,True,True
