graph_variant,alpha,mean_abs_delta_vs_raw,fraction_preserved_or_improved,n_tests
hub_capped,0.05,0.003325795594938832,0.6527777777777778,360
hub_capped,0.1,0.005962824246546826,0.6833333333333333,360
hub_capped,0.25,0.014369565493707446,0.6861111111111111,360
hub_capped,0.5,0.030591024037210094,0.6611111111111111,360
hub_capped,1.0,0.004858594044840344,0.525,360
hub_removed,0.05,-0.010520602430075571,0.5361111111111111,360
hub_removed,0.1,-0.007914885874199694,0.5833333333333334,360
hub_removed,0.25,0.00033897886398845986,0.5888888888888889,360
hub_removed,0.5,0.013815657852952912,0.6111111111111112,360
hub_removed,1.0,-0.007336745258852827,0.4638888888888889,360
signature_subgraph,0.05,-0.012610932520206092,0.3611111111111111,360
signature_subgraph,0.1,-0.012939773424937257,0.31666666666666665,360
signature_subgraph,0.25,-0.01518520370228629,0.3111111111111111,360
signature_subgraph,0.5,-0.022998760183411307,0.25833333333333336,360
signature_subgraph,1.0,-0.03529972966231576,0.25555555555555554,360
uncapped,0.05,0.0035487230509275375,0.6805555555555556,360
uncapped,0.1,0.006673205662412646,0.7055555555555556,360
uncapped,0.25,0.016757427511780883,0.7166666666666667,360
uncapped,0.5,0.03373822616225132,0.6972222222222222,360
uncapped,1.0,0.019035117542707765,0.5361111111111111,360
