dataset,module,graph_variant,alpha,metric,target,spearman,n_donors,n_graph_genes_present,seed_mass_present
MTG,dam_lipid_trem2_apoe,uncapped,0.0,mean,AT8,0.4441429583881745,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,mean,6e10/A_beta,0.3862103877695657,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,mean,GFAP,0.29130302723499035,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,mean,Iba1,0.22863217576187103,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,mean,NeuN,-0.10272349903816949,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q95,AT8,0.44790928419560594,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q95,6e10/A_beta,0.3884377847524552,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q95,GFAP,0.3673585096689278,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q95,Iba1,0.17566062569606158,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q95,NeuN,-0.16397691606763187,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q99,AT8,0.41725220208565356,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q99,6e10/A_beta,0.3788397286625494,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q99,GFAP,0.2834058924774729,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q99,Iba1,0.1894704869899767,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,q99,NeuN,-0.16899868381087377,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,top_5pct_mean,AT8,0.458681785967399,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,top_5pct_mean,6e10/A_beta,0.4016401741419459,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,top_5pct_mean,GFAP,0.3375923863521312,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,top_5pct_mean,Iba1,0.19566670041510578,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,top_5pct_mean,NeuN,-0.20078971347575175,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,fraction_high_global_q95,AT8,0.45308196996167466,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,fraction_high_global_q95,6e10/A_beta,0.3945002430745629,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,fraction_high_global_q95,GFAP,0.3362425077637366,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,fraction_high_global_q95,Iba1,0.15723716186602918,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,fraction_high_global_q95,NeuN,-0.18860359634516363,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,variance,AT8,0.4219702338766832,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,variance,6e10/A_beta,0.35328541054976204,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,variance,GFAP,0.343606358205933,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,variance,Iba1,0.1329148526880632,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.0,variance,NeuN,-0.2212412675913739,84,8,1.0
MTG,dam_lipid_trem2_apoe,uncapped,0.05,mean,AT8,0.4368532955350815,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,mean,6e10/A_beta,0.37948769869393545,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,mean,GFAP,0.2818872127164119,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,mean,Iba1,0.23183152779183963,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,mean,NeuN,-0.09490736053457528,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q95,AT8,0.4482737673382606,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q95,6e10/A_beta,0.3876278222132227,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q95,GFAP,0.3628024703857447,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q95,Iba1,0.1812493672167662,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q95,NeuN,-0.16681178495494584,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q99,AT8,0.41297964969120177,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q99,6e10/A_beta,0.37867773615470285,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q99,GFAP,0.28767844487192473,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q99,Iba1,0.18517768553204417,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,q99,NeuN,-0.1740002024906348,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,top_5pct_mean,AT8,0.45432823731902405,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,top_5pct_mean,6e10/A_beta,0.4020856535385239,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,top_5pct_mean,GFAP,0.33514224967095274,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,top_5pct_mean,Iba1,0.1955452060342209,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,top_5pct_mean,NeuN,-0.20338159360129593,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,fraction_high_global_q95,AT8,0.4501457963015878,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,fraction_high_global_q95,6e10/A_beta,0.40579944929751766,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,fraction_high_global_q95,GFAP,0.3418718614016961,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,fraction_high_global_q95,Iba1,0.16361574602414886,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,fraction_high_global_q95,NeuN,-0.1902438037001087,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,variance,AT8,0.4209172825756809,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,variance,6e10/A_beta,0.3529411764705882,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,variance,GFAP,0.3517869798521819,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,variance,Iba1,0.13591171408322367,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.05,variance,NeuN,-0.22555431811278728,84,119,0.9607511536028692
MTG,dam_lipid_trem2_apoe,uncapped,0.1,mean,AT8,0.4330869697276501,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,mean,6e10/A_beta,0.37636934291789004,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,mean,GFAP,0.27287637946744964,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,mean,Iba1,0.23920218689885595,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,mean,NeuN,-0.09549458337551889,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,q95,AT8,0.4500354358610914,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,q95,6e10/A_beta,0.394006277209679,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,q95,GFAP,0.3590968917687557,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,q95,Iba1,0.1905841854814215,84,119,0.9215023072057372
