stage68_input,priority,role,recommended_action
data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,high,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/sea_ad/stage45/cellxgene/h5ad_assets/100c6145-7b0e-4ba6-81c1-ffebed0d1ac4.h5ad,high,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
results/tables/stage64_cell_level_module_score_table_v1.csv,high,Stage64 rare-tail cell table,use as primary rare-cell selector for Stage68
data/external/cellxgene/olah_live_microglia.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/external/cellxgene/rexach_cross_dementia.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/sea_ad_mtg_contiguous_10k_hvg3k.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/sea_ad_mtg_microglia_pvm_smoke_hvg200.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/v2_pretraining/cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,medium,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
results/archive/old_stage_c_sweeps/tables/stage_c_fine_01_r007_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_02_r007_cov001_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_03_r010_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_04_r010_cov002_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_05_r012_cov001_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_06_r015_cov001_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_01_r0035_cov00025_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_02_r0035_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_03_r004_cov00025_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_04_r004_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_05_r0045_cov00025_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_06_r0045_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
