dataset,cell_index,donor_id,state_label,dam_lipid_trem2_apoe,lysosomal_endolysosomal,complement_phagocytosis,antigen_presentation,interferon_inflammatory,oxidative_stress_gene_preserved,disease_program_score,dominant_module,rare_tail_group,allowed_use,disallowed_claim
DLPFC,40944,H20.33.004,Micro-PVM_3-SEAAD,1.870013952255249,2.4468400478363037,2.1659398078918457,3.638551712036133,0.2579793930053711,1.3951717615127563,4.7704201464211256,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,26377,H20.33.033,Micro-PVM_3-SEAAD,2.020216941833496,2.2678027153015137,2.2165586948394775,2.5432138442993164,0.0,1.5317533016204834,4.533193147420588,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,19581,H21.33.044,Micro-PVM_3-SEAAD,1.6984939575195312,2.406039237976074,2.561159133911133,3.5235588550567627,1.1079941987991333,0.9421292543411255,4.345097396228969,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,3561,H21.33.044,Micro-PVM_2,1.8774477243423462,2.052097797393799,2.4612176418304443,2.907447338104248,0.7171740531921387,1.2002288103103638,4.246498212212818,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,26331,H21.33.044,Micro-PVM_2,1.4262281656265259,1.6563284397125244,2.6348187923431396,3.8644700050354004,0.9328804016113281,1.302969217300415,4.230549678634503,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,23254,H21.33.008,Micro-PVM_3-SEAAD,1.9306087493896484,2.222066879272461,1.5853980779647827,2.598198890686035,0.13331997394561768,1.2656869888305664,3.9273749467745183,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,6437,H21.33.008,Micro-PVM_3-SEAAD,2.0350210666656494,2.336517810821533,1.7781976461410522,2.1206555366516113,0.4666266441345215,1.1747814416885376,3.8960896029631265,lysosomal_endolysosomal,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,37426,H21.33.044,Micro-PVM_3-SEAAD,1.3312398195266724,2.3268423080444336,2.3505566120147705,2.6704611778259277,0.6090944409370422,1.181143879890442,3.8668604167157774,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,25010,H20.33.017,Micro-PVM_2,2.6534969806671143,1.555713415145874,2.0791566371917725,2.1876564025878906,0.0,0.950682520866394,3.842621136613398,dam_lipid_trem2_apoe,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,15681,H20.33.017,Micro-PVM_2,2.3874454498291016,1.869559645652771,1.621262788772583,1.6535327434539795,0.48709428310394287,1.3751829862594604,3.8283209850373447,dam_lipid_trem2_apoe,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
DLPFC,20491,H21.33.020,Micro-PVM_3-SEAAD,1.828924298286438,2.1887218952178955,1.879092812538147,2.7186033725738525,0.312463641166687,1.0570964813232422,3.8209416273878345,antigen_presentation,high_tail_q95,candidate cell index for bounded expression/state contrast; not a validated diseased-cell label,new subtype; validated biomarker cell; causal diseased cell
