condition,aux_condition_type,mean_aux_oof_spearman,median_aux_oof_spearman,n_aux_target_fold_contexts
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.4217487913201056,0.45833333333333337,1950
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,0.41926460862307846,0.4191176470588236,1950
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,0.41715456286223196,0.45857843137254906,1950
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,0.4119378874295869,0.39436274509803926,1950
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,0.4115438183720439,0.44240196078431376,1950
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,0.4072611111500476,0.4227941176470589,1950
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,0.40638996173505715,0.40527107348244507,1950
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,0.406248295108401,0.42401960784313725,1950
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,0.4061789069415283,0.45098039215686275,1950
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,0.4045678754829749,0.4264705882352942,1950
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,0.3996280079165057,0.4266013673301507,1950
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,0.38963948554328043,0.4068627450980392,1950
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.029484189268724603,0.041421568627450986,1950
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,0.024110011768555862,0.03921568627450981,1950
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,0.021177253427034543,0.019607843137254905,1950
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,0.02073553853544514,0.02647058823529412,1950
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,0.02021891729627083,0.02696078431372549,1950
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,0.01752008535144763,0.025138347241713314,1950
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,0.011551964218194115,0.018158822172829082,1950
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,0.01108081253819449,0.009803921568627453,1950
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,0.010329172741019532,0.015931372549019607,1950
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,0.009450652742921358,0.012254901960784315,1950
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,0.006611728000088031,0.012254901960784315,1950
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,0.0050424468190708675,-0.007357450800431157,1950
