condition,aux_condition_type,mean_pooled_oof_spearman,min_delta_vs_stage27c_target,iba1_spearman,n_targets,delta_vs_stage27c_mean,delta_vs_best_no_aux,delta_vs_best_shuffled_aux
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.3591037979163019,-0.0036354921401640095,0.08971457470258709,5,0.03240135790415244,0.019040154762973882,0.014524542239349736
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,0.3445792556769522,-0.030356743911458792,-0.014278987507692492,5,0.017876815664802703,0.004515612523624146,0.0
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,0.3440717699806878,-0.033263176120471374,-0.017185419716705078,5,0.017369329968538294,0.004008126827359737,-0.0005074856962644092
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,0.34084340873749325,-0.02448311784446472,-0.008405361440698419,5,0.014140968725343761,0.000779765584165204,-0.003735846939458942
no_aux_pls4,no_aux_baseline,0.34006364315332804,-0.04615477264337389,-0.03007701623960759,5,0.013361203141178557,0.0,-0.004515612523624146
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,0.33897511430651767,-0.02225771148791955,-0.00296719385798149,5,0.01227267429436818,-0.001088528846810377,-0.005604141370434523
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,0.33879387565869046,-0.021019703853237176,-0.004941947449470877,5,0.012091435646540971,-0.0012697674946375859,-0.005785380018261732
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,0.33852875487045936,-0.01989561334731245,-0.0038178569435461493,5,0.011826314858309872,-0.001534888282868685,-0.006050500806492831
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,0.335640258797479,-0.038893755591589835,-0.022815999187823535,5,0.00893781878532951,-0.004423384355849047,-0.008938996879473193
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,0.335400118626751,-0.04572944110059157,-0.02965168469682527,5,0.008697678614601523,-0.004663524526577034,-0.00917913705020118
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,0.334016259155253,-0.05338278469231528,0.08244343070930824,5,0.007313819143103528,-0.006047383998075029,-0.010562996521699175
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,0.3337284210681742,-0.01773857480891635,-0.0016608184051500488,5,0.007025981056024699,-0.006335222085153858,-0.010850834608778004
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,0.3304980841576476,-0.06878848688429072,-0.052710730480524416,5,0.0037956441454981005,-0.009565558995680457,-0.014081171519304603
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,0.32798943496004473,-0.0859131449520269,-0.0698353885482606,5,0.001286994947895248,-0.012074208193283309,-0.016589820716907455
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,0.3276172240344348,-0.12754059053012412,0.1264449915042897,5,0.0009147840222852865,-0.01244641911889327,-0.016962031642517417
no_aux_pls6,no_aux_baseline,0.3268529346021948,-0.01908545802772706,-0.003007701623960759,5,0.00015049459004529142,-0.013210708551133266,-0.017726321074757412
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,0.3259626210942552,-0.05378035958897137,-0.037702603185205075,5,-0.0007398189178942638,-0.01410102205907282,-0.018616634582696967
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,0.3251612754297236,-0.02235646013055307,-0.006278703726786771,5,-0.001541164582425869,-0.014902367723604426,-0.019417980247228572
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,0.3240130695498508,-0.010004918986133648,0.007828125775493827,5,-0.002689370462298668,-0.016050573603477225,-0.02056618612710137
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,0.32220363166207244,-0.01641177034454816,0.005255882635810216,5,-0.004498808350077044,-0.0178600114912556,-0.022375624014879747
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.3220875496982861,-0.03679140893844063,0.01368149795949827,5,-0.004614890313863362,-0.01797609345504192,-0.022491705978666066
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,0.3215416503933525,-0.03508602558953851,-0.019008269185772204,5,-0.005160789618797013,-0.01852199275997557,-0.023037605283599716
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,0.3205150116352928,-0.11261446148249404,0.1463950662490799,5,-0.006187428376856707,-0.019548631518035264,-0.02406424404165941
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,0.3203283582928226,-0.04308745874095554,0.0031190979804037503,5,-0.006374081719326907,-0.019735284860505464,-0.02425089738412961
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,0.316693052237456,-0.053405662753663125,-0.03732790634989683,5,-0.010009387774693512,-0.02337059091587207,-0.027886203439496215
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,0.31473453437338283,-0.05552252418904885,-0.009367420882706068,5,-0.011967905638766652,-0.02532910877994521,-0.029844721303569355
no_aux_pls2,no_aux_baseline,0.31329638433953766,-0.0692441992515575,-0.0531664428477912,5,-0.013406055672611827,-0.026767258813790384,-0.03128287133741453
no_aux_pls8,no_aux_baseline,0.30955514286211105,-0.04310800272094378,-0.0018532302935515793,5,-0.017147297150038432,-0.03050850029121699,-0.035024112814841135
