condition,aux_condition_type,latent_components,aux_weight,negative_control
no_aux_pls2,no_aux_baseline,2,0.0,False
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,2,0.05,False
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,2,0.05,True
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,2,0.1,False
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,2,0.1,True
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,2,0.2,False
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,2,0.2,True
no_aux_pls4,no_aux_baseline,4,0.0,False
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,4,0.05,False
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,4,0.05,True
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,4,0.1,False
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,4,0.1,True
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,4,0.2,False
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,4,0.2,True
no_aux_pls6,no_aux_baseline,6,0.0,False
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,6,0.05,False
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,6,0.05,True
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,6,0.1,False
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,6,0.1,True
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,6,0.2,False
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,6,0.2,True
no_aux_pls8,no_aux_baseline,8,0.0,False
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,8,0.05,False
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,8,0.05,True
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,8,0.1,False
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,8,0.1,True
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,8,0.2,False
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,8,0.2,True
