condition,aux_condition_type,target,n_donors,pooled_oof_spearman,stage27c_target_spearman,delta_vs_stage27c_target
no_aux_pls2,no_aux_baseline,6e10/A_beta,84,0.3632478127505821,0.3347372684013365,0.028510544349245603
no_aux_pls2,no_aux_baseline,AT8,84,0.49185341933615073,0.5284398096588033,-0.036586390322652595
no_aux_pls2,no_aux_baseline,GFAP,84,0.29923748161492164,0.3022982687050723,-0.003060787090150674
no_aux_pls2,no_aux_baseline,Iba1,84,-0.0531664428477912,0.0160777564037663,-0.0692441992515575
no_aux_pls2,no_aux_baseline,NeuN,84,0.46530965084382486,0.4519590968917688,0.013350553952056088
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.37823879939022464,0.3347372684013365,0.04350153098888815
no_aux_pls4,no_aux_baseline,AT8,84,0.553562937936054,0.5284398096588033,0.025123128277250717
no_aux_pls4,no_aux_baseline,GFAP,84,0.314579098692641,0.3022982687050723,0.012280829987568687
no_aux_pls4,no_aux_baseline,Iba1,84,-0.03007701623960759,0.0160777564037663,-0.04615477264337389
no_aux_pls4,no_aux_baseline,NeuN,84,0.4840143959873281,0.4519590968917688,0.03205529909555932
no_aux_pls6,no_aux_baseline,6e10/A_beta,84,0.34828721324601986,0.3347372684013365,0.01354994484468336
no_aux_pls6,no_aux_baseline,AT8,84,0.5439024717817534,0.5284398096588033,0.01546266212295011
no_aux_pls6,no_aux_baseline,GFAP,84,0.30196150471320976,0.3022982687050723,-0.00033676399186255424
no_aux_pls6,no_aux_baseline,Iba1,84,-0.003007701623960759,0.0160777564037663,-0.01908545802772706
no_aux_pls6,no_aux_baseline,NeuN,84,0.44312118489395175,0.4519590968917688,-0.008837911997817027
no_aux_pls8,no_aux_baseline,6e10/A_beta,84,0.32062479127786864,0.3347372684013365,-0.01411247712346786
no_aux_pls8,no_aux_baseline,AT8,84,0.5332800095219407,0.5284398096588033,0.004840199863137329
no_aux_pls8,no_aux_baseline,GFAP,84,0.28687304963347265,0.3022982687050723,-0.01542521907159966
no_aux_pls8,no_aux_baseline,Iba1,84,-0.0018532302935515793,0.0160777564037663,-0.01793098669731788
no_aux_pls8,no_aux_baseline,NeuN,84,0.408851094170825,0.4519590968917688,-0.04310800272094378
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3604218091881089,0.3347372684013365,0.025684540786772403
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,AT8,84,0.4853523509178478,0.5284398096588033,-0.04308745874095554
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,GFAP,84,0.30800701322502394,0.3022982687050723,0.005708744519951625
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,Iba1,84,0.0031190979804037503,0.0160777564037663,-0.01295865842336255
