gene,DLPFC,MTG,same_direction_mtg_dlpfc
APOE,2.2697402222515786,1.3390667469073565,True
B2M,1.5771457258969137,1.0299312869707744,True
C1QA,1.262109398841858,1.089191962702152,True
C1QB,1.495737664911845,1.024305108265999,True
C1QC,1.593201817715005,1.2182033222455244,True
CD74,1.475834951825338,0.9650768920397148,True
CTSD,0.9577037222581368,0.9641736684701382,True
HLA-DRA,1.445661692178413,1.1602287903810158,True
HLA-DRB1,1.308822846575959,1.0612144088133788,True
TREM2,0.533654260819089,0.6225709267533742,True
TYROBP,1.097228079217754,1.067315915838266,True
