gene,degree_in_signature_graph,hub_capped_degree,randomized_graph
APOE,7.0,7.0,False
TREM2,4.0,4.0,False
LPL,2.0,2.0,False
APOC1,2.0,2.0,False
TYROBP,9.0,7.699999999999999,False
CST7,1.0,1.0,False
LGALS3,3.0,3.0,False
CTSD,5.0,5.0,False
CTSB,4.0,4.0,False
LAPTM5,3.0,3.0,False
NPC2,0.0,0.0,False
LAMP2,4.0,4.0,False
CTSS,9.0,7.699999999999999,False
GBA,0.0,0.0,False
PSAP,2.0,2.0,False
C1QA,6.0,6.0,False
C1QB,5.0,5.0,False
C1QC,3.0,3.0,False
FCER1G,0.0,0.0,False
AIF1,0.0,0.0,False
CD74,7.0,7.0,False
HLA-DRA,8.0,7.699999999999999,False
HLA-DRB1,5.0,5.0,False
HLA-DPA1,6.0,6.0,False
HLA-DPB1,5.0,5.0,False
B2M,9.0,7.699999999999999,False
NFKBIA,2.0,2.0,False
IRF8,3.0,3.0,False
STAT1,6.0,6.0,False
IFITM3,0.0,0.0,False
IL27RA,2.0,2.0,False
SLC6A12,0.0,0.0,False
BSG,1.0,1.0,False
HMOX1,5.0,5.0,False
NQO1,1.0,1.0,False
SOD2,5.0,5.0,False
SOD1,4.0,4.0,False
GPX4,3.0,3.0,False
PRDX1,3.0,3.0,False
TXNIP,2.0,2.0,False
APOE,4.0,4.0,True
TREM2,2.0,2.0,True
LPL,5.0,5.0,True
APOC1,2.0,2.0,True
TYROBP,7.0,7.0,True
CST7,1.0,1.0,True
LGALS3,2.0,2.0,True
CTSD,9.0,7.699999999999999,True
CTSB,5.0,5.0,True
LAPTM5,3.0,3.0,True
NPC2,1.0,1.0,True
LAMP2,2.0,2.0,True
CTSS,3.0,3.0,True
GBA,0.0,0.0,True
PSAP,0.0,0.0,True
C1QA,6.0,6.0,True
C1QB,0.0,0.0,True
C1QC,0.0,0.0,True
FCER1G,7.0,7.0,True
AIF1,4.0,4.0,True
CD74,2.0,2.0,True
HLA-DRA,3.0,3.0,True
HLA-DRB1,4.0,4.0,True
HLA-DPA1,1.0,1.0,True
HLA-DPB1,6.0,6.0,True
B2M,5.0,5.0,True
NFKBIA,3.0,3.0,True
IRF8,9.0,7.699999999999999,True
STAT1,2.0,2.0,True
IFITM3,0.0,0.0,True
IL27RA,9.0,7.699999999999999,True
SLC6A12,4.0,4.0,True
BSG,5.0,5.0,True
HMOX1,3.0,3.0,True
NQO1,3.0,3.0,True
SOD2,5.0,5.0,True
SOD1,8.0,7.699999999999999,True
GPX4,6.0,6.0,True
PRDX1,0.0,0.0,True
TXNIP,5.0,5.0,True
