dataset,regulator,degree_matched_random_directed,directed_stage72b,expression_only,reversed_directed,target_shuffled_directed,directed_minus_expression_only,directed_minus_reversed,directed_minus_target_shuffled,directed_minus_random
DLPFC,BACH1,0.04012432268655267,0.04982468924046415,0.0,,0.04370292581737417,0.04982468924046415,,0.006121763423089975,0.009700366553911474
DLPFC,CEBPA,0.027101819659551267,0.0322245802089573,0.0,,0.021475358478098592,0.0322245802089573,,0.010749221730858707,0.005122760549406032
DLPFC,CEBPB,0.052066080350911884,0.04810659951795685,0.0,,0.05411800079433184,0.04810659951795685,,-0.006011401276374992,-0.003959480832955033
DLPFC,ELF1,0.04865610378620361,0.058952617392739944,0.0,,0.03586810383472293,0.058952617392739944,,0.023084513558017015,0.010296513606536335
DLPFC,ETS1,0.009444540171855741,0.013803109102940213,0.0,,0.006949792344661529,0.013803109102940213,,0.006853316758278684,0.004358568931084472
DLPFC,FOS,0.0045224062715923255,0.00640548753832758,0.0,,0.002563257863436223,0.00640548753832758,,0.003842229674891357,0.0018830812667352545
DLPFC,IRF8,0.026564042496549287,0.03455610748659714,0.0,0.0,0.025249349173005937,0.03455610748659714,0.03455610748659714,0.009306758313591203,0.007992064990047853
DLPFC,JUN,0.01907961852406178,0.016570663083485527,0.0,,0.014177132089279612,0.016570663083485527,,0.002393530994205915,-0.0025089554405762528
DLPFC,MAF,0.01871406125435613,0.026520000349757277,0.0,,0.023547929072609403,0.026520000349757277,,0.002972071277147874,0.007805939095401147
DLPFC,MAFB,0.02259822942447988,0.025823827919353875,0.0,,0.024505762806233445,0.025823827919353875,,0.00131806511312043,0.0032255984948739956
DLPFC,MITF,0.02121243597150858,0.03264875894443243,0.0,,0.019219381812220025,0.03264875894443243,,0.013429377132212404,0.011436322972923848
DLPFC,NFE2L2,0.045252624719933826,0.04654771526803098,0.0,,0.06010111252121183,0.04654771526803098,,-0.013553397253180846,0.0012950905480971567
DLPFC,NFKB1,0.047898146181650704,0.05071025235140263,0.0,,0.04776952934761286,0.05071025235140263,,0.0029407230037897664,0.0028121061697519226
DLPFC,NRF1,0.05132112401846752,0.05884258915583826,0.0,,0.05662927027026472,0.05884258915583826,,0.002213318885573537,0.007521465137370738
DLPFC,PPARG,0.032701783163449384,0.049824646148636374,0.0,,0.05308809758252357,0.049824646148636374,,-0.0032634514338871976,0.01712286298518699
DLPFC,RELA,0.024774623778954532,0.043280042012502656,0.0,,0.033418896734187936,0.043280042012502656,,0.00986114527831472,0.018505418233548124
