scenario_id,regulator,direction,magnitude,scenario_type,cell_count,donor_count,region_count,state_count,edge_count,random_seed,feature_order_hash,preprocessing_hash,f10_report_hash,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,approved_wording
baseline,baseline,none,0.0,baseline,32,6,2,8,0,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
STAT1_up_0p10,STAT1,up,0.1,perturbation,32,6,2,8,16,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
STAT1_down_0p10,STAT1,down,0.1,perturbation,32,6,2,8,16,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
STAT1_up_0p25,STAT1,up,0.25,perturbation,32,6,2,8,16,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
STAT1_down_0p25,STAT1,down,0.25,perturbation,32,6,2,8,16,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
ELF1_up_0p10,ELF1,up,0.1,perturbation,32,6,2,8,23,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
ELF1_down_0p10,ELF1,down,0.1,perturbation,32,6,2,8,23,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
ELF1_up_0p25,ELF1,up,0.25,perturbation,32,6,2,8,23,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
ELF1_down_0p25,ELF1,down,0.25,perturbation,32,6,2,8,23,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
SPI1_up_0p10,SPI1,up,0.1,perturbation,32,6,2,8,14,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
SPI1_down_0p10,SPI1,down,0.1,perturbation,32,6,2,8,14,7,4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662,9eebbc88b7fddb8e398a2de1295c50883c84577b1afad6ac9a16801ec7deaccc,3970ac9bc8cbde670ab40c2d4e76ac8b20684874d4a52adeb3f4b770f7f21897,False,False,False,False,"Model-based, enhancer-informed perturbation hypotheses requiring experimental validation."
