tf,target_gene,evidence_tier,motif_support_class,edge_spearman_rho,edge_bootstrap_median_rho,edge_bootstrap_sign_stability,predicted_response_sign_from_coactivity,absolute_unnormalized_weight,normalized_outgoing_weight,regulator_feature_index,target_feature_index,edge_feature_status,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim
ELF1,AP1G1,Tier A,extended_only,0.8782249742002064,0.8831499614679619,1.0,positive,0.8831499614679619,0.06305661654534747,2070,2413,usable_signed_edge_feature_present,False,False,False,False
ELF1,APOE,Tier A,extended_only,0.87203302373581,0.8711685182706466,1.0,positive,0.8711685182706466,0.062201145444950014,2070,2699,usable_signed_edge_feature_present,False,False,False,False
ELF1,B2M,Tier A,extended_only,0.7213622291021672,0.7268011025993726,1.0,positive,0.7268011025993726,0.05189335948695158,2070,2274,usable_signed_edge_feature_present,False,False,False,False
ELF1,BSG,Tier A,extended_only,0.6553147574819401,0.6490892233856895,1.0,positive,0.6490892233856895,0.04634475689124923,2070,2635,usable_signed_edge_feature_present,False,False,False,False
ELF1,C1QB,Tier A,extended_only,0.7812177502579979,0.7751156029890933,1.0,positive,0.7751156029890933,0.0553429989112581,2070,34,usable_signed_edge_feature_present,False,False,False,False
ELF1,C1QC,Tier A,extended_only,0.7048503611971104,0.6899060117810119,1.0,positive,0.6899060117810119,0.04925906214715202,2070,33,usable_signed_edge_feature_present,False,False,False,False
ELF1,CD74,Tier A,extended_only,0.4200206398348813,0.4443282224532225,0.96,positive,0.4265550935550936,0.03045589327214629,2070,1026,usable_signed_edge_feature_present,False,False,False,False
ELF1,CTSB,Tier A,extended_only,0.5459236326109391,0.5941727367325702,0.98,positive,0.5822892819979187,0.04157526306447159,2070,1401,usable_signed_edge_feature_present,False,False,False,False
ELF1,GPX4,Tier A,direct,0.2033023735810113,0.2196137678209512,0.755,positive,0.16580839470481817,0.011838664803339439,2070,2638,usable_signed_edge_feature_present,False,False,False,False
ELF1,HLA-DPA1,Tier A,extended_only,0.47781217750258,0.4890287471283444,0.995,positive,0.4865836033927027,0.034741909115171436,2070,1111,usable_signed_edge_feature_present,False,False,False,False
ELF1,HLA-DRA,Tier A,extended_only,0.5128998968008256,0.5039157940663177,0.995,positive,0.5013962150959861,0.03579952471496893,2070,1103,usable_signed_edge_feature_present,False,False,False,False
ELF1,HLA-DRB1,Tier A,extended_only,0.2262896752149309,0.2144470482125058,0.8,positive,0.17155763857000464,0.012249158922854731,2070,1104,usable_signed_edge_feature_present,False,False,False,False
ELF1,HMOX1,Tier A,extended_only,0.6780185758513931,0.6777901009046625,0.995,positive,0.6744011504001391,0.04815202014824012,2070,2848,usable_signed_edge_feature_present,False,False,False,False
ELF1,IRF8,Tier A,extended_only,0.281733746130031,0.2833328450473149,0.82,positive,0.23233293293879817,0.016588494935589927,2070,2426,usable_signed_edge_feature_present,False,False,False,False
