scenario_id,regulator,direction,magnitude,scenario_type,n_cells,n_donors,mean_euclidean_displacement,median_euclidean_displacement,max_euclidean_displacement,mean_cosine_similarity,total_clipping_count,mean_clipping_fraction,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_rescue_claim,drug_match_claim,mean_movement_toward_centroid__lymphocyte,mean_movement_toward_centroid__micro_pvm_1,mean_movement_toward_centroid__micro_pvm_2,mean_movement_toward_centroid__micro_pvm_2_1_seaad,mean_movement_toward_centroid__micro_pvm_2_3_seaad,mean_movement_toward_centroid__micro_pvm_3_seaad,mean_movement_toward_centroid__micro_pvm_4_seaad,mean_movement_toward_centroid__monocyte
baseline,baseline,none,0.0,baseline,32,6,0.0,0.0,0.0,1.000000037252903,0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF1_down_0p10,ELF1,down,0.1,perturbation,32,6,0.00016390258133469615,0.00017296733858529478,0.00032720042509026825,1.0000000149011612,573,0.74609375,False,False,False,False,False,False,1.180334948003292e-05,-1.8333084881305695e-05,-9.355135262012482e-06,-7.646158337593079e-06,-2.562999725341797e-06,-1.621246337890625e-05,-1.5011057257652283e-05,-5.422160029411316e-06
ELF1_down_0p25,ELF1,down,0.25,perturbation,32,6,0.0004097597706618217,0.00043240116792730987,0.0008181846351362765,0.9999999273568392,573,0.74609375,False,False,False,False,False,False,2.9299408197402954e-05,-4.5806169509887695e-05,-2.3300759494304657e-05,-1.905299723148346e-05,-6.297603249549866e-06,-4.042498767375946e-05,-3.747548907995224e-05,-1.3585202395915985e-05
ELF1_up_0p10,ELF1,up,0.1,perturbation,32,6,0.0002500475575288874,0.00023162604338722304,0.0004749169747810811,1.0000000167638063,0,0.0,False,False,False,False,False,False,-7.119029760360718e-06,5.007442086935043e-05,3.827270120382309e-05,2.168305218219757e-05,1.7890706658363342e-05,4.453025758266449e-05,4.407297819852829e-05,4.9027614295482635e-05
ELF1_up_0p25,ELF1,up,0.25,perturbation,32,6,0.0006251471240830142,0.0005791564472019672,0.0011872983304783702,0.9999998323619366,0,0.0,False,False,False,False,False,False,-1.8222257494926453e-05,0.000125223770737648,9.580980986356735e-05,5.432590842247009e-05,4.489719867706299e-05,0.00011143647134304047,0.00011022388935089111,0.00012251269072294235
SPI1_down_0p10,SPI1,down,0.1,perturbation,32,6,7.720337791283782e-05,4.1154014979838394e-05,0.0005271864356473088,1.0000000428408384,351,0.7312500000000001,False,False,False,False,False,False,8.707866072654724e-07,-1.559033989906311e-06,-4.805624485015869e-07,3.676861524581909e-06,1.1008232831954956e-06,-2.942979335784912e-07,4.945322871208191e-07,-7.158145308494568e-06
SPI1_down_0p25,SPI1,down,0.25,perturbation,32,6,0.00019298694905955927,0.00010285254393238574,0.001317951362580061,0.9999999944120646,351,0.7312500000000001,False,False,False,False,False,False,2.1443702280521393e-06,-3.945082426071167e-06,-1.2293457984924316e-06,9.143725037574768e-06,2.7101486921310425e-06,-7.972121238708496e-07,1.2014061212539673e-06,-1.7910264432430267e-05
SPI1_up_0p10,SPI1,up,0.1,perturbation,32,6,0.00035082572230749065,0.0003207294357707724,0.0006369867478497326,0.9999999683350325,0,0.0,False,False,False,False,False,False,1.6528647392988205e-05,6.23948872089386e-05,6.003864109516144e-05,6.903335452079773e-05,7.408857345581055e-05,6.394833326339722e-05,5.362648516893387e-05,0.00012954603880643845
SPI1_up_0p25,SPI1,up,0.25,perturbation,32,6,0.0008771836828600499,0.0008018677472136915,0.0015931775560602546,0.999999612569809,0,0.0,False,False,False,False,False,False,4.053325392305851e-05,0.00015598256140947342,0.000150168314576149,0.00017255358397960663,0.0001852717250585556,0.0001598801463842392,0.0001340312883257866,0.00032375846058130264
STAT1_down_0p10,STAT1,down,0.1,perturbation,32,6,0.00011096994595050091,3.9003371057333425e-05,0.0003979975008405745,1.000000011175871,370,0.6801470588235294,False,False,False,False,False,False,-5.5693089962005615e-06,-2.4184584617614746e-05,-1.0841526091098785e-05,-1.1557713150978088e-05,-5.582347512245178e-06,-1.4944002032279968e-05,-1.585390418767929e-05,-3.053434193134308e-05
STAT1_down_0p25,STAT1,down,0.25,perturbation,32,6,0.000277485768947372,9.750646131578833e-05,0.0009954327251762152,0.9999999459832907,370,0.6801470588235294,False,False,False,False,False,False,-1.408485695719719e-05,-6.04754313826561e-05,-2.7074478566646576e-05,-2.8878450393676758e-05,-1.3930723071098328e-05,-3.733299672603607e-05,-3.9637088775634766e-05,-7.638148963451385e-05
STAT1_up_0p10,STAT1,up,0.1,perturbation,32,6,0.00033564047453182866,0.0003165295929647982,0.000658879813272506,0.9999999944120646,27,0.04963235294117647,False,False,False,False,False,False,3.188150003552437e-05,0.00011824816465377808,7.185153663158417e-05,6.780959665775299e-05,4.908628761768341e-05,8.845143020153046e-05,8.888542652130127e-05,0.00014280900359153748
STAT1_up_0p25,STAT1,up,0.25,perturbation,32,6,0.0008389307131437818,0.0007912617875263095,0.001646818476729095,0.9999996684491634,27,0.04963235294117647,False,False,False,False,False,False,7.900013588368893e-05,0.00029566045850515366,0.00017972104251384735,0.0001696161925792694,0.00012284144759178162,0.0002212338149547577,0.00022224895656108856,0.00035688839852809906
