scenario_id,control_type,control_graph_id,seed,donor_id,metric,real_donor_value,control_donor_value,paired_difference,aggregation_unit,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_benefit_claim
ELF1_down_0p10,no_graph,no_graph,,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,0.0,3.627306432463229e-05,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002046783047262,2.5646749418200014e-05,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.00016594940098,6.582018448300002e-06,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.000119709802675,5.065244944799991e-06,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001729377727315,3.200315404699994e-06,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001354948981315,9.795343885399998e-06,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H18.30.001,mean_cosine_similarity,0.9999998807907104,1.0,-1.1920928955078125e-07,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H18.30.002,mean_cosine_similarity,1.0,1.000000011920929,-1.1920928910669204e-08,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H19.33.004,mean_cosine_similarity,1.0000000162558125,1.000000005418604,1.0837208463954084e-08,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.001,mean_cosine_similarity,1.000000034059797,1.0000000510896956,-1.7029898602416438e-08,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.002,mean_cosine_similarity,0.9999999850988388,1.0000000298023224,-4.470348358154297e-08,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.004,mean_cosine_similarity,1.0000000596046448,1.0000000149011612,4.470348358154297e-08,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H18.30.001,mean_clipping_fraction,0.625,1.0,-0.375,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H18.30.002,mean_clipping_fraction,0.6083333333333333,0.2,0.40833333333333327,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H19.33.004,mean_clipping_fraction,0.731060606060606,0.0909090909090909,0.640151515151515,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.001,mean_clipping_fraction,0.8630952380952381,0.2857142857142857,0.5773809523809524,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.002,mean_clipping_fraction,0.7604166666666667,0.0,0.7604166666666667,Donor ID,False,False,False,False,False
ELF1_down_0p10,no_graph,no_graph,,H20.33.004,mean_clipping_fraction,0.7708333333333333,0.25,0.5208333333333333,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79001,79001.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79001,79001.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79001,79001.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79001,79001.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79001,79001.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79001,79001.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79002,79002.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79002,79002.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79002,79002.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79002,79002.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79002,79002.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79002,79002.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79003,79003.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79003,79003.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79003,79003.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79003,79003.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79003,79003.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79003,79003.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79004,79004.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79004,79004.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79004,79004.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79004,79004.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79004,79004.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79004,79004.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
