target,n_donors,r2,mae,spearman
percent NeuN positive area_Grey matter,84,0.09701318441368356,1.4401344060897827,0.343930343221626
number of NeuN positive cells per area_Grey matter,84,0.07686901324343598,9.83005520538427e-05,0.3122000607471904
percent Iba1 positive area_Grey matter,84,0.030258946214205662,1.5656633377075195,0.2859775235395363
guhcl pTau_Grey matter,84,0.07284722717340708,0.5430340766906738,0.27062271878179783
number of AT8 positive cells per area_Grey matter,84,0.10710180902783106,3.713624437295948e-06,0.2329123666967116
percent GFAP positive area_Grey matter,84,0.04996040506224664,3.437142848968506,0.2264452769059431
percent AT8 positive area_Grey matter,84,0.06682668177858564,1.1213117837905884,0.19096891768755694
ripa tTau_Grey matter,84,-0.004737663347967214,341.4832458496094,0.18791130910195403
guhcl tTau_Grey matter,84,-0.005367523643726724,35.05298614501953,0.11266578920724916
ripa abeta42_Grey matter,84,-0.006642047479795021,95.9617919921875,0.07793943443793093
ripa pTau_Grey matter,84,-0.13883668711800534,1.8974367380142212,-0.12619216361243293
number of activated Iba1 positive cells_Grey matter,84,-0.13164251766880408,3192.589599609375,-0.15367014275589755
ripa abeta40_Grey matter,84,-0.08261960476318086,47.38892364501953,-0.17237277067081103
guhcl abeta40_Grey matter,84,-0.09203460809678332,96.81073760986328,-0.20993429112373316
number of 6e10 positive objects per area_Grey matter,84,-0.11736288035379516,6.686818960588425e-05,-0.23531674918243578
guhcl abeta42_Grey matter,84,-0.09120698260560989,598.030517578125,-0.26856468849189274
percent 6e10 positive area_Grey matter,84,-0.11277087711057598,2.133909225463867,-0.29660828186696364
