target,n_donors,r2,mae,spearman
percent NeuN positive area_Grey matter,84,0.16327523327309634,1.4038584232330322,0.39129290270324996
number of NeuN positive cells per area_Grey matter,84,0.1598161753916313,9.443007002118975e-05,0.38143160878809357
number of AT8 positive cells per area_Grey matter,84,0.1437544502698096,3.6202573028276674e-06,0.29667514001276063
percent AT8 positive area_Grey matter,84,0.09108955559436838,1.0937331914901733,0.28306165839829905
ripa tTau_Grey matter,84,0.006579426920906517,329.87652587890625,0.28053052546319734
percent GFAP positive area_Grey matter,84,0.05568847497099061,3.39271879196167,0.2576490837298775
guhcl tTau_Grey matter,84,0.056572882219434684,34.06586456298828,0.23535486483750126
guhcl pTau_Grey matter,84,0.06426817760517367,0.5540170073509216,0.22961774249887362
percent Iba1 positive area_Grey matter,84,0.010068318244724872,1.593846321105957,0.1750126556646755
ripa abeta42_Grey matter,84,-0.01782001839850933,98.42616271972656,0.052860715406655934
ripa pTau_Grey matter,84,-0.05620911575169396,1.8454822301864624,-0.01210893996152678
percent 6e10 positive area_Grey matter,84,-0.06508492708977465,2.0890071392059326,-0.06552596942391414
number of 6e10 positive objects per area_Grey matter,84,-0.0830958010456444,6.619771011173725e-05,-0.07836466907632962
ripa abeta40_Grey matter,84,-0.07125353708417625,45.8554573059082,-0.09300536102097329
guhcl abeta40_Grey matter,84,-0.08442700546663828,94.8389892578125,-0.14467089876378217
number of activated Iba1 positive cells_Grey matter,84,-0.1412787602188812,3191.6982421875,-0.18133036347068948
guhcl abeta42_Grey matter,84,-0.09898832989833606,595.099609375,-0.25632406765246357
