representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514375117671824,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.003846281376170618,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722828175158503,0.0989774222942189,-0.3573007382883968,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581293754113862,-0.01210893996152678,-0.12774425074560303,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620050477686609,-0.04355573554723094,-0.171487625549416,1.7882497310638428
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06182979547391136,-0.009355067328136074,-0.14055397345453646,1.1635926961898804
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.04542994837532343,0.33184165232358004,0.09152595268264319,1.4385737180709839
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.05835843347231219,0.12155512807532652,-0.11353334533802273,2.0000975131988525
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06409361567514371,-0.06631568289966588,-0.22079643294339268,3.9214999675750732
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.057301496995544154,-0.08952110964867875,-0.27976733638497175,1.7748430967330933
