representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.0075143823372469925,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.0038462781311134056,0.329776247848537,0.10248566801696257,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722819767653049,0.0989774222942189,-0.3573007382883968,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581269494987644,-0.01210893996152678,-0.12774438557130408,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620061437077247,-0.04355573554723094,-0.17148770649616263,1.7882497310638428
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.0647914776660619,-0.011015490533562823,-0.19302929291552706,1.2041853666305542
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.04655251697667976,0.2552191961121798,0.024047080149164457,1.5015618801116943
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.05977590419510527,0.15883365394350513,-0.12666551368078016,1.9804341793060303
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06713283285574646,-0.1299179912929027,-0.27597533417729725,4.053365230560303
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.059845486452890444,-0.027842462286119266,-0.2030328965150079,1.7791193723678589
