representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514398123993861,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.0038462834499502726,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722838688136491,0.0989774222942189,-0.35730082960195686,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581279423120626,-0.01210893996152678,-0.12774438557130408,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.01162007109611774,-0.04355573554723094,-0.171487625549416,1.7882499694824219
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06306255662112965,0.004819277108433735,-0.1354633157357399,1.18705153465271
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.04615392094809917,0.27372684013364385,0.044810793896874035,1.4933465719223022
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.0583892069617303,0.1901589551483244,-0.04773955108062289,1.9370883703231812
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06401961052983543,-0.0016806722689075631,-0.17429302626869814,3.815378189086914
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.05738701442678465,-0.14399109041206845,-0.28707439920717515,1.8220752477645874
