representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514374198832163,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.003846289773025403,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.0057228323472447995,0.0989774222942189,-0.3573007382883968,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581287326798092,-0.01210893996152678,-0.12774431815845344,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620045022620746,-0.04355573554723094,-0.17148778744290927,1.7882499694824219
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06362276752085907,-0.08597752353953629,-0.20246097645950178,1.2210737466812134
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.04563734468821207,0.3125847929533259,0.07590851045353486,1.446790337562561
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.0590035539553728,0.16166852283081906,-0.10925640080662746,1.9960992336273193
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06498767309014264,-0.07708818467145895,-0.20788754619718386,3.895453691482544
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.058787078837168064,-0.08939961526779386,-0.27976968384062517,1.7972123622894287
