gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,n_donors,n_cells,adjusted_slope,partial_spearman,mean_adjusted_contribution,adjusted_ci_low,adjusted_ci_high,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman
CHI3L1,at8_associated_first_pass,-0.004308036994189,-0.0087369370041415,-0.0006146715284558,89,40000,4.046985626220703,0.4158752657689581,-2.660921616381984e-08,-0.0873545629903674,0.0934030916541813,True,0.4158752657689581
PTPRG,at8_associated_first_pass,-0.004661226645112,-0.0077993415296077,-0.0018228481116238,89,40000,1.892717957496643,0.3551078262630353,-1.488342178390667e-07,-0.0649789966642856,0.0671010769903659,True,0.3551078262630353
NFKBIA,at8_associated_first_pass; inflammatory_signaling,-0.0010495042661204,-0.0020539476652629,-0.0001595178884599,89,40000,6.192605972290039,0.3488103675205021,1.963316691444561e-07,-0.0585810887627303,0.0608867920003831,True,0.3488103675205021
S100A4,at8_associated_first_pass,-0.0017934101633727,-0.0034777427266817,-0.0004110288631636,89,40000,9.555667877197266,0.3326718639262934,3.902685108414517e-08,-0.0623217140324413,0.0715315928682684,True,0.3326718639262934
TNFRSF11B,at8_associated_first_pass; inflammatory_signaling,-0.001194474985823,-0.0021436712937429,-0.0003567934138118,89,40000,10.497906684875488,0.3057811076237724,-2.5810939163761762e-08,-0.0594138463027775,0.0643984435126184,True,0.3057811076237724
DRAM1,at8_associated_first_pass,-0.0023238535504788,-0.0043486723909154,-0.0007127151096938,89,40000,4.37706995010376,0.2810974992406601,-3.8228574084087086e-08,-0.0555345327593386,0.0584827006794512,True,0.2810974992406601
P2RY12,homeostatic_microglia,-0.0023165594320744,-0.0036262596608139,-0.0009767180992639,89,40000,-1.0541304349899292,-0.1527184367722993,7.486059416805801e-08,-0.0286867965012788,0.0283883545082062,True,0.1527184367722993
MRC1,vascular_barrier_myeloid,-0.0035524046979844,-0.005808620119933,-0.0010068400850286,89,40000,-1.1011844873428345,-0.1374101447808038,1.7207293367960123e-08,-0.0302248263731598,0.029641995113343,True,0.1374101447808038
MSR1,vascular_barrier_myeloid,-0.0014059580862522,-0.0024019172764383,-0.0003987006246461,89,40000,-0.5105121731758118,-0.0814214842563531,-6.341863034720063e-09,-0.0252696274779736,0.0239583956077694,True,0.0814214842563531
CTSD,at8_associated_first_pass,-0.0024906557518988,-0.0045670188497751,-0.0007294043767615,89,40000,0.274726390838623,0.0395261719145489,-4.789658891724002e-09,-0.0043869692832231,0.004536696546711,True,0.0395261719145489
GPR34,homeostatic_microglia,-0.000901497201994,-0.0018498518329579,7.564570132672053e-05,89,40000,,,,,,True,
P2RY13,homeostatic_microglia,-0.0007769010262563,-0.0011793957179179,-0.0003542302270943,89,40000,,,,,,True,
CX3CR1,homeostatic_microglia,-0.0007245950982905,-0.0010006397555116,-0.0004325881229306,89,40000,,,,,,True,
CD163,vascular_barrier_myeloid,-0.0006462618475779,-0.0008756517883739,-0.0004233540530549,89,40000,,,,,,True,
BSG,at8_associated_first_pass,-0.0005787399131804,-0.0010750935645774,-0.0001294854329898,89,40000,,,,,,True,
SLC6A12,at8_associated_first_pass,-0.0005324911326169,-0.0012176833901321,-3.994009421148805e-05,89,40000,,,,,,True,
IL27RA,at8_associated_first_pass; inflammatory_signaling,-0.0003854191745631,-0.0006642729611485,-0.000125541417583,89,40000,,,,,,True,
LYVE1,vascular_barrier_myeloid,-0.0003584749356377,-0.0008619375512353,0.0001968614276847,89,40000,,,,,,True,
MERTK,vascular_barrier_myeloid,-0.0002590134390629,-0.000972313893726,0.000515944630024,89,40000,,,,,,True,
F13A1,vascular_barrier_myeloid,-0.0002327182010049,-0.0005105942080263,7.69731583204702e-05,89,40000,,,,,,True,
HEXB,homeostatic_microglia,-0.0001956709311343,-0.0004469149091164,1.571719844832819e-05,89,40000,,,,,,True,
IL1B,inflammatory_signaling,-0.000167441132362,-0.0006451826819102,0.0003764714681892,89,40000,,,,,,True,
TAP1,antigen_presentation,-8.918459934648126e-05,-0.0002737610833719,7.28163440726348e-05,89,40000,,,,,,True,
CFH,complement,-7.281511352630332e-05,-0.0001658524579397,1.4826786286903368e-05,89,40000,,,,,,True,
