held_out_donor,n_donors,spearman_rho,spearman_p
Sample-17,17,0.13108504266201962,0.6160315799820651
Sample-19,17,0.13108504266201962,0.6160315799820651
Sample-22,17,0.13108504266201962,0.6160315799820651
Sample-27,17,0.13108504266201962,0.6160315799820651
Sample-45,17,0.16192858211190658,0.534656386005219
Sample-52,17,0.1852580194460234,0.4765539165937135
Sample-58,17,0.20743679642195575,0.42435759257272043
Sample-47,17,0.22094391612533232,0.3941078829977792
Sample-33,17,0.22878807882800686,0.37709343170384935
Sample-46,17,0.22878807882800686,0.37709343170384935
Sample-66,17,0.22961557339788816,0.37532257651044176
Sample-100,17,0.25179435037382053,0.3295964233087766
Sample-50,17,0.2711661176635896,0.2924445695235218
Sample-90,17,0.2889266595485115,0.26070139939796116
Sample-82,17,0.2889266595485115,0.26070139939796116
Sample-43,17,0.2930136247739262,0.25371218290013386
Sample-37,17,0.3148611318842628,0.21834892565791847
Sample-96,17,0.3203033103592096,0.21006168866800184
