model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,STAT3,global_mean,1,STAT3,0.0099237486720085,0.017108004540205,0.0169596672058105,0.017108004540205,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,APP,global_mean,1,APP,0.0073264590464532,0.0128721520304679,0.0126904845237731,0.0128721520304679,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,GRB2,global_mean,1,GRB2,0.0037117709871381,0.0063339839689433,0.0051009953022003,0.0063339839689433,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,disease_associated_microglia;lipid_metabolism;plaque_response,APOE,global_mean,1,APOE,0.0035813336726278,0.0063072899356484,0.0058376789093017,0.0063072899356484,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,senescence_stress,HSP90AA1,global_mean,1,HSP90AA1,0.0033357311040163,0.0058206892572343,0.005491554737091,0.0058206892572343,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,chemokine_migration;homeostatic_microglia;synapse_pruning,CX3CR1,global_mean,1,CX3CR1,0.0028449262026697,0.0050454409793019,0.0049903392791748,0.0050454409793019,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,BCL2,global_mean,1,BCL2,0.0028274683281779,0.0048683919012546,0.0053464174270629,0.0048683919012546,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,HIF1A,global_mean,1,HIF1A,0.0023765624500811,0.004148312844336,0.0056111216545104,0.004148312844336,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,1,TLR2,-0.0017109793843701,-0.0029971925541758,-0.0028215199708938,0.0029971925541758,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,CD4,global_mean,1,CD4,-0.0014464830746874,-0.0025843996554613,-0.0021910071372985,0.0025843996554613,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,MAPK1,global_mean,1,MAPK1,0.0015033686067909,0.0025016348809003,0.0018683075904846,0.0025016348809003,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,at8_associated_first_pass,PTPRG,global_mean,1,PTPRG,-0.0014481367543339,-0.0024802442640066,-0.0021677613258361,0.0024802442640066,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,P2RY12,global_mean,1,P2RY12,0.0011491193436086,0.0020372555591166,0.0016393363475799,0.0020372555591166,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,ROCK1,global_mean,1,ROCK1,-0.0010919464984908,-0.0019059550249949,-0.0015951693058013,0.0019059550249949,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,P2RY13,global_mean,1,P2RY13,-0.0009775257203727,-0.0017155760433524,-0.0015544295310974,0.0017155760433524,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,RHOA,global_mean,1,RHOA,0.0009858256671577,0.0014317638706415,0.0020464062690734,0.0014317638706415,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,antigen_presentation,CD74,global_mean,1,CD74,0.000687928055413,0.0012450320646166,0.0013345777988433,0.0012450320646166,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,at8_associated_first_pass;disease_associated_microglia;lysosome_phagocytosis;plaque_response,CTSD,global_mean,1,CTSD,0.0006985100335441,0.0012059407308697,0.0012478828430175,0.0012059407308697,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,1,CSF1R,0.0004987585125491,0.0009486317867413,0.0005839653313159,0.0009486317867413,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,UGCG,global_mean,1,UGCG,0.000489592202939,0.0007971750455908,0.0009511709213256,0.0007971750455908,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,vascular_barrier_myeloid,F13A1,global_mean,1,F13A1,0.0004372429975774,0.0007706399192102,0.0007461905479431,0.0007706399192102,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
