model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H19.33.004,0.3916856,0.47947252,0.39144778,0.47912064,-0.00023782253,-0.00035187602
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.001,0.6871547,0.98805094,0.68688726,0.98751926,-0.00026744604,-0.00053167343
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.002,0.53884625,0.7140281,0.5387792,0.7139132,-6.7055225e-05,-0.000114917755
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.004,0.5985682,0.8195118,0.6042628,0.82990277,0.0056946278,0.010390997
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.005,0.642286,0.9008212,0.64094573,0.89827526,-0.00134027,-0.0025459528
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.008,0.5342879,0.7062329,0.5348029,0.7071117,0.00051498413,0.0008788109
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.011,0.49387848,0.6386595,0.49165213,0.63501525,-0.0022263527,-0.003644228
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.012,0.800436,1.2265115,0.8016206,1.2291505,0.0011845827,0.0026390553
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.013,0.3766539,0.45739982,0.37784946,0.45914328,0.00119555,0.0017434657
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.014,0.32331824,0.38170502,0.32171956,0.37949786,-0.001598686,-0.00220716
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.015,0.50988615,0.66510165,0.5134737,0.67108595,0.003587544,0.0059843063
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.016,0.1824019,0.2000964,0.18134812,0.19883244,-0.0010537803,-0.0012639612
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.017,0.600761,0.823506,0.60151863,0.824888,0.00075763464,0.0013819933
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.018,0.65145046,0.91832125,0.65142417,0.9182708,-2.6285648e-05,-5.042553e-05
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.019,0.5582427,0.74759877,0.559452,0.7497134,0.0012093186,0.0021146536
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.020,0.6753851,0.9647895,0.6767914,0.96755457,0.001406312,0.0027650595
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.024,0.15273342,0.16501434,0.1551159,0.1677933,0.002382487,0.0027789623
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.025,0.4688734,0.5981927,0.4673207,0.59571314,-0.001552701,-0.0024795532
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.026,0.7372587,1.0901978,0.7404337,1.0968447,0.0031750202,0.0066468716
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.027,0.33715832,0.40096083,0.3350031,0.39794475,-0.0021552145,-0.0030160844
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.028,0.5288046,0.69690263,0.52917457,0.6975305,0.00036996603,0.0006278753
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.029,0.7123819,1.0388417,0.7104426,1.0348916,-0.0019392967,-0.003950119
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.030,0.54369116,0.7223526,0.54274213,0.72071886,-0.00094902515,-0.0016337633
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.031,0.65153396,0.91848147,0.65128535,0.9180045,-0.00024861097,-0.00047695637
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.032,0.8201556,1.2708533,0.821181,1.2731829,0.0010253787,0.002329588
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.033,0.7280868,1.0711143,0.7277863,1.070492,-0.00030052662,-0.0006222725
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.034,0.4548761,0.57597804,0.4566911,0.5788411,0.0018149912,0.0028630495
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.035,0.54085016,0.71746635,0.54169333,0.7189151,0.0008431673,0.0014487505
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.036,0.6560753,0.9272138,0.6564164,0.9278712,0.00034111738,0.00065743923
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.037,0.7726585,1.1655157,0.7754842,1.1716435,0.0028256774,0.0061278343
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.038,0.5258336,0.69186866,0.5263466,0.69273674,0.0005130172,0.00086808205
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.039,0.08946955,0.09359404,0.089998454,0.0941726,0.0005289018,0.00057855994
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.040,0.6879855,0.9897032,0.6891375,0.99199677,0.0011520386,0.0022935867
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.041,0.6170649,0.85347986,0.61745334,0.8542,0.00038844347,0.0007201433
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.043,0.5115727,0.66791224,0.5113623,0.6675614,-0.0002104044,-0.00035083294
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.044,0.6253915,0.86897755,0.6266171,0.87126946,0.0012255907,0.0022919178
