model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H19.33.004,1.627787,4.0925922,1.6275188,4.0912266,-0.0002682209,-0.0013656616
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.001,1.6740731,4.333849,1.6743906,4.335542,0.00031745434,0.0016932487
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.002,1.7074149,4.514687,1.7076061,4.5157413,0.0001912117,0.001054287
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.004,1.8573438,5.406697,1.8582757,5.4126697,0.000931859,0.0059728622
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.005,1.7330246,4.6577406,1.7334605,4.6602073,0.00043594837,0.0024666786
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.008,1.6433654,4.172548,1.6439954,4.1758075,0.0006300211,0.0032596588
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.011,1.5313896,3.6245985,1.5313717,3.624516,-1.7881393e-05,-8.249283e-05
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.012,1.9702189,6.1722465,1.9730449,6.1925435,0.0028259754,0.02029705
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.013,1.5877612,3.8927827,1.5914661,3.9109435,0.0037049055,0.01816082
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.014,1.6883459,4.410524,1.6921179,4.430971,0.0037720203,0.020447254
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.015,1.5816091,3.8627744,1.5858306,3.8833456,0.0042214394,0.020571232
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.016,1.4271474,3.1667962,1.4272492,3.16722,0.00010180473,0.00042390823
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.017,1.7005142,4.476763,1.7017219,4.4833813,0.0012077093,0.0066184998
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.018,1.7883283,4.9794483,1.788438,4.980104,0.00010967255,0.0006556511
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.019,1.6322496,4.1153693,1.6336349,4.122461,0.0013853312,0.007091522
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.020,1.7021413,4.485681,1.7037641,4.4945908,0.0016227961,0.008909702
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.024,1.3729584,2.9470103,1.3753538,2.9564762,0.0023953915,0.009465933
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.025,1.9770778,6.2216096,1.9792674,6.2374387,0.002189517,0.015829086
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.026,1.7162136,4.563423,1.7180551,4.573678,0.0018415451,0.01025486
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.027,1.7240185,4.6070147,1.7259272,4.6177278,0.0019087791,0.0107131
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.028,1.5505688,3.714151,1.5543681,3.7320957,0.0037993193,0.017944813
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.029,1.7140708,4.5515146,1.7130191,4.5456796,-0.0010516644,-0.0058350563
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.030,1.7821698,4.942737,1.7816905,4.939889,-0.00047934055,-0.0028481483
