model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H19.33.004,1.230179,2.4218419,1.2330366,2.4316344,0.002857685,0.009792566
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.001,1.1806276,2.2564173,1.1819429,2.2607033,0.0013153553,0.004286051
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.002,1.1672786,2.2132363,1.1708437,2.2247121,0.003565073,0.0114758015
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.004,1.5922227,3.9146605,1.5905094,3.9062476,-0.0017132759,-0.008412838
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.005,1.0434308,1.8389401,1.0446999,1.8425453,0.0012691021,0.0036051273
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.008,0.96527326,1.625505,0.9663842,1.6284232,0.0011109114,0.0029182434
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.011,1.1575251,2.182048,1.1606709,2.192074,0.003145814,0.010025978
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.012,1.0002198,1.7188795,1.0025775,1.7252975,0.0023577213,0.0064179897
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.013,1.1697737,2.2212636,1.1734004,2.2329674,0.0036267042,0.01170373
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.014,1.1613302,2.1941795,1.1665031,2.2107453,0.0051728487,0.0165658
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.015,1.2627168,2.5350122,1.264181,2.5401921,0.0014642477,0.005179882
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.016,1.1686752,2.217727,1.1711577,2.225725,0.0024825335,0.00799799
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.017,1.0741864,1.9276102,1.0745816,1.9287672,0.0003951788,0.0011570454
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.018,1.1208127,2.0673459,1.1224245,2.072294,0.0016118288,0.004948139
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.019,1.1483736,2.1530607,1.1492462,2.1558132,0.000872612,0.0027525425
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.020,0.951072,1.5884829,0.9527764,1.5928986,0.0017043948,0.0044157505
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.024,1.4984002,3.474525,1.4993361,3.478715,0.00093591213,0.004189968
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.025,1.1847925,2.2700083,1.1897843,2.2863722,0.00499177,0.01636386
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.026,1.2438083,2.4687984,1.2441033,2.4698222,0.000295043,0.0010237694
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.027,1.1842083,2.2680984,1.1881627,2.2810473,0.0039544106,0.01294899
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.028,1.0040693,1.7293661,1.0065155,1.7360506,0.0024461746,0.0066845417
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.029,1.0869552,1.9652317,1.088594,1.9700952,0.0016387701,0.0048635006
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.030,1.3367116,2.8065057,1.3389344,2.8149762,0.0022227764,0.008470535
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.031,1.2321972,2.4287548,1.2341374,2.4354138,0.0019402504,0.006659031
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.032,1.5426245,3.6768484,1.5475116,3.6997604,0.004887104,0.022912025
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.033,0.841081,1.3188725,0.8455645,1.3292923,0.0044834614,0.010419846
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.034,1.358574,2.8906415,1.3629233,2.9075997,0.0043492317,0.016958237
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.035,1.2362179,2.4425685,1.2371496,2.4457777,0.0009317398,0.003209114
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.036,0.95921993,1.6096599,0.96225464,1.6175916,0.003034711,0.007931709
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.037,1.1318223,2.101303,1.1358905,2.1139452,0.004068136,0.012642145
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.038,1.0402933,1.8300471,1.0421082,1.8351879,0.0018148422,0.0051407814
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.039,1.290009,2.6328194,1.2928156,2.6430292,0.0028065443,0.010209799
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.040,1.1358576,2.1138427,1.1367694,2.1166835,0.00091183186,0.0028407574
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.041,1.3397166,2.8179612,1.3418672,2.8261812,0.0021506548,0.008219957
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.043,1.2428277,2.4653986,1.2450187,2.4729998,0.0021910667,0.007601261
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.044,1.4596382,3.3044019,1.4621202,3.3150988,0.0024819374,0.010696888
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.045,1.1926951,2.2959523,1.1966596,2.3090448,0.003964424,0.013092518
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.046,1.1168017,2.0550675,1.1203502,2.0659277,0.003548503,0.010860205
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.001,1.4659793,3.3317833,1.4678463,3.339878,0.0018669367,0.008094788
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.002,1.198673,2.3157141,1.1994464,2.3182795,0.00077342987,0.002565384
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.003,1.0529383,1.8660603,1.0561116,1.8751693,0.003173232,0.00910902
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.004,1.1948898,2.3031936,1.1968676,2.3097332,0.0019778013,0.006539583
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.005,1.2077574,2.3459723,1.2106496,2.3556638,0.0028922558,0.009691477
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.006,0.98502845,1.6778882,0.9878849,1.6855483,0.0028564334,0.0076601505
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.007,1.1920662,2.29388,1.1940372,2.3003786,0.0019710064,0.006498575
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.008,1.0718815,1.9208701,1.0732683,1.9249234,0.0013867617,0.0040533543
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.009,1.1120198,2.0404932,1.1148225,2.049027,0.0028027296,0.008533716
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.010,1.230013,2.421274,1.2308497,2.4241378,0.00083673,0.002863884
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.011,1.3538604,2.8723454,1.3575019,2.8864722,0.0036414862,0.014126778
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.012,1.1493621,2.156179,1.1520752,2.1647534,0.0027130842,0.008574486
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.013,1.0342002,1.8128555,1.0352049,1.8156831,0.0010046959,0.0028276443
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.014,1.3069154,2.6947594,1.3103144,2.7073393,0.0033990145,0.012579918
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.015,1.4356936,3.202559,1.4382849,3.2134628,0.0025912523,0.010903835
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.016,1.0364171,1.8190985,1.0394247,1.8275898,0.0030075312,0.008491278
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.017,0.9953484,1.7056668,0.99711126,1.7104406,0.001762867,0.004773855
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.018,1.0119567,1.7509785,1.0133879,1.7549186,0.0014312267,0.0039401054
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.019,1.1771731,2.2451875,1.1809335,2.2574134,0.0037603378,0.012225866
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.020,1.2120694,2.3604314,1.2150694,2.370528,0.003000021,0.01009655
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.021,1.0670099,1.9066753,1.0688087,1.9119084,0.001798749,0.0052330494
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.022,1.1167989,2.055059,1.1183475,2.0597937,0.0015486479,0.0047347546
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.023,1.2587024,2.52085,1.2606828,2.5278296,0.001980424,0.006979704
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.025,1.2441986,2.4701526,1.2463312,2.477561,0.0021326542,0.0074083805
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.026,1.3322215,2.7894523,1.3356295,2.8023887,0.0034079552,0.012936354
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.027,1.6084123,3.9948745,1.6108727,4.0071793,0.0024604797,0.012304783
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.028,1.1425744,2.1348283,1.1441159,2.1396644,0.0015414953,0.0048360825
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.029,1.4178283,3.1281457,1.420407,3.138805,0.0025787354,0.010659218
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.030,1.3588663,2.8917787,1.3617182,2.9028933,0.0028518438,0.011114597
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.031,1.6372027,4.1407695,1.6418263,4.1645927,0.0046235323,0.023823261
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.032,1.3834989,2.988834,1.3873061,3.0040488,0.003807187,0.01521492
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.033,1.0483872,1.853046,1.0517116,1.8625464,0.0033243895,0.009500504
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.034,1.2226328,2.3961172,1.2261822,2.4081929,0.0035494566,0.012075663
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.035,1.6221411,4.063921,1.6266211,4.0866585,0.0044800043,0.022737503
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.036,1.1863574,2.2751293,1.1878787,2.2801158,0.001521349,0.0049865246
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.037,1.5101564,3.5274386,1.5130863,3.5407233,0.002929926,0.013284683
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.038,1.2042929,2.3344004,1.2067672,2.342661,0.002474308,0.0082604885
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.039,1.0729812,1.924084,1.0743395,1.9280584,0.0013582706,0.0039744377
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.040,1.2280552,2.4145825,1.2312541,2.4255228,0.003198862,0.010940313
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.041,1.5047127,3.5028596,1.5078521,3.5170183,0.0031393766,0.014158726
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.042,1.2887595,2.6282828,1.2901127,2.633196,0.0013532639,0.00491333
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.043,1.3990726,3.0514412,1.4017305,3.062224,0.0026578903,0.010782719
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.044,0.8953997,1.4483142,0.8990482,1.4572632,0.0036485195,0.008949041
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.045,1.4112973,3.1012726,1.4118643,3.1035986,0.0005669594,0.0023260117
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.046,1.3693728,2.9328835,1.3712144,2.9401326,0.0018415451,0.007249117
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.047,1.7142043,4.552256,1.7165143,4.565097,0.0023100376,0.012840748
