model,source_z_0,source_z_1,source_z_2,source_z_3,source_z_4,source_z_5,source_z_6,source_z_7,source_z_8,source_z_9,source_z_10,source_z_11,source_z_12,source_z_13,source_z_14,source_z_15,source_z_16,source_z_17,source_z_18,source_z_19,source_z_20,source_z_21,source_z_22,source_z_23,source_z_24,source_z_25,source_z_26,source_z_27,source_z_28,source_z_29,source_z_30,source_z_31,source_z_32,source_z_33,source_z_34,source_z_35,source_z_36,source_z_37,source_z_38,source_z_39,source_z_40,source_z_41,source_z_42,source_z_43,source_z_44,source_z_45,source_z_46,source_z_47,source_z_48,source_z_49,source_z_50,source_z_51,source_z_52,source_z_53,source_z_54,source_z_55,source_z_56,source_z_57,source_z_58,source_z_59,source_z_60,source_z_61,source_z_62,source_z_63,source_z_64,source_z_65,source_z_66,source_z_67,source_z_68,source_z_69,source_z_70,source_z_71,source_z_72,source_z_73,source_z_74,source_z_75,source_z_76,source_z_77,source_z_78,source_z_79,source_z_80,source_z_81,source_z_82,source_z_83,source_z_84,source_z_85,source_z_86,source_z_87,source_z_88,source_z_89,source_z_90,source_z_91,source_z_92,source_z_93,source_z_94,source_z_95,source_z_96,source_z_97,source_z_98,source_z_99,source_z_100,source_z_101,source_z_102,source_z_103,source_z_104,source_z_105,source_z_106,source_z_107,source_z_108,source_z_109,source_z_110,source_z_111,source_z_112,source_z_113,source_z_114,source_z_115,source_z_116,source_z_117,source_z_118,source_z_119,source_z_120,source_z_121,source_z_122,source_z_123,source_z_124,source_z_125,source_z_126,source_z_127
upgrade_fine_08,0.4385828,-0.96532637,0.6066021,0.024578005,0.60747135,2.1805024,0.9390502,-0.11817247,0.9288917,0.25605902,0.30436072,0.12266225,-0.46212035,-0.19704482,0.37765777,-0.44323477,0.6356221,0.96280813,1.1156532,-0.37831634,-0.34849125,-0.65425676,0.45362085,-0.40310252,0.93616897,-0.14647023,-0.38226706,-0.52111024,-0.7228545,-2.1160877,-0.08878162,0.7908096,1.3512379,0.24576765,-0.1595984,0.35112053,-1.4611652,-0.3889698,-0.4748195,-0.09265705,0.3832711,-0.7074833,0.010579638,-0.8231437,-1.0459559,-0.16654667,-0.15925348,1.2319894,0.9199155,0.15082085,-1.1933262,0.11361816,0.4982107,1.3105867,-0.052973583,-0.2852421,-0.7620871,-0.306396,0.09066177,2.120037,1.3976345,-0.031561878,-0.30193907,1.5620162,1.003423,0.055539876,-0.06042408,-0.5399458,0.6880978,-0.8389248,-1.4456991,-0.11347054,-0.2764631,-0.63425756,0.90506303,-0.62037313,0.23386897,0.37617046,-0.43935722,-0.82386124,-1.1365042,0.14691183,-0.43846753,0.8484285,0.80643964,0.04960899,-0.12836105,-1.805129,0.33256438,-0.2367817,-0.31401527,-0.7156883,1.1348493,1.1095737,0.10849379,0.22874685,-1.540746,-0.011143475,-0.22437967,-0.4856447,-1.2331203,0.98303324,-0.83802545,-0.2508452,0.5822611,0.032552816,-0.7635605,0.32475695,-0.82086784,-0.45047113,0.059631933,1.0802379,-0.91870546,0.032402456,0.96656585,-0.65711254,0.28244755,1.4325839,1.2280648,-0.3590619,-0.0058847475,0.3462674,0.009451189,-0.42901364,1.6929768,-0.22433652,0.41816214,0.5037304
upgrade_fine_08,-0.38529864,0.70932186,-0.90183425,-0.11930549,-0.33062986,-1.1999896,-0.49600458,-0.008185579,-0.6754079,-0.0267477,-0.5849139,-0.2533301,0.35290402,0.15446076,-0.44619596,0.08880917,-0.45404395,-0.6815562,-0.68079257,0.24038582,0.05963628,0.6192658,-0.22438194,0.6733229,-0.68478554,-0.34156665,-0.19046204,0.17456152,0.3601771,0.80485535,-0.13456774,-0.18759668,-0.58264244,-0.31092107,0.40466323,-0.3213002,0.7390312,0.17631844,0.3062426,-0.10750761,-0.39550403,0.8728688,0.057941202,0.15741566,0.88235295,0.23316142,-0.18397349,-0.83483446,-0.8736117,-0.20218085,0.79969746,-0.31755638,-0.69579005,-1.0658163,-0.23353413,-0.050834175,0.30812037,0.15017453,0.06469779,-2.124139,-1.2524238,-0.0041118357,0.04514622,-0.684192,-0.352797,-0.0739332,0.12862606,0.012942419,-0.8700997,0.43917212,0.9898028,0.058062475,0.63764966,0.12183919,-0.9712066,0.08874327,0.11932874,-0.23880376,0.22861908,0.2114978,0.7463145,-0.032026224,0.44333947,-0.66076696,-0.90117383,-0.6349409,0.24687107,1.24905,0.0039374386,0.3662973,-0.13543615,0.8239985,-1.014116,-1.5635673,-0.11609848,-0.38175604,1.1729378,-0.09816256,0.084804825,0.18772767,0.23846215,-1.1998585,0.17953151,0.58986515,0.0042245793,-0.101577654,0.82752055,0.019934434,0.60397935,0.22804965,0.0040197982,-0.57293624,0.66583663,-0.20478097,-0.50473243,0.4230003,-0.4866248,-1.1213278,-1.0667193,0.42423663,-0.10024245,0.3147268,0.0037172814,0.36112282,-0.68646485,-0.23915058,-0.46909508,0.21430965
upgrade_fine_08,0.49597493,-0.31561145,0.739831,0.21667291,-0.288795,0.89120764,0.33339626,0.2585685,0.520438,0.025267612,0.48266682,0.62265986,0.15971652,-0.47304347,0.022792462,0.14396591,0.72304446,-0.24630341,-0.24313526,-0.16281152,0.1563223,-0.030323882,0.13080414,-0.32820922,0.6201896,0.29486927,0.4643378,0.091203965,-0.01583136,0.32164675,0.189984,0.4559419,0.73118323,0.29847404,-0.059939917,-0.20994337,-0.047217548,-0.16504157,0.39920908,0.71021056,-0.027337262,-0.883429,-0.040172655,0.33083248,-0.79982185,-0.25275466,-0.35171488,0.5218466,0.6159349,0.2683155,-0.08197005,-0.30032742,-0.07460183,0.3659241,0.33001,0.62521803,-0.4054395,0.52263737,-0.08747297,1.6477545,0.9539683,0.19677849,0.03453488,-0.34424078,-0.35941055,-0.48420733,-0.07353914,0.032150455,0.23701622,-0.21413215,-0.2631555,0.009259625,-0.72162324,0.08305077,0.23675086,0.7250098,-0.10132819,0.027213722,-0.035905264,0.459503,-0.21671629,0.1032121,-0.8170463,-0.12783809,0.6659333,1.076597,-0.02810846,0.099107504,0.14837968,-0.543181,0.010359277,-0.5053182,0.7234507,1.1069491,0.31314674,0.35751507,-0.6665649,0.4032719,0.38183376,-0.011293655,0.29086754,0.9663013,-0.30412436,-0.7181767,-0.065439634,-0.26267213,0.30582315,-0.45706996,-0.25576526,0.25653887,0.36349905,0.3049058,0.09445248,-0.24270211,-0.15783639,-0.051649842,0.67322785,0.5157031,0.502935,-0.32263103,0.23373939,0.23605533,0.2946262,-0.35978255,0.0541699,0.112597845,-0.014173362,-0.31223366
upgrade_fine_08,0.46555912,-0.36974952,0.09838486,0.31278273,-0.09550863,0.6851439,0.39299235,0.67395157,1.0089674,0.45192662,0.106973,0.15042813,-0.1155218,-0.17467895,-0.08229761,0.12113072,0.782674,-0.29529485,0.04099032,-0.68667746,0.16849513,0.45207796,0.24960896,0.04173749,0.7332081,-0.3893921,0.21764868,0.12453065,0.14803934,-0.32718405,0.022632364,0.47295904,0.69201005,-0.2683093,-0.37062073,-0.17561434,-0.04499526,0.13543919,-0.09892872,0.33604327,0.032090064,-0.14749971,-0.012494938,0.12936094,-0.64620304,-0.17737986,-0.8178976,0.6472296,0.5549861,0.006386772,-0.4256731,0.16194186,0.32247892,0.8277911,0.1322529,0.075981036,-0.53461677,0.3345297,-0.11125731,1.2221001,0.37822372,-0.22155778,-0.35572088,0.48782066,0.064227335,-0.27422193,0.17188057,-0.5215869,0.44989526,-0.06918265,-0.48257786,-0.158906,0.007129712,0.44008628,-0.21384759,0.9143209,0.32372233,0.49560174,-0.13013165,-0.29612347,-0.20271643,0.011193878,-0.67361355,0.3517052,0.8434867,0.39598173,0.23757003,0.1025161,0.3044583,-0.4792992,-0.39164522,-0.14568758,0.44963935,0.32859254,0.039009653,0.48962662,-0.5152207,-0.17257519,-0.26586685,0.17071688,0.28914705,0.15635543,0.33479106,-0.2959411,-0.04774472,-0.50527126,0.38735217,0.18502443,-0.063084185,0.44050056,-0.17034762,0.08149399,0.2986906,-0.034433935,0.4482579,-0.27637503,0.13774042,0.27488706,0.20286871,0.07984141,0.73001033,0.14093497,0.0045823157,-0.14972164,0.27501157,-0.29116106,-0.29576647,0.06582376
upgrade_fine_08,0.25435245,-0.39319092,0.63702047,0.2359835,0.057856727,0.7417784,0.07636406,0.24241494,0.73957837,-0.16341473,0.3109846,0.55977273,-0.08775838,-0.11446463,0.2051354,0.0018821752,0.67667663,0.1837474,0.17878538,-0.1729435,0.23123327,-0.2470805,0.060943056,-0.2787124,0.5314713,0.21924394,0.33153167,0.05564704,-0.020096181,-0.031464525,-0.31956732,0.41937307,0.7007242,-0.2194103,-0.22183089,0.07860534,-0.10244229,-0.17580639,0.033606816,0.26536322,0.17886558,-0.54266584,0.1623998,0.15628478,-0.6967542,-0.18552622,-0.13463452,0.57309157,0.52010655,0.34835526,0.0006386613,0.109319,0.43671054,0.6289324,0.06903426,0.37732786,-0.18606476,0.5063655,-0.031015942,1.5808406,0.5908257,-0.11235013,0.035918444,0.20334882,0.13045408,-0.083059594,0.006854266,0.017824145,0.4933377,-0.013580028,-0.5088749,-0.094728984,-0.6085422,0.3045365,0.5962171,0.4473073,-0.022051455,0.17730401,0.20659135,0.3506788,-0.11759148,0.07123778,-0.5909027,0.24843016,1.0047662,1.0127177,0.2026645,0.079010814,-0.0438485,-0.43776646,0.05208904,-0.70396847,0.57970357,0.8942519,0.0567678,0.358575,-0.6349311,0.22645988,0.31549826,0.0105629265,0.34393176,1.0773897,0.28929386,-0.33666494,-0.2523265,-0.22231868,0.075556114,-0.43907073,-0.47429502,0.4010274,-0.0059336186,0.20006147,-0.027150681,-0.046593487,0.20903866,0.27539673,0.6537431,0.19066092,0.7401417,-0.041724943,0.18010542,-0.124117576,0.15448652,-0.40822324,-0.123845324,0.32919303,-0.35236168,-0.38759938
upgrade_fine_08,0.49695024,-0.8389014,0.85250866,-0.34844184,0.4056166,2.1211443,0.90994465,0.113610715,0.9499331,0.3096934,0.33931965,0.55118275,-0.50611806,0.049426086,0.31577313,-0.30196974,0.57686025,0.6550121,0.96265775,-0.5845099,-0.31000447,-0.82666934,0.4620124,-0.6066721,0.7588512,0.26104495,-0.35827222,-0.511005,-0.3978158,-2.08295,0.29005128,0.9260388,1.7415547,-0.09652474,-0.05784405,0.29228127,-0.96051514,-0.021651313,-0.5560277,-0.11799322,0.6641011,-0.6085554,0.23336154,-0.3018401,-1.1864306,-0.21718305,0.03700667,1.5707878,0.9442179,0.33692247,-1.1802717,0.20416883,0.6624067,1.60719,0.467685,-0.13471352,-0.44400147,-0.02005286,-0.26532537,2.6756468,2.1736338,0.23262084,-0.40308398,1.1635855,1.0080979,0.07862036,0.13262494,-0.04554809,0.825763,-0.81488156,-1.561511,-0.15775578,-0.6378249,-0.47984233,0.97277933,-0.4852334,-0.12415026,0.4957167,-0.21402809,-0.269287,-0.8838511,0.2938136,-0.70627564,0.8456256,0.7458527,0.4387256,-0.031772885,-1.4623492,0.28773868,-0.1570989,-0.259614,-1.0943725,1.1864182,1.1644701,-0.064394735,0.35013464,-1.4759822,0.33456045,-0.17456694,-0.14319558,-0.9006203,1.2494084,-0.36415857,-0.73398155,0.4308738,0.048374735,-0.63061583,0.15425625,-0.68808126,-0.14902543,0.10093581,0.8012888,-0.9363257,0.1716703,0.94075453,-0.40725908,0.3226954,1.3563937,0.8678679,-0.3657872,0.025490325,0.24628216,0.07462233,-0.34424412,1.4361393,-0.05641915,0.66105914,0.090721585
upgrade_fine_08,0.36584038,-0.61695653,0.72423345,-0.40767416,0.5334398,1.4872808,0.41052288,-0.08752854,0.6255827,-0.022027023,0.09248808,0.35889596,-0.61661714,-0.1403896,0.25356606,-0.18308552,0.21721242,0.672739,0.8619457,-0.08608948,-0.19612561,-0.7998424,0.33248687,-0.44211495,0.97610646,0.15513478,-0.2216062,-0.5775845,-0.46853936,-1.6411033,0.2565853,0.6420233,1.1088358,0.27208754,-0.085253306,0.07604585,-0.8745066,-0.16028391,-0.3968814,0.23935448,0.5505792,-0.66207457,0.0863464,-0.6269485,-0.9178013,-0.08917045,0.4103765,1.1326983,0.547879,0.43073294,-0.9103533,0.088009566,0.36160493,1.1072904,0.36008018,-0.19367142,0.09248204,-0.30208978,-0.6946378,1.8323404,1.5272651,0.63329995,-0.30204645,0.96982193,0.8880744,0.3855798,0.3705208,0.15319894,0.29749104,-0.5411886,-1.4779332,0.0061987564,-0.60653365,-0.52418655,0.61946934,-0.41793752,0.080202624,0.33430842,-0.43274972,-0.27768016,-0.81712705,0.24186721,-0.096102506,0.64056206,0.16147293,0.18193105,-0.03623678,-1.5435686,0.24198374,0.09036321,-0.2699896,-0.820276,0.651387,1.0351632,0.09178549,0.11938413,-1.2941746,0.29464236,-0.38172147,-0.11455658,-0.95774144,0.9047659,-0.36344585,-0.7534463,0.6197811,0.66925883,-0.7380397,0.32802477,-0.6953893,-0.7163002,-0.09842243,0.45084307,-1.0453602,0.07299231,0.5828554,-0.5185022,0.6269007,1.1270574,0.9110767,-0.25292337,0.119112305,0.18924037,0.15141058,-0.37589726,1.1454687,-0.107326455,0.34218138,0.06338649
upgrade_fine_08,0.15752439,-0.09757281,0.26129386,0.4336777,-0.31104848,0.1552006,-0.35493562,0.75972223,0.38657108,-0.18936965,0.3254571,-0.015104085,0.35509562,-0.2323179,0.027437055,0.2595442,0.14628123,-0.24029516,-0.36106884,0.15020384,0.3213011,0.3343692,-0.3158338,0.050235797,0.2821619,0.46212235,0.6384008,-0.0763616,-0.10571517,0.31808063,0.27590737,-0.024201091,-0.16462472,0.41466463,-0.021384427,-0.34034425,0.5396653,-0.2282921,0.6420407,0.642832,0.048696466,-0.01705105,0.0045321076,-0.055855893,0.28136036,0.30021933,-0.1221385,-0.03565026,-0.43292615,0.4824135,0.046918664,-0.24238832,0.1308146,0.088700846,-0.13046364,0.6831996,-0.2517188,0.12515451,-0.16743286,0.3110417,-0.28138056,-0.14750054,-0.1328069,-0.40098783,-0.24118748,-0.34028882,0.07194236,-0.2617918,0.2807423,-0.19471851,0.53368914,0.061995964,-0.5955823,0.5738823,-0.093017764,1.0679123,0.09065142,-0.18847181,-0.32261428,0.29178017,-0.07071243,-0.4718282,-0.23389296,-0.37149262,0.5866002,0.22232054,-0.25990623,0.56315833,0.10488606,-0.6674164,-0.011896559,0.4266794,0.11547871,0.21180606,0.086384416,0.3882555,0.45286816,-0.15525787,0.08544575,0.27635077,0.14662348,-0.079491645,0.44827524,-0.10646099,-0.5711344,0.08290326,0.12214258,0.17016505,-0.19606166,-0.20522036,0.25648004,0.028101122,0.59128356,-0.41321298,0.060796622,0.34116364,0.3451318,0.35018364,0.1599561,0.0982771,0.37570912,-0.3829877,0.15813902,0.2506271,-0.39785004,-0.41992176,-0.42490116,0.06231856
upgrade_fine_08,0.3757124,-0.93838185,0.44940916,-0.017361991,0.41603717,1.7333319,1.2257259,-0.046160538,0.6867797,0.32981727,0.5682881,0.19445759,-0.5641145,0.27857205,0.6649801,-0.5170613,0.18225232,0.85964376,1.4788024,-0.013763368,-0.47229528,-0.5439441,0.45158282,-0.094120756,0.53189313,-0.003181823,-0.62281805,-0.56157947,-0.4415558,-2.1789253,0.40514436,0.67598593,0.94011694,0.059570387,-0.30350906,0.41040075,-1.53815,0.0817202,-0.5759894,-0.0428439,0.4155974,-0.6720301,-0.028811386,-1.0500593,-0.7781093,-0.30756554,0.059441186,1.3241239,0.7566033,-0.020100988,-1.3100183,0.2933929,0.86473405,1.3702554,0.28517917,-0.17644022,-0.033063404,-0.564761,0.009095616,1.8158734,1.6308618,0.1626988,0.10718674,1.5922858,0.94857645,0.23249058,0.2404337,-0.14151116,0.6976464,-1.0068609,-1.8999481,-0.21604103,-0.050954655,-0.6054646,0.8703841,-0.681213,0.08670173,0.22813913,-0.3872371,-0.5685056,-0.85741055,-0.063848436,-0.31743476,1.111837,0.605812,-0.19419819,-0.29134548,-1.6933382,0.31514108,0.029026557,0.043482218,-1.0508748,1.2966602,0.99608046,0.12177699,0.72307587,-1.5105162,0.17850253,-0.39496887,-0.2491328,-1.0229166,0.9239605,-0.2732498,-0.30791882,0.21113415,0.16328643,-1.047473,0.44357085,-0.7725623,-0.9346959,-0.16940677,1.1710385,-1.0992546,0.1880131,0.9914526,-0.13513337,0.2862958,1.3557873,1.1791271,-0.39863408,0.21892916,-0.144431,-0.20008607,0.1629241,1.4502854,0.3365437,0.6318863,0.32953927
upgrade_fine_08,-0.21641614,0.64864945,-0.199512,-0.018344661,-0.4454424,-1.176751,-0.7625522,0.06651695,-0.4684794,-0.13826594,-0.20192155,0.15177645,0.24953201,-0.19072147,-0.5837723,0.36348033,-0.17808688,-0.8037201,-1.151955,0.015774105,0.66541463,0.7045458,-0.25952077,0.2424393,-0.45885956,-0.45188195,0.04069364,0.028258532,-0.10980688,1.1673412,-0.13437708,-0.60142106,-0.5218038,0.1651195,0.16578074,-0.60613996,0.82518506,0.105113834,0.3577291,0.13502146,-0.3595524,0.47374707,-0.25930625,0.61067533,0.37615874,0.30052143,-0.4393544,-0.72778696,-0.6115295,-0.05733181,0.6967235,-0.09835355,-0.11938116,-0.13960943,-0.055995047,0.52058727,0.3039777,0.43064773,-0.034327254,-0.6705534,-0.98286563,-0.07614148,0.2736762,-1.0073829,-0.41907507,-0.11527258,-0.1913652,-0.0373698,-0.027391767,0.7489089,0.7906253,0.21671386,0.15890054,0.30374402,-0.9633137,0.7205175,0.07123932,-0.41590238,0.043766018,0.50813913,0.41468745,-0.058283277,-0.030705709,-0.6812252,-0.43931982,0.09638374,-0.11927205,1.3600838,-0.42517695,0.027798314,-0.16051492,0.50576544,-0.69836,-0.5339822,-0.16315165,-0.15006717,1.208414,-0.21447517,0.22282176,0.27658463,0.53895694,-0.77712226,0.3430304,0.09528659,-0.28869697,-0.4423086,0.6172062,0.2584158,0.6051471,0.51013494,0.31920305,-0.85794866,0.66206604,-0.24335709,-0.78743136,0.20522623,-0.1223031,-0.8010235,-0.77812207,0.30723187,0.06607795,0.17331907,-0.04598653,0.047744017,-1.1427822,-0.258124,-0.66469705,-0.41825628
