latent_dim,coef_scaled_space,coef_original_latent_space,abs_coef,nonzero
z_125,-1.0178592,-2107.4407,2107.4407,True
z_104,0.84029967,2102.3494,2102.3494,True
z_76,-0.7331135,-1910.602,1910.602,True
z_100,0.92767394,1860.1063,1860.1063,True
z_36,0.5468966,1418.0597,1418.0597,True
z_67,0.637259,1185.3431,1185.3431,True
z_26,0.73588115,1112.475,1112.475,True
z_91,-0.77991956,-1077.3131,1077.3131,True
z_62,-0.4900131,-845.24756,845.24756,True
z_123,0.22959487,661.87634,661.87634,True
z_1,-0.21845372,-585.6492,585.6492,True
z_107,0.13203375,510.749,510.749,True
z_120,0.43815908,502.18515,502.18515,True
z_71,-0.20256959,-489.69827,489.69827,True
z_109,-0.09313855,-412.78845,412.78845,True
z_57,0.07969292,383.41016,383.41016,True
z_74,-0.14306924,-335.99634,335.99634,True
z_82,0.10585706,334.7039,334.7039,True
z_92,-0.22048815,-269.8886,269.8886,True
z_117,0.085670754,256.98553,256.98553,True
z_8,-0.23269087,-164.24684,164.24684,True
z_89,-0.053219087,-163.20346,163.20346,True
z_9,-0.056986883,-124.48968,124.48968,True
z_56,-0.042063564,-122.2038,122.2038,True
z_13,-0.06559987,-96.472275,96.472275,True
z_72,0.016617578,61.876144,61.876144,True
z_87,0.062561706,41.838173,41.838173,True
z_83,0.02414519,26.476557,26.476557,True
z_0,-0.0058820266,-9.946654,9.946654,True
z_75,-0.0,-0.0,0.0,False
z_77,0.0,0.0,0.0,False
z_84,-0.0,-0.0,0.0,False
z_80,0.0,0.0,0.0,False
z_85,0.0,0.0,0.0,False
z_86,-0.0,-0.0,0.0,False
z_81,0.0,0.0,0.0,False
z_73,0.0,0.0,0.0,False
z_88,-0.0,-0.0,0.0,False
z_78,0.0,0.0,0.0,False
z_90,-0.0,-0.0,0.0,False
z_79,-0.0,-0.0,0.0,False
z_98,-0.0,-0.0,0.0,False
z_93,0.0,0.0,0.0,False
z_111,-0.0,-0.0,0.0,False
z_126,0.0,0.0,0.0,False
z_124,0.0,0.0,0.0,False
z_122,-0.0,-0.0,0.0,False
z_121,0.0,0.0,0.0,False
z_119,-0.0,-0.0,0.0,False
z_118,-0.0,-0.0,0.0,False
z_116,0.0,0.0,0.0,False
z_115,-0.0,-0.0,0.0,False
z_114,0.0,0.0,0.0,False
z_113,0.0,0.0,0.0,False
z_112,-0.0,-0.0,0.0,False
z_110,0.0,0.0,0.0,False
z_94,0.0,0.0,0.0,False
z_108,-0.0,-0.0,0.0,False
z_106,0.0,0.0,0.0,False
z_105,0.0,0.0,0.0,False
z_103,0.0,0.0,0.0,False
z_102,0.0,0.0,0.0,False
z_101,0.0,0.0,0.0,False
z_99,0.0,0.0,0.0,False
z_69,0.0,0.0,0.0,False
z_97,-0.0,-0.0,0.0,False
z_96,0.0,0.0,0.0,False
z_95,0.0,0.0,0.0,False
z_70,0.0,0.0,0.0,False
z_64,0.0,0.0,0.0,False
z_68,0.0,0.0,0.0,False
z_18,-0.0,-0.0,0.0,False
z_31,-0.0,-0.0,0.0,False
z_30,-0.0,-0.0,0.0,False
z_29,0.0,0.0,0.0,False
z_28,-0.0,-0.0,0.0,False
z_27,0.0,0.0,0.0,False
z_25,-0.0,-0.0,0.0,False
z_24,-0.0,-0.0,0.0,False
z_23,-0.0,-0.0,0.0,False
z_22,0.0,0.0,0.0,False
z_21,0.0,0.0,0.0,False
z_20,0.0,0.0,0.0,False
z_19,-0.0,-0.0,0.0,False
z_17,0.0,0.0,0.0,False
z_66,0.0,0.0,0.0,False
z_16,-0.0,-0.0,0.0,False
z_15,-0.0,-0.0,0.0,False
z_14,0.0,0.0,0.0,False
z_12,-0.0,-0.0,0.0,False
z_11,0.0,0.0,0.0,False
z_10,0.0,0.0,0.0,False
z_7,0.0,0.0,0.0,False
z_6,0.0,0.0,0.0,False
z_5,0.0,0.0,0.0,False
z_4,0.0,0.0,0.0,False
z_3,-0.0,-0.0,0.0,False
z_2,0.0,0.0,0.0,False
z_32,0.0,0.0,0.0,False
z_33,0.0,0.0,0.0,False
z_34,0.0,0.0,0.0,False
z_35,0.0,0.0,0.0,False
z_65,0.0,0.0,0.0,False
z_63,-0.0,-0.0,0.0,False
z_61,0.0,0.0,0.0,False
z_60,0.0,0.0,0.0,False
z_59,0.0,0.0,0.0,False
z_58,-0.0,-0.0,0.0,False
z_55,-0.0,-0.0,0.0,False
z_54,-0.0,-0.0,0.0,False
z_53,-0.0,-0.0,0.0,False
z_52,-0.0,-0.0,0.0,False
z_51,-0.0,-0.0,0.0,False
z_50,-0.0,-0.0,0.0,False
z_49,-0.0,-0.0,0.0,False
z_48,-0.0,-0.0,0.0,False
z_47,0.0,0.0,0.0,False
z_46,-0.0,-0.0,0.0,False
z_45,0.0,0.0,0.0,False
z_44,-0.0,-0.0,0.0,False
z_43,-0.0,-0.0,0.0,False
z_42,0.0,0.0,0.0,False
z_41,0.0,0.0,0.0,False
z_40,-0.0,-0.0,0.0,False
z_39,-0.0,-0.0,0.0,False
z_38,0.0,0.0,0.0,False
z_37,0.0,0.0,0.0,False
z_127,-0.0,-0.0,0.0,False
