names,scores,logfoldchanges,pvals,pvals_adj
ANKHD1,-24.091959,-1.3849336,3.035182544160971e-128,8.975034783083992e-125
BRAF,16.86747,0.5319893,7.806884040389846e-64,1.1542478053716387e-60
PPP2R5E,16.036871,0.6641592,7.062439416975446e-58,6.961211118665464e-55
WAPL,-14.722032,-0.8938167,4.6546192019821755e-49,3.4409272450653235e-46
HECTD1,-13.2284565,-0.79108644,6.010882153001634e-40,3.5548357052851666e-37
CDC42,-11.42959,-0.75239784,2.9750945278732012e-30,1.4662257531535094e-27
TRPM7,-10.750683,-0.6350685,5.882451672730979e-27,2.4849156566093575e-24
SIL1,-10.6041765,-0.71579576,2.8496433377428645e-26,1.0532994187132063e-23
RC3H1,-9.906696,-0.60139865,3.8930629873873263e-23,1.2790874726338137e-20
STRN3,-9.670151,-0.57993823,4.037814027091354e-22,1.1939816078109135e-19
EXOC4,9.34615,0.13250765,9.08962010807145e-21,2.4434551508697527e-18
KCNIP4,8.385294,0.11065183,5.059928808255342e-17,1.2468507905009205e-14
HELZ,8.328996,0.15706718,8.153121711873774e-17,1.854521607846981e-14
CAMK1D,8.274315,0.10798903,1.2919679486323683e-16,2.7288208743613665e-14
ANKRD11,7.9239173,0.06689203,2.3014308418827296e-15,4.3495818676616504e-13
DLEU1,7.9211354,0.036631647,2.3535106487178357e-15,4.3495818676616504e-13
HSD17B4,-7.900207,-0.5316627,2.784407493717046e-15,4.84323115230665e-13
KMT2C,7.8012586,0.045717817,6.129273405609139e-15,1.0069034144659014e-12
ITPRIPL2,-7.703725,-0.5512072,1.3215613528640096e-14,2.056766800220461e-12
GAB2,7.686021,0.03768501,1.5178181895185623e-14,2.2440941932031946e-12
STRN,-7.585913,-0.52394956,3.301532642126342e-14,4.648872391794092e-12
SPIN1,-7.5642962,-0.47045642,3.89970329655738e-14,5.241555749054624e-12
SMG1,-7.548858,-0.47190812,4.3909150212478897e-14,5.645189442534787e-12
TMEM131,-7.524682,-0.46773145,5.284883856898434e-14,6.511417318686946e-12
SPIDR,7.447157,0.07694282,9.537311495341376e-14,1.1280732036689782e-11
KPNA4,-7.40459,-0.48864934,1.315559342996886e-13,1.4961957604776123e-11
CDC27,-7.3785734,-0.4633506,1.5999439906365853e-13,1.7522349556712528e-11
SNX29,7.365573,0.06549584,1.7638744364904712e-13,1.8627773959651153e-11
ERC1,7.335093,0.108108886,2.2156756357600881e-13,2.2592251223939932e-11
EMB,-7.25113,-0.5462936,4.133088519976081e-13,4.07384758452309e-11
PHKB,7.211683,0.212764,5.526468524218099e-13,5.2715378793912643e-11
OCIAD1,-7.113817,-0.479261,1.1287673349568356e-12,1.0430515654585509e-10
ARNT,-7.0864196,-0.49508402,1.376262399051874e-12,1.2332145193928459e-10
DOCK10,6.9785786,0.019880475,2.981818331401449e-12,2.5411918217495744e-10
YEATS2,-6.9773574,-0.4578567,3.0078361096122794e-12,2.5411918217495744e-10
RPL5,-6.940472,-0.44841483,3.90791845015075e-12,3.123166177593451e-10
AL162253.2,-6.94126,-0.50633043,3.886184973439574e-12,3.123166177593451e-10
SORL1,6.9133606,0.028500782,4.733049244030452e-12,3.6830596354205385e-10
MT-CO3,6.8341856,0.21354915,8.247217411898723e-12,6.096755471746132e-10
BCKDHB,-6.836202,-0.49523517,8.132013902444524e-12,6.096755471746132e-10
MAPK14,-6.82091,-0.43461186,9.04655988368127e-12,6.524555506352565e-10
LARS,-6.777485,-0.46858174,1.2228575865098787e-11,8.609499722165979e-10
FBH1,-6.7693353,-0.49099994,1.293753482026568e-11,8.896811735703632e-10
UHRF1BP1,-6.732166,-0.44354746,1.6715600689273375e-11,1.1233643463223038e-09
ZCCHC2,-6.7174964,-0.48786104,1.8487326263384178e-11,1.2148227502406004e-09
ARIH2,-6.656565,-0.4230778,2.8030103798142463e-11,1.8018481941545057e-09
BAZ2B,6.598126,0.05832071,4.1638698111238514e-11,2.6196942620198357e-09
CYLD,-6.5865927,-0.4319791,4.5003400443119295e-11,2.7723969814646617e-09
EXOC6,-6.547703,-0.41311443,5.842884812015435e-11,3.526002120230539e-09
STX6,-6.5346737,-0.43094787,6.374843927745983e-11,3.770082698868974e-09
DPYD,6.5233607,0.17999785,6.874919349407334e-11,3.9094493300379784e-09
RDX,-6.525023,-0.43528897,6.799119725861366e-11,3.9094493300379784e-09
PPP1R10,-6.520298,-0.4855006,7.016773389161959e-11,3.914829983349418e-09
MYO9B,6.513179,0.07488579,7.357692204873588e-11,4.029017749965037e-09
THRB,-6.493723,-0.42745954,8.374057337687101e-11,4.421801347775135e-09
ZNF718,-6.4946012,-0.4432958,8.325359183372337e-11,4.421801347775135e-09
DLG1,-6.4685307,-0.41943875,9.896030799054051e-11,5.133782995228567e-09
GNAI3,-6.44281,-0.4206254,1.1728141340929987e-10,5.97932999053965e-09
SFSWAP,-6.422673,-0.4068124,1.339018066380655e-10,6.502947579882442e-09
DHX9,-6.425541,-0.4105448,1.31401295759709e-10,6.502947579882442e-09
MIGA1,-6.422392,-0.46770024,1.3414940898641494e-10,6.502947579882442e-09
CCDC7,-6.418916,-0.42652127,1.3724796867046115e-10,6.545842634815381e-09
NF1,6.4014397,0.03429985,1.5391880250696596e-10,7.224411095446005e-09
TLN2,-6.3833904,-0.39832658,1.7320928726765644e-10,8.00281035078844e-09
KIAA2026,-6.3638964,-0.41735885,1.966987983948167e-10,8.9482822592842e-09
SOS2,-6.3613663,-0.40328926,1.9996695869318105e-10,8.9591257099354e-09
MIOS,-6.348759,-0.4305096,2.1705847233508223e-10,9.579729890967734e-09
NAA25,-6.3367767,-0.42322475,2.346212289481204e-10,1.0202573147052824e-08
KIF2A,-6.319676,-0.42000708,2.6211258329244354e-10,1.1232853750663123e-08
CTSC,-6.3139906,-0.39875057,2.7193035138085186e-10,1.148711498618827e-08
SRSF11,-6.3057394,-0.40018827,2.8682092920603576e-10,1.1945485741721799e-08
