epoch,loss,jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,sea_anchor_cosine,cellxgene_anchor_cosine,pathology_contrastive_loss,pathology_contrastive_weight,embedding_effective_dims,embedding_top_sv_ratio,embedding_mean_dim_std,predictor_effective_dims,predictor_top_sv_ratio,mask_fraction,ema_decay,base_lr,head_lr,steps
1,0.9890752851963043,0.9890752851963043,3.0646009396839703e-09,3.0646131410350107e-09,0.9999818056821823,0.999981763958931,3.1310982762988714e-06,0.0,75.75313568115234,0.09673725068569183,0.005574618466198444,30.280519485473633,0.1810915619134903,0.2,0.995,1e-06,2e-05,20
2,0.9891049355268479,0.9891041815280914,3.0667077322021898e-09,3.066717746413872e-09,0.9999749183654785,0.9999749034643173,3.0073027005528275e-06,0.25,76.52159881591797,0.10251963138580322,0.005295310169458389,42.11109924316406,0.16521933674812317,0.275,0.996125,1e-06,2e-05,20
3,0.9891459852457046,0.9891445606946945,3.070247678316207e-09,3.070230591983858e-09,0.999963390827179,0.9999634563922882,2.851499868938845e-06,0.5,76.36937713623047,0.10385893285274506,0.005234250798821449,48.51612854003906,0.1221969723701477,0.35,0.99725,1e-06,2e-05,20
4,0.9891602098941803,0.9891581684350967,3.073134868802896e-09,3.073148946430848e-09,0.9999540030956269,0.9999539524316787,2.7238856660005694e-06,0.75,76.46721649169922,0.10531505197286606,0.00523117370903492,52.55013656616211,0.07576756924390793,0.425,0.998375,1e-06,2e-05,20
5,0.9891610115766525,0.9891584396362305,3.074675114511649e-09,3.074671806047036e-09,0.9999489903450012,0.9999489903450012,2.5743241621967173e-06,1.0,75.79464721679688,0.10734570771455765,0.005254155024886131,55.542659759521484,0.06266367435455322,0.5,0.9995,1e-06,2e-05,20
6,0.9891620218753815,0.989159443974495,3.0754681357159087e-09,3.0754536473054373e-09,0.9999464124441146,0.9999464511871338,2.5802525328799676e-06,1.0,75.52220153808594,0.1079416424036026,0.005266882944852114,55.99187469482422,0.06042196601629257,0.5,0.9995,1e-06,2e-05,20
7,0.9891711354255677,0.9891685336828232,3.0762751679347387e-09,3.0762613234536217e-09,0.9999437779188156,0.9999438345432281,2.6007294309238205e-06,1.0,75.61722564697266,0.10755221545696259,0.005257105454802513,55.88115692138672,0.06155964732170105,0.5,0.9995,1e-06,2e-05,20
8,0.9891742169857025,0.9891715943813324,3.0770513359534846e-09,3.0769846559586254e-09,0.9999412655830383,0.999941474199295,2.6247044729643675e-06,1.0,75.58902740478516,0.10771463066339493,0.005270717199891806,55.57217025756836,0.06377958506345749,0.5,0.9995,1e-06,2e-05,20
9,0.9891743063926697,0.9891716659069061,3.077835375453475e-09,3.077821086883148e-09,0.9999387055635452,0.9999387562274933,2.6427325678923808e-06,1.0,75.42384338378906,0.10871060192584991,0.005284201353788376,55.469451904296875,0.06144251674413681,0.5,0.9995,1e-06,2e-05,20
10,0.9891850173473358,0.98918237388134,3.078694643665614e-09,3.0786263649495995e-09,0.9999359250068665,0.9999361395835876,2.63957855395347e-06,1.0,75.49152374267578,0.10859859734773636,0.005287179723381996,55.458473205566406,0.061427950859069824,0.5,0.9995,1e-06,2e-05,20
