epoch,loss,jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,sea_anchor_cosine,cellxgene_anchor_cosine,pathology_contrastive_loss,pathology_contrastive_weight,pathology_contrastive_temperature,pathology_latent_temperature,embedding_effective_dims,embedding_top_sv_ratio,embedding_mean_dim_std,predictor_effective_dims,predictor_top_sv_ratio,mask_fraction,ema_decay,base_lr,head_lr,steps
1,0.9890752881765366,0.9890752881765366,3.0646011395241148e-09,3.0646134963063785e-09,0.9999818086624146,0.9999817699193955,5.515198969841004,0.0,2.0,0.1,75.7529525756836,0.09673707187175751,0.005574624519795179,30.280078887939453,0.18109437823295593,0.2,0.995,1e-06,2e-05,20
2,2.369160604476929,0.9891041845083237,3.0667073214196703e-09,3.0667184458543774e-09,0.9999749332666397,0.9999748945236206,5.520225691795349,0.25,2.0,0.1,76.51944732666016,0.10252436995506287,0.005295623559504747,42.111793518066406,0.16520343720912933,0.275,0.996125,1e-06,2e-05,20
3,3.7460455179214476,0.9891445338726044,3.070252241332838e-09,3.0702351550004892e-09,0.9999633729457855,0.9999634325504303,5.513801956176758,0.5,2.0,0.1,76.3583755493164,0.1038900688290596,0.0052355569787323475,48.51652145385742,0.12212405353784561,0.35,0.99725,1e-06,2e-05,20
4,5.124963426589966,0.9891581475734711,3.0731534650385585e-09,3.07316661007917e-09,0.9999539345502854,0.9999539017677307,5.51440703868866,0.75,2.0,0.1,76.44534301757812,0.10539330542087555,0.005234035663306713,52.55308151245117,0.07556138187646866,0.425,0.998375,1e-06,2e-05,20
5,6.499096822738648,0.9891583889722824,3.074720555940047e-09,3.074713705863985e-09,0.9999488413333892,0.9999488562345504,5.509938478469849,1.0,2.0,0.1,75.76350402832031,0.10749039798974991,0.005259089637547731,55.551639556884766,0.06315383315086365,0.5,0.9995,1e-06,2e-05,20
6,6.503954434394837,0.9891593903303146,3.0755468838350454e-09,3.0755293423112564e-09,0.9999461531639099,0.9999461978673935,5.514795041084289,1.0,2.0,0.1,75.4822006225586,0.10815969854593277,0.005273828282952309,56.003517150878906,0.06116665527224541,0.5,0.9995,1e-06,2e-05,20
7,6.502540922164917,0.9891684263944626,3.0763985026105446e-09,3.076380405975243e-09,0.9999433845281601,0.9999434381723404,5.513372492790222,1.0,2.0,0.1,75.55097961425781,0.10786651074886322,0.005266557447612286,55.877132415771484,0.06252475082874298,0.5,0.9995,1e-06,2e-05,20
8,6.501928305625915,0.9891714334487915,3.0772257186839624e-09,3.0771526104977908e-09,0.9999406903982162,0.9999409466981888,5.512756896018982,1.0,2.0,0.1,75.5175552368164,0.10811758041381836,0.0052822185680270195,55.551239013671875,0.06502676010131836,0.5,0.9995,1e-06,2e-05,20
9,6.504592084884644,0.9891714960336685,3.078068844253323e-09,3.0780475390734807e-09,0.9999379605054856,0.9999380260705948,5.515420579910279,1.0,2.0,0.1,75.34688568115234,0.10920826345682144,0.005298609379678965,55.441551208496094,0.06302165240049362,0.5,0.9995,1e-06,2e-05,20
10,6.501963329315186,0.9891821682453156,3.078996591021621e-09,3.0789165439415457e-09,0.9999349385499954,0.999935194849968,5.512781167030335,1.0,2.0,0.1,75.39533233642578,0.10920381546020508,0.005304192658513784,55.41393280029297,0.06315901130437851,0.5,0.9995,1e-06,2e-05,20
