epoch,loss,jepa_loss,domain_loss,domain_accuracy,alignment_state,selected_sea_ad_cells,selected_rexach_cells,selected_olah_cells,lambda_grl,mask_fraction,epoch_seconds,cells_per_second,effective_dims,top_sv_ratio,mean_dim_std,centroid_l2_sea_ad_rexach,centroid_l2_sea_ad_olah,centroid_l2_rexach_olah,random_gene_dropout_genes,module_dropout_events,module_dropout_genes,external_mask_events,external_mask_genes,edge_dropout_edges
1,0.1236910010057111,0.013115592601318513,1.1057540639754264,0.3539986559139785,reference_like,6263,3605,2013,0.11995727325477043,0.2,24.067171500006225,247.30783174908862,49.66389465332031,0.2252892404794693,0.011676599271595478,0.12936577200889587,0.254925936460495,0.1258031576871872,2642043,601,6142,1478,268996,715994
2,0.12225952456074377,0.012928023814193664,1.0933149976115073,0.3731518817204301,reference_like,6263,3605,2013,0.35374915252499306,0.275,24.05682290002005,247.41421694529078,40.162445068359375,0.19423243403434753,0.014833003282546997,0.1204671561717987,0.23962494730949402,0.11942058801651001,2641860,588,5969,1464,272706,715191
3,0.12014376348064791,0.01298856392743126,1.0715519882017566,0.42338709677419356,reference_like,6263,3605,2013,0.5505020129511542,0.35,24.242963399970904,245.5145396955532,28.988460540771484,0.3090134561061859,0.022333355620503426,0.10750149190425873,0.21242332458496094,0.10521779954433441,2638764,564,5742,1496,271080,715556
4,0.10839257894023772,0.012999994199602835,0.9539258364708193,0.5216733870967742,reference_like,6263,3605,2013,0.7007246712918049,0.425,24.393743599997833,243.99698945759718,26.616329193115234,0.3275405764579773,0.02475600503385067,0.09012585133314133,0.1774577796459198,0.08769603818655014,2640357,556,5638,1500,278066,715971
5,0.08876507224575166,0.012786186750858061,0.7597888419705052,0.625,reference_like,6263,3605,2013,0.807072060140185,0.5,24.516858499962837,242.7717237919786,50.69878387451172,0.13732977211475372,0.010943409986793995,0.08369365334510803,0.16408003866672516,0.08074886351823807,2639179,603,6081,1530,283526,716097
6,0.08565027218672537,0.012469675752424424,0.7318059532873092,0.6448252688172043,reference_like,6263,3605,2013,0.8783741400058992,0.5,24.584707900008652,242.1017172222699,57.38187026977539,0.14532440900802612,0.009191950783133507,0.07836996018886566,0.15626807510852814,0.07829637825489044,2642116,562,5718,1479,268433,714944
7,0.08613171740885704,0.012463782733726886,0.7366793347943213,0.634744623655914,reference_like,6263,3605,2013,0.924445635824921,0.5,24.648208099999465,241.4780001796613,61.854270935058594,0.15972335636615753,0.008034930564463139,0.08010545372962952,0.15519031882286072,0.07549428939819336,2640938,598,6084,1510,275416,716748
8,0.08381995654875232,0.012265162902974313,0.7155479154279155,0.6397849462365591,reference_like,6263,3605,2013,0.9535054822059571,0.5,24.725791800010484,240.7202991977582,63.498435974121094,0.16247905790805817,0.007694764528423548,0.07663699984550476,0.15316224098205566,0.07692547887563705,2637165,564,5717,1481,274459,715529
9,0.08427711407984456,0.011973436831706954,0.7230367602840546,0.6362567204301075,reference_like,6263,3605,2013,0.9715567079877375,0.5,24.841975200048182,239.59447475772603,63.70487594604492,0.15752056241035461,0.007711589802056551,0.07625623792409897,0.1501598060131073,0.07432587444782257,2639866,633,6448,1465,258137,716750
10,0.08808878929384294,0.011863714654839808,0.7622507253000813,0.6234879032258065,reference_like,6263,3605,2013,0.9826630931524248,0.5,24.877070699993055,239.2564651915252,61.25044631958008,0.1533210426568985,0.008064838126301765,0.07412964105606079,0.14811021089553833,0.07434475421905518,2639978,551,5601,1444,267278,716382
11,0.08297412145522333,0.011683929591409622,0.7129019075824369,0.6429771505376344,reference_like,6263,3605,2013,0.9894563800333281,0.5,24.983814399980474,238.23423856385403,60.4857292175293,0.14695487916469574,0.00833921693265438,0.07326780259609222,0.14617520570755005,0.07332339137792587,2640496,623,6315,1554,290278,715797
12,0.0824262069598321,0.011615471433727972,0.7081073387976615,0.6434811827956989,reference_like,6263,3605,2013,0.9935965614328778,0.5,25.033298399997875,237.76331448198235,62.89169692993164,0.15285147726535797,0.00773534644395113,0.07500693202018738,0.14692015945911407,0.07233211398124695,2641251,590,5993,1469,273467,716552
13,0.08912414288328539,0.01129443546937358,0.7782970551521547,0.610383064516129,reference_like,6263,3605,2013,0.996114251482986,0.5,25.014137000020128,237.94544660866015,63.512123107910156,0.14935362339019775,0.007696232292801142,0.0724712386727333,0.1432667374610901,0.07121037691831589,2639619,624,6295,1515,272899,715691
14,0.08320569102802584,0.011037402035247895,0.7216828753871303,0.6384408602150538,reference_like,6263,3605,2013,0.9976432360700358,0.5,25.028367599996272,237.8101558649349,64.04469299316406,0.14986273646354675,0.007531321607530117,0.0705021396279335,0.14005067944526672,0.06998605281114578,2641088,593,5989,1509,273297,716797
15,0.07949355388841321,0.010809494813363399,0.686840582278467,0.6535618279569892,reference_like,6263,3605,2013,0.9985710274522737,0.5,25.02815800003009,237.81214742182962,64.06008911132812,0.14663200080394745,0.007539356127381325,0.06926951557397842,0.13825681805610657,0.06939216703176498,2640725,527,5280,1463,275951,714953
16,0.08603633651810308,0.010708221985447791,0.7532811241765176,0.623991935483871,reference_like,6263,3605,2013,0.9991337352500091,0.5,25.04918259999249,237.61254389202242,64.528076171875,0.14888492226600647,0.007354144938290119,0.07072871923446655,0.13738633692264557,0.06709977984428406,2638948,589,5914,1468,267176,716273
17,0.08275734921616892,0.010516954375611197,0.722403928156822,0.6401209677419355,reference_like,6263,3605,2013,0.9994749166456093,0.5,25.077499599952716,237.34423666429737,66.58787536621094,0.1530953049659729,0.006957636680454016,0.0695343017578125,0.13616010546684265,0.06707963347434998,2638849,627,6360,1514,275846,716115
18,0.08365840825342363,0.010368253104388714,0.7329015251128904,0.6300403225806451,reference_like,6263,3605,2013,0.9996817443942284,0.5,25.10989179997705,237.03805844378192,66.86415100097656,0.152985081076622,0.006918236613273621,0.07026484608650208,0.13631920516490936,0.06655383855104446,2642209,573,5808,1473,262573,715328
19,0.08321504126633367,0.010198616422712803,0.7301642414062254,0.6354166666666666,reference_like,6263,3605,2013,0.9998071117333118,0.5,25.147430999961216,236.68421637220834,63.29782485961914,0.13866136968135834,0.007785996422171593,0.06702298671007156,0.13422350585460663,0.06764723360538483,2636749,587,5912,1499,284589,715342
20,0.08556730804904815,0.009913251494928714,0.7565405561077979,0.6246639784946236,reference_like,6263,3605,2013,0.999883097281469,0.5,25.10899779997999,237.04649812844158,64.5789566040039,0.14140598475933075,0.007336917333304882,0.0655517578125,0.13073207437992096,0.06565563380718231,2639230,600,6089,1490,274458,715373
