source_idx,target_idx,support,string_score,wgcna_tom
458,40,both,896.0,0.4736252
1821,1480,both,834.0,0.4593185
345,2929,both,779.0,0.45658442
2035,2356,both,748.0,0.45411736
193,1821,both,758.0,0.45368037
1557,1357,both,766.0,0.45283064
458,2293,both,793.0,0.44934312
239,1360,both,722.0,0.44828343
1821,2435,both,757.0,0.445689
2767,1557,both,832.0,0.44408658
1557,37,both,962.0,0.44384903
1784,385,both,806.0,0.4430945
2278,1480,both,971.0,0.44159946
345,2356,both,987.0,0.44102404
2767,40,both,851.0,0.4398697
1557,1809,both,879.0,0.43879372
1644,2278,both,933.0,0.43848854
1002,2219,both,749.0,0.4371447
334,1357,both,897.0,0.437062
193,1480,both,804.0,0.43530044
2826,1809,both,931.0,0.4340524
673,1557,both,837.0,0.43303597
1897,2929,both,853.0,0.43210655
738,1953,both,999.0,0.4315737
2718,326,both,740.0,0.43075687
37,2193,both,710.0,0.4305814
1821,1304,both,787.0,0.4304423
467,1955,both,825.0,0.42947343
781,37,both,727.0,0.42740774
872,2034,both,999.0,0.42703688
2568,345,both,990.0,0.4264517
1805,2566,both,709.0,0.42581955
1002,2398,both,800.0,0.42496952
2494,2713,both,989.0,0.424655
2718,101,both,701.0,0.42412367
2494,1113,both,983.0,0.42389414
2193,1360,both,746.0,0.4237376
1053,1771,both,754.0,0.42117044
494,1357,both,949.0,0.41844413
2278,2435,both,803.0,0.41832396
2616,1506,both,791.0,0.4180223
2718,1657,both,719.0,0.4175432
1557,1751,both,729.0,0.4171526
650,1657,both,932.0,0.41713297
316,2142,both,999.0,0.41614905
37,1954,both,804.0,0.41614664
1581,345,both,822.0,0.41598582
1053,1784,both,771.0,0.41555384
2826,1480,both,782.0,0.41555244
186,1480,both,786.0,0.41442117
101,2483,both,734.0,0.4139803
2582,2219,both,899.0,0.4139333
2753,303,both,852.0,0.41381755
345,2278,both,968.0,0.4129588
611,2680,both,961.0,0.41247478
1788,685,both,777.0,0.41188076
467,438,both,739.0,0.41128084
1002,1762,both,999.0,0.41125733
821,52,both,742.0,0.41087425
2494,963,both,988.0,0.41021416
2073,598,both,738.0,0.40972206
1581,2057,both,740.0,0.4096265
2494,345,both,801.0,0.40948975
345,1644,both,993.0,0.40943742
1955,101,both,974.0,0.40922618
2414,2097,both,735.0,0.4078145
914,385,both,780.0,0.40697357
1644,1542,both,944.0,0.40680957
411,2373,both,995.0,0.40669343
2494,1027,both,965.0,0.4065924
685,2257,both,708.0,0.4065893
1924,316,both,892.0,0.40600857
781,1557,both,746.0,0.40567237
1924,2142,both,997.0,0.40560192
57,403,both,726.0,0.40548566
403,1360,both,794.0,0.40516847
1488,791,both,726.0,0.40504053
1850,52,both,741.0,0.40353572
1805,2191,both,917.0,0.40342698
1657,316,both,805.0,0.40286186
1557,707,both,831.0,0.4027045
40,2193,both,864.0,0.40227005
562,1140,both,701.0,0.402166
1713,1936,both,989.0,0.40200415
2826,685,both,913.0,0.4018804
1557,2193,both,769.0,0.40186676
1488,1113,both,983.0,0.40177822
2435,1480,both,998.0,0.40159515
2043,2929,both,883.0,0.40159506
1954,1751,both,820.0,0.40144268
2435,1304,both,988.0,0.40121728
1329,1357,both,999.0,0.40110305
469,821,both,999.0,0.40095586
467,101,both,999.0,0.40035206
0,2498,both,715.0,0.40014598
1850,2379,both,917.0,0.3993165
1557,1954,both,941.0,0.39927053
1748,1488,both,999.0,0.3991059
2494,185,both,966.0,0.398214
1709,0,both,975.0,0.3979763
1488,2713,both,961.0,0.3979752
897,1809,both,834.0,0.397394
962,1173,both,998.0,0.39687723
1850,130,both,748.0,0.39640635
1706,2929,both,921.0,0.39628643
1304,1480,both,985.0,0.3962463
2494,1517,both,912.0,0.39589885
0,1113,both,844.0,0.39578807
692,1552,both,726.0,0.39538693
650,2163,both,904.0,0.39500874
1488,345,both,972.0,0.3944155
821,56,both,907.0,0.3939249
2043,2356,both,997.0,0.39391574
1488,1876,both,986.0,0.39381853
1784,914,both,922.0,0.3935474
1488,2498,both,758.0,0.3930505
0,345,both,792.0,0.3925278
1488,38,both,758.0,0.39248887
161,1479,both,985.0,0.3923994
