source,target,source_idx,target_idx,in_string,in_wgcna,string_score,wgcna_tom,support
PPIG,SRRM1,458,40,True,True,896.0,0.4736252,both
MARK2,YWHAZ,1821,1480,True,True,834.0,0.4593185,both
RPS27A,XIAP,345,2929,True,True,779.0,0.45658442,both
KDM2B,USP7,2035,2356,True,True,748.0,0.45411736,both
ARHGEF2,MARK2,193,1821,True,True,758.0,0.45368037,both
HNRNPK,WASL,1557,1357,True,True,766.0,0.45283064,both
PPIG,SLTM,458,2293,True,True,793.0,0.44934312,both
IPO9,TNPO3,239,1360,True,True,722.0,0.44828343,both
MARK2,YWHAE,1821,2435,True,True,757.0,0.445689,both
CTNNBL1,HNRNPK,2767,1557,True,True,832.0,0.44408658,both
HNRNPK,HNRNPR,1557,37,True,True,962.0,0.44384903,both
COPB1,TGOLN2,1784,385,True,True,806.0,0.4430945,both
USP8,YWHAZ,2278,1480,True,True,971.0,0.44159946,both
RPS27A,USP7,345,2356,True,True,987.0,0.44102404,both
CTNNBL1,SRRM1,2767,40,True,True,851.0,0.4398697,both
HNRNPK,SPI1,1557,1809,True,True,879.0,0.43879372,both
STAM,USP8,1644,2278,True,True,933.0,0.43848854,both
PPP2CA,PPP4R3A,1002,2219,True,True,749.0,0.4371447,both
RHOQ,WASL,334,1357,True,True,897.0,0.437062,both
ARHGEF2,YWHAZ,193,1480,True,True,804.0,0.43530044,both
ITGB2,SPI1,2826,1809,True,True,931.0,0.4340524,both
CNBP,HNRNPK,673,1557,True,True,837.0,0.43303597,both
TNFRSF1A,XIAP,1897,2929,True,True,853.0,0.43210655,both
EIF4A2,EIF4B,738,1953,True,True,999.0,0.4315737,both
CSNK2A1,MTA3,2718,326,True,True,740.0,0.43075687,both
HNRNPR,SRSF5,37,2193,True,True,710.0,0.4305814,both
MARK2,YWHAG,1821,1304,True,True,787.0,0.4304423,both
ATF2,ATF7,467,1955,True,True,825.0,0.42947343,both
DHX15,HNRNPR,781,37,True,True,727.0,0.42740774,both
ANAPC10,ANAPC5,872,2034,True,True,999.0,0.42703688,both
NPLOC4,RPS27A,2568,345,True,True,990.0,0.4264517,both
AMBRA1,RPTOR,1805,2566,True,True,709.0,0.42581955,both
PPP2CA,RBL2,1002,2398,True,True,800.0,0.42496952,both
AATF,RPS9,2494,2713,True,True,989.0,0.424655,both
CSNK2A1,JUN,2718,101,True,True,701.0,0.42412367,both
AATF,RPS18,2494,1113,True,True,983.0,0.42389414,both
SRSF5,TNPO3,2193,1360,True,True,746.0,0.4237376,both
CANX,STIM1,1053,1771,True,True,754.0,0.42117044,both
ABI2,WASL,494,1357,True,True,949.0,0.41844413,both
USP8,YWHAE,2278,2435,True,True,803.0,0.41832396,both
MBD2,PHF20L1,2616,1506,True,True,791.0,0.4180223,both
CSNK2A1,KIF5B,2718,1657,True,True,719.0,0.4175432,both
HNRNPK,TIAL1,1557,1751,True,True,729.0,0.4171526,both
GSK3B,KIF5B,650,1657,True,True,932.0,0.41713297,both
STRN,STRN3,316,2142,True,True,999.0,0.41614905,both
HNRNPR,PCBP2,37,1954,True,True,804.0,0.41614664,both
RAD23B,RPS27A,1581,345,True,True,822.0,0.41598582,both
CANX,COPB1,1053,1784,True,True,771.0,0.41555384,both
ITGB2,YWHAZ,2826,1480,True,True,782.0,0.41555244,both
TPM3,YWHAZ,186,1480,True,True,786.0,0.41442117,both
JUN,SUZ12,101,2483,True,True,734.0,0.4139803,both
PPP4R1,PPP4R3A,2582,2219,True,True,899.0,0.4139333,both
ASXL1,ASXL2,2753,303,True,True,852.0,0.41381755,both
RPS27A,USP8,345,2278,True,True,968.0,0.4129588,both
DCP1A,LSM14A,611,2680,True,True,961.0,0.41247478,both
PIK3C2A,PIK3CB,1788,685,True,True,777.0,0.41188076,both
ATF2,EPC2,467,438,True,True,739.0,0.41128084,both
PPP2CA,PPP2R2D,1002,1762,True,True,999.0,0.41125733,both
HNRNPD,SRSF4,821,52,True,True,742.0,0.41087425,both
AATF,RPS23,2494,963,True,True,988.0,0.41021416,both
AKAP11,PRKAR2A,2073,598,True,True,738.0,0.40972206,both
RAD23B,RPL21,1581,2057,True,True,740.0,0.4096265,both
AATF,RPS27A,2494,345,True,True,801.0,0.40948975,both
RPS27A,STAM,345,1644,True,True,993.0,0.40943742,both
ATF7,JUN,1955,101,True,True,974.0,0.40922618,both
IST1,VPS36,2414,2097,True,True,735.0,0.4078145,both
GOLPH3,TGOLN2,914,385,True,True,780.0,0.40697357,both
STAM,UBAP1,1644,1542,True,True,944.0,0.40680957,both
CCDC93,VPS35L,411,2373,True,True,995.0,0.40669343,both
AATF,RPS14,2494,1027,True,True,965.0,0.4065924,both
PIK3CB,PLCB2,685,2257,True,True,708.0,0.4065893,both
FGFR1OP2,STRN,1924,316,True,True,892.0,0.40600857,both
DHX15,HNRNPK,781,1557,True,True,746.0,0.40567237,both
FGFR1OP2,STRN3,1924,2142,True,True,997.0,0.40560192,both
KPNA6,RANBP2,57,403,True,True,726.0,0.40548566,both
RANBP2,TNPO3,403,1360,True,True,794.0,0.40516847,both
EIF3E,RPL9,1488,791,True,True,726.0,0.40504053,both
PCF11,SRSF4,1850,52,True,True,741.0,0.40353572,both
AMBRA1,DCAF5,1805,2191,True,True,917.0,0.40342698,both
KIF5B,STRN,1657,316,True,True,805.0,0.40286186,both
HNRNPK,KPNA4,1557,707,True,True,831.0,0.4027045,both
SRRM1,SRSF5,40,2193,True,True,864.0,0.40227005,both
TOP2B,ZNF451,562,1140,True,True,701.0,0.402166,both
PCGF5,YAF2,1713,1936,True,True,989.0,0.40200415,both
ITGB2,PIK3CB,2826,685,True,True,913.0,0.4018804,both
HNRNPK,SRSF5,1557,2193,True,True,769.0,0.40186676,both
EIF3E,RPS18,1488,1113,True,True,983.0,0.40177822,both
YWHAE,YWHAZ,2435,1480,True,True,998.0,0.40159515,both
UBC,XIAP,2043,2929,True,True,883.0,0.40159506,both
PCBP2,TIAL1,1954,1751,True,True,820.0,0.40144268,both
YWHAE,YWHAG,2435,1304,True,True,988.0,0.40121728,both
ARPC1B,WASL,1329,1357,True,True,999.0,0.40110305,both
HNRNPA3,HNRNPD,469,821,True,True,999.0,0.40095586,both
ATF2,JUN,467,101,True,True,999.0,0.40035206,both
ISG15,RPL19,0,2498,True,True,715.0,0.40014598,both
PCF11,RBBP6,1850,2379,True,True,917.0,0.3993165,both
HNRNPK,PCBP2,1557,1954,True,True,941.0,0.39927053,both
EIF3A,EIF3E,1748,1488,True,True,999.0,0.3991059,both
AATF,RPS27,2494,185,True,True,966.0,0.398214,both
IFIT2,ISG15,1709,0,True,True,975.0,0.3979763,both
EIF3E,RPS9,1488,2713,True,True,961.0,0.3979752,both
IRF2,SPI1,897,1809,True,True,834.0,0.397394,both
ATG10,ATG5,962,1173,True,True,998.0,0.39687723,both
PCF11,RPAP2,1850,130,True,True,748.0,0.39640635,both
PTEN,XIAP,1706,2929,True,True,921.0,0.39628643,both
YWHAG,YWHAZ,1304,1480,True,True,985.0,0.3962463,both
AATF,PUM3,2494,1517,True,True,912.0,0.39589885,both
ISG15,RPS18,0,1113,True,True,844.0,0.39578807,both
ATR,SMC5,692,1552,True,True,726.0,0.39538693,both
GSK3B,NIN,650,2163,True,True,904.0,0.39500874,both
EIF3E,RPS27A,1488,345,True,True,972.0,0.3944155,both
