gene_idx,gene
0,ISG15
1,GNB1
2,SKI
3,CAMTA1
4,SLC2A5
5,MIR34AHG
6,PIK3CD
7,CLSTN1
8,UBE4B
9,KIF1B
10,PEX14
11,TNFRSF1B
12,VPS13D
13,DHRS3
14,PRDM2
15,KAZN
16,TMEM51
17,DDI2
18,PLEKHM2
19,SPEN
20,FBXO42
21,PADI2
22,RCC2
23,ARHGEF10L
24,IGSF21
25,UBR4
26,CAPZB
27,MICOS10
28,LINC01141
29,HP1BP3
30,USP48
31,CDC42
32,C1QA
33,C1QC
34,C1QB
35,EPHB2
36,LUZP1
37,HNRNPR
38,RPL11
39,SRSF10
40,SRRM1
41,RSRP1
42,MACO1
43,MAN1C1
44,RPS6KA1
45,ARID1A
46,WASF2
47,STX12
48,EYA3
49,PTAFR
50,PHACTR4
51,EPB41
52,SRSF4
53,LAPTM5
54,PUM1
55,PTP4A2
56,KHDRBS1
57,KPNA6
58,ZBTB8OS
59,RBBP4
60,S100PBP
61,PHC2
62,ZMYM6
63,SFPQ
64,ZMYM4
65,KIAA0319L
66,AGO4
67,AGO3
68,THRAP3
69,CSF3R
70,INPP5B
71,MACF1
72,PABPC4
73,CAP1
74,RLF
75,SMAP2
76,NFYC
77,SCMH1
78,HIVEP3
79,FOXJ3
80,ST3GAL3
81,ERI3
82,RPS8
83,EIF2B3
84,PRDX1
85,GPBP1L1
86,MAST2
87,MKNK1
88,TAL1
89,SPATA6
90,AGBL4
91,FAF1
92,EPS15
93,OSBPL9
94,NRDC
95,TUT4
96,ZYG11B
97,SCP2
98,USP24
99,DAB1
100,MYSM1
101,JUN
102,FGGY
103,NFIA
104,TM2D1
105,DOCK7
106,ATG4C
107,JAK1
108,PDE4B
109,MIER1
110,GADD45A
111,LRRC7
112,SRSF11
113,ANKRD13C
114,ZRANB2
115,NEGR1
116,ST6GALNAC3
117,AC118549.1
118,USP33
119,MIGA1
120,FUBP1
121,IFI44L
122,IFI44
123,PRKACB
124,SH3GLB1
125,HS2ST1
126,PKN2
127,LRRC8C
128,LRRC8D
129,ZNF644
130,RPAP2
131,EVI5
132,RPL5
133,DIPK1A
134,MTF2
135,CCDC18-AS1
136,FNBP1L
137,BCAR3
138,PTBP2
139,DPYD
140,CDC14A
141,SLC30A7
142,RNPC3
143,FAM102B
144,PRPF38B
145,STXBP3
146,SORT1
147,GNAI3
148,CD53
149,DRAM2
150,CEPT1
151,C1orf162
152,TMIGD3
153,RAP1A
154,CTTNBP2NL
155,WNT2B
156,CAPZA1
157,SLC16A1-AS1
158,MAGI3
159,OLFML3
160,TRIM33
161,CSDE1
162,CD58
163,MAN1A2
164,GDAP2
165,NOTCH2
166,SRGAP2C
167,LINC02798
168,SRGAP2B
169,RNF115
170,TXNIP
171,AC245297.3
172,FCGR1A
173,VPS45
174,PLEKHO1
175,RPRD2
176,ENSA
177,CTSS
178,ARNT
179,CDC42SE1
180,PIP5K1A
181,POGZ
182,SNX27
183,S100A4
184,GATAD2B
185,RPS27
186,TPM3
187,IL6R
188,ADAR
189,ASH1L
190,YY1AP1
191,DAP3
192,GON4L
193,ARHGEF2
194,ARHGEF11
195,IFI16
196,DCAF8
197,COPA
198,CD84
199,FCGR2A
200,FCGR3A
201,ATF6
202,POU2F1
