dataset_id,collection_id,collection_name,dataset_title,organism,dataset_total_cell_count,matched_cell_count,n_donors_or_samples,n_microglia_or_cns_macrophage_cells,tissue_terms,disease_terms,cell_type_terms,has_ad_or_dementia,has_control_or_normal,has_brain_or_cns,has_microglia_or_cns_macrophage,has_donor_metadata,dataset_h5ad_path,relevance_score,recommended_role,download_recommendation,notes
37a17b78-4864-4a42-b67b-31c00962795a,84ce6837-548d-4a1f-919f-0bc0d9a3952f,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,MSSM_Cohort,Homo sapiens,4140453,4140453,1042,202952,brain,Parkinson disease; dementia; multiple sclerosis; normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,True,True,True,True,True,37a17b78-4864-4a42-b67b-31c00962795a.h5ad,26,clean_external_holdout_candidate,metadata/schema first; defer H5AD until v3 architecture/training is frozen,keep untouched by training/model selection unless explicitly reclassified
5e57cd50-8e42-42d6-940d-5c1660d06864,84ce6837-548d-4a1f-919f-0bc0d9a3952f,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,RADC_Cohort,Homo sapiens,693682,693682,152,30764,brain,dementia; normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,True,True,True,True,True,5e57cd50-8e42-42d6-940d-5c1660d06864.h5ad,26,clean_external_holdout_candidate,metadata/schema first; defer H5AD until v3 architecture/training is frozen,keep untouched by training/model selection unless explicitly reclassified
cff99df2-4904-44f7-9173-ff837f95606e,0d35c0fd-ef0b-4b70-bce6-645a4660e5fa,Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons,all cells,Homo sapiens,424528,424528,46,5071,brain,Alzheimer disease; normal,astrocyte; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,True,True,True,True,True,cff99df2-4904-44f7-9173-ff837f95606e.h5ad,26,clean_external_holdout_candidate,metadata/schema first; defer H5AD until v3 architecture/training is frozen,keep untouched by training/model selection unless explicitly reclassified
203025fe-fa99-4d57-81da-458ed8f0c334,433700dc-e8a5-48b0-b5cd-beb22f3f88fe,Brain vascular single-cell multi-omics elucidates disease risk associations,Brain vascular single-cell multi-omics elucidates disease risk associations - snRNA-seq,Homo sapiens,65479,65479,30,10092,brain,Alzheimer disease; normal,astrocyte; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,True,True,True,True,True,203025fe-fa99-4d57-81da-458ed8f0c334.h5ad,26,clean_external_holdout_candidate,metadata/schema first; defer H5AD until v3 architecture/training is frozen,keep untouched by training/model selection unless explicitly reclassified
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,7c4552fd-8a6d-4da3-9854-2dfa8baca8bf,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Full Dataset,Homo sapiens,61747,61747,8,2018,brain; prefrontal cortex,Alzheimer disease; normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,True,True,True,True,True,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16.h5ad,26,clean_external_holdout_candidate,metadata/schema first; defer H5AD until v3 architecture/training is frozen,keep untouched by training/model selection unless explicitly reclassified
85c60876-7f35-40c5-a256-7808d84c6ba5,b953c942-f5d8-434f-9da7-e726ba7c1481,Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease,Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease - Excitatory,Homo sapiens,96129,96129,16,0,brain; prefrontal cortex,Alzheimer disease; normal,neuron,True,True,True,False,True,85c60876-7f35-40c5-a256-7808d84c6ba5.h5ad,22,external_projection_stress_test,do not download until reviewed,metadata candidate from CELLxGENE Census
15e0ec3e-a05f-4cd8-8624-96448f5a2b58,7c4552fd-8a6d-4da3-9854-2dfa8baca8bf,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Oligodendrocytes,Homo sapiens,24342,24342,8,0,brain; prefrontal cortex,Alzheimer disease; normal,oligodendrocyte,True,True,True,False,True,15e0ec3e-a05f-4cd8-8624-96448f5a2b58.h5ad,22,external_projection_stress_test,do not download until reviewed,metadata candidate from CELLxGENE Census
38491c97-ce53-43d6-b34a-ef93176c9481,7c4552fd-8a6d-4da3-9854-2dfa8baca8bf,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Astrocytes,Homo sapiens,18890,18890,8,0,brain; prefrontal cortex,Alzheimer disease; normal,astrocyte,True,True,True,False,True,38491c97-ce53-43d6-b34a-ef93176c9481.h5ad,22,external_projection_stress_test,do not download until reviewed,metadata candidate from CELLxGENE Census
fe2eecbc-977a-4aec-9196-f89c3281d11c,7c4552fd-8a6d-4da3-9854-2dfa8baca8bf,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Microglia,Homo sapiens,1621,1621,8,1621,brain; prefrontal cortex,Alzheimer disease; normal,microglial cell,True,True,True,True,True,fe2eecbc-977a-4aec-9196-f89c3281d11c.h5ad,22,clean_external_holdout_candidate,metadata/schema first; defer H5AD until v3 architecture/training is frozen,keep untouched by training/model selection unless explicitly reclassified
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,c114c20f-1ef4-49a5-9c2e-d965787fb90c,A human cell atlas of fetal gene expression,Survey of human embryonic development,Homo sapiens,4062980,2843334,14,8975,brain,normal,astrocyte; microglial cell; neuron; oligodendrocyte,False,True,True,True,True,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
