donor_id,source,operator_index,group_cells,eligible_anchor,donor_all_cells,donor_eligible_anchor_cells,donor_observed_operator_count,base_JEPA_group_mass_num,base_JEPA_group_mass_den,D1_P002_group_mass_num,D1_P002_group_mass_den,V2_relational_group_mass_num,V2_relational_group_mass_den,V2_relational_cell_anchor_mass_num,V2_relational_cell_anchor_mass_den,unordered_comparator_pairs_per_anchor,V2_comparator_pair_probability_num,V2_comparator_pair_probability_den
H15.03.003,HVS,0,198,True,12509,12507,24,198,1300936,1,2496,198,1300728,1,1300728,19306,1,19306
H15.03.003,HVS,1,415,True,12509,12507,24,415,1300936,1,2496,415,1300728,1,1300728,85491,1,85491
H15.03.003,HVS,2,62,True,12509,12507,24,62,1300936,1,2496,62,1300728,1,1300728,1830,1,1830
H15.03.003,HVS,3,808,True,12509,12507,24,808,1300936,1,2496,808,1300728,1,1300728,325221,1,325221
H15.03.003,HVS,4,1639,True,12509,12507,24,1639,1300936,1,2496,1639,1300728,1,1300728,1340703,1,1340703
H15.03.003,HVS,5,11,True,12509,12507,24,11,1300936,1,2496,11,1300728,1,1300728,45,1,45
H15.03.003,HVS,6,756,True,12509,12507,24,756,1300936,1,2496,756,1300728,1,1300728,284635,1,284635
H15.03.003,HVS,7,432,True,12509,12507,24,432,1300936,1,2496,432,1300728,1,1300728,92665,1,92665
H15.03.003,HVS,8,312,True,12509,12507,24,312,1300936,1,2496,312,1300728,1,1300728,48205,1,48205
H15.03.003,HVS,9,29,True,12509,12507,24,29,1300936,1,2496,29,1300728,1,1300728,378,1,378
H15.03.003,HVS,10,429,True,12509,12507,24,429,1300936,1,2496,429,1300728,1,1300728,91378,1,91378
H15.03.003,HVS,11,884,True,12509,12507,24,884,1300936,1,2496,884,1300728,1,1300728,389403,1,389403
H15.03.003,HVS,12,62,True,12509,12507,24,62,1300936,1,2496,62,1300728,1,1300728,1830,1,1830
H15.03.003,HVS,13,7,True,12509,12507,24,7,1300936,1,2496,7,1300728,1,1300728,15,1,15
H15.03.003,HVS,14,453,True,12509,12507,24,453,1300936,1,2496,453,1300728,1,1300728,101926,1,101926
H15.03.003,HVS,15,116,True,12509,12507,24,116,1300936,1,2496,116,1300728,1,1300728,6555,1,6555
H15.03.003,HVS,16,192,True,12509,12507,24,192,1300936,1,2496,192,1300728,1,1300728,18145,1,18145
H15.03.003,HVS,17,268,True,12509,12507,24,268,1300936,1,2496,268,1300728,1,1300728,35511,1,35511
H15.03.003,HVS,18,1990,True,12509,12507,24,1990,1300936,1,2496,1990,1300728,1,1300728,1977066,1,1977066
H15.03.003,HVS,19,17,True,12509,12507,24,17,1300936,1,2496,17,1300728,1,1300728,120,1,120
H15.03.003,HVS,20,2345,True,12509,12507,24,2345,1300936,1,2496,2345,1300728,1,1300728,2745996,1,2745996
H15.03.003,HVS,21,1068,True,12509,12507,24,1068,1300936,1,2496,1068,1300728,1,1300728,568711,1,568711
H15.03.003,HVS,22,14,True,12509,12507,24,14,1300936,1,2496,14,1300728,1,1300728,78,1,78
H15.03.003,HVS,23,2,False,12509,12507,24,2,1300936,1,2496,0,1300728,0,1300728,0,0,1
H15.03.005,HVS,0,45,True,4495,4495,24,45,467480,1,2496,45,467480,1,467480,946,1,946
H15.03.005,HVS,1,125,True,4495,4495,24,125,467480,1,2496,125,467480,1,467480,7626,1,7626
H15.03.005,HVS,2,4,True,4495,4495,24,4,467480,1,2496,4,467480,1,467480,3,1,3
H15.03.005,HVS,3,208,True,4495,4495,24,208,467480,1,2496,208,467480,1,467480,21321,1,21321
H15.03.005,HVS,4,723,True,4495,4495,24,723,467480,1,2496,723,467480,1,467480,260281,1,260281
H15.03.005,HVS,5,5,True,4495,4495,24,5,467480,1,2496,5,467480,1,467480,6,1,6
H15.03.005,HVS,6,531,True,4495,4495,24,531,467480,1,2496,531,467480,1,467480,140185,1,140185
H15.03.005,HVS,7,34,True,4495,4495,24,34,467480,1,2496,34,467480,1,467480,528,1,528
H15.03.005,HVS,8,29,True,4495,4495,24,29,467480,1,2496,29,467480,1,467480,378,1,378
H15.03.005,HVS,9,15,True,4495,4495,24,15,467480,1,2496,15,467480,1,467480,91,1,91
H15.03.005,HVS,10,188,True,4495,4495,24,188,467480,1,2496,188,467480,1,467480,17391,1,17391
H15.03.005,HVS,11,106,True,4495,4495,24,106,467480,1,2496,106,467480,1,467480,5460,1,5460
H15.03.005,HVS,12,53,True,4495,4495,24,53,467480,1,2496,53,467480,1,467480,1326,1,1326
H15.03.005,HVS,13,13,True,4495,4495,24,13,467480,1,2496,13,467480,1,467480,66,1,66
H15.03.005,HVS,14,92,True,4495,4495,24,92,467480,1,2496,92,467480,1,467480,4095,1,4095
H15.03.005,HVS,15,75,True,4495,4495,24,75,467480,1,2496,75,467480,1,467480,2701,1,2701
H15.03.005,HVS,16,713,True,4495,4495,24,713,467480,1,2496,713,467480,1,467480,253116,1,253116
H15.03.005,HVS,17,141,True,4495,4495,24,141,467480,1,2496,141,467480,1,467480,9730,1,9730
H15.03.005,HVS,18,326,True,4495,4495,24,326,467480,1,2496,326,467480,1,467480,52650,1,52650
H15.03.005,HVS,19,14,True,4495,4495,24,14,467480,1,2496,14,467480,1,467480,78,1,78
H15.03.005,HVS,20,477,True,4495,4495,24,477,467480,1,2496,477,467480,1,467480,113050,1,113050
H15.03.005,HVS,21,537,True,4495,4495,24,537,467480,1,2496,537,467480,1,467480,143380,1,143380
H15.03.005,HVS,22,28,True,4495,4495,24,28,467480,1,2496,28,467480,1,467480,351,1,351
H15.03.005,HVS,23,13,True,4495,4495,24,13,467480,1,2496,13,467480,1,467480,66,1,66
