asset_id,provider,release,region,modality,path,size_bytes,sha256,n_obs,n_vars,donor_count,matrix_open_pass,layers,method_counts,coordinate_fields,section_fields,intended_role,pathology_values_used
sea_ad_ang_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,AnG,snRNA,data/external/v4/sea_ad/multiregion/AnG/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,5326721562,6015e7e9248ad5e4f1f63ce0820f6ea98e1bc429851e82d6a5ef69868d799839,255953,36601,43,True,UMIs,"{""10xMulti"": 255953}",X_scVI;X_umap,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_caudate_rna_all_2025,Allen Institute SEA-AD Open Data on AWS,2025-12-29,Caudate_Nucleus,snRNA,data/external/v4/sea_ad/multiregion/Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,128171432912,be2dc3122b6bed7e4c67330ef509b6d7ddaff022a8dd28f6a578d772daf3f7d5,945918,36601,43,True,UMIs,{},,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_caudate_xenium_combined_2026,Allen Institute SEA-AD Open Data on AWS,2026-01-07,Caudate_Nucleus,Xenium,data/external/v4/sea_ad/xenium/CaH_Xenium.2026-01-07.h5ad,3133846231,8ab8eac92946f55e26aace7f20c8e56027704e3f0bdd92f2609e1a843271432a,1541477,464,10,True,reads,"{""Segmented by boundary stain (ATP1A1+CD45+E-Cadherin)"": 13354, ""Segmented by interior stain (18S)"": 1416909, ""Segmented by nucleus expansion of 5.0\u00b5m"": 111214}",spatial;spatial_cirro,,future_spatial_training_and_evaluation_source,False
sea_ad_fi_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,FI,snRNA,data/external/v4/sea_ad/multiregion/FI/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,5389393159,bc8e32100dbc7377583414f07b946d956b02b186d164441fffed5ac1e53d47f8,259108,36601,41,True,UMIs,"{""10xMulti"": 259108}",X_scVI;X_umap,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_hip_merscope_combined_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-30,HIP,MERSCOPE,data/external/v4/sea_ad/merfish/1444211893_HPF_mapped.h5ad,107711584,0136fbb0650646b6b0e3d4d8759ea29c52d92f17ca5846600fbf24fbd4cb4f21,132120,433,0,True,,"{""Segmented by boundary stain (ATP1A1+CD45+E-Cadherin)"": 885, ""Segmented by interior stain (18S)"": 125829, ""Segmented by nucleus expansion of 5.0\u00b5m"": 5406}",spatial,,future_spatial_training_and_evaluation_source,False
sea_ad_hip_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,HIP,snRNA,data/external/v4/sea_ad/multiregion/HIP/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,4976204965,4320d457052c18435143f3dd2caac3916c9e6180161a309cb53876ddbb871d36,208843,36601,40,True,UMIs,"{""10xMulti"": 208843}",X_scVI;X_umap,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_itg_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,ITG,snRNA,data/external/v4/sea_ad/multiregion/ITG/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,11472832562,e2251622888ace5b6d15f92cb8620d6e8f416cb0ee663c1d8ee87ff84d48cd24,412674,36601,43,True,UMIs,"{""10xV3.1_HT"": 412674}",X_scVI;X_umap,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_lec_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,LEC,snRNA,data/external/v4/sea_ad/multiregion/LEC/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,4241947425,f1e332cc6a742c92fef14e6faf2e5bb088b68885e6eab922929c86428f12c565,182260,36601,34,True,UMIs,"{""10xMulti"": 182260}",X_scVI;X_umap,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_mec_merscope_combined_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-30,MEC,MERSCOPE,data/external/v4/sea_ad/merfish/1444201261_MEC_mapped.h5ad,75877782,612cc24bb15e82c74fa9ef3f9710f355defbb03f7037ba8520b3a71f1674fca8,130345,433,0,True,,"{""Segmented by boundary stain (ATP1A1+CD45+E-Cadherin)"": 1351, ""Segmented by interior stain (18S)"": 117411, ""Segmented by nucleus expansion of 5.0\u00b5m"": 11583}",spatial,,future_spatial_training_and_evaluation_source,False
sea_ad_mec_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,MEC,snRNA,data/external/v4/sea_ad/multiregion/MEC/SEAAD_MEC_RNAseq_final-nuclei.2026-06-22.h5ad,25705658446,7204d0e31ef25eeb68bb8a20a2ae650f533698a1d4e36612387ceddda864d455,970118,36601,81,True,UMIs,"{""10Xv3.1"": 970118}",X_scVI;X_umap,,multiregion_foundation_or_replication_candidate_pending_stage81a2,False
sea_ad_mtg_atac_final_2024,Allen Institute SEA-AD Open Data on AWS,2024-12-06,MTG,snATAC,data/external/v4/sea_ad/snatac/SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad,18260707597,3e6522bff115a49b6ec0e7d307f112bed60e3a67e70e35b9efd6be579b4c9dbb,516389,218882,86,True,,"{""10xATAC_v1.1"": 378271, ""10xMulti"": 138118}",X_MultiVI;X_umap,,regulatory_prior_source,False
sea_ad_mtg_merfish_combined_2024,Allen Institute SEA-AD Open Data on AWS,2024-12-11,MTG,MERFISH,data/external/v4/sea_ad/merfish/SEAAD_MTG_MERFISH.2024-12-11.h5ad,497737587,3e3dac22446a8ce66afd07c209cd74df260b2f3d7c4085ffe4732390d2054a24,1887729,180,27,True,,{},X_spatial_raw;X_spatial_tiled;X_umap;spatial;umap,Section,future_spatial_training_and_evaluation_source,False
sea_ad_mtg_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,MTG,snRNA,data/external/v4/sea_ad/mtg/SEAAD_MTG_RNAseq_final-nuclei.2026-06-22.h5ad,32978570763,e06000cb8fc83ebad88a52a0a7c772747c38fa92c97debcfe4f59de7cea60c79,1178694,36601,84,True,UMIs,"{""10Xv3.1"": 1034671, ""10xMulti"": 144023}",X_scVI;X_umap,,primary_foundation_candidate,False
sea_ad_multiregion_immune_rna_final_2026,Allen Institute SEA-AD Open Data on AWS,2026-06-22,MULTIREGION_10,snRNA,data/external/v4/sea_ad/multiregion/SEAAD_Immune_10-region_RNAseq_final-nuclei.2026-06-22.h5ad,3271409777,2944d9f854d0a52985477cfb831e6fcecb647ad0f3698e32471631d5a9249b9f,240651,36601,84,True,UMIs,"{""10Xv3.1"": 134565, ""10xMulti"": 62314, ""10xV3.1_HT"": 43772}",X_scVI;X_umap,,microglia_specialization_candidate,False
