asset_id,region,decision,download_selected,reason,all_nuclei_metadata_skipped,donor_level_duplicate_matrices_skipped,pathology_firewall_active
sea_ad_ang_rna_final_2026,AnG,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_fi_rna_final_2026,FI,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_hip_rna_final_2026,HIP,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_itg_rna_final_2026,ITG,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_lec_rna_final_2026,LEC,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_mec_rna_final_2026,MEC,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_mtg_rna_final_2026,MTG,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_pfc_a9_rna_final_2026,PFC_A9_DFC,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_stg_rna_final_2026,STG,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
sea_ad_v1c_rna_final_2026,V1C,skip_redundant_metadata_embedded_in_h5ad_obs,False,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,True,True,True
