asset_id,region,csv_column_count,h5ad_obs_column_count,shared_column_count,csv_only_columns,h5ad_only_columns,required_identity_fields,identity_complete_in_h5ad,pathology_values_read
sea_ad_ang_rna_final_2026,AnG,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_fi_rna_final_2026,FI,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_hip_rna_final_2026,HIP,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_itg_rna_final_2026,ITG,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_lec_rna_final_2026,LEC,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_mec_rna_final_2026,MEC,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_mtg_rna_final_2026,MTG,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_pfc_a9_rna_final_2026,PFC_A9_DFC,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_stg_rna_final_2026,STG,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
sea_ad_v1c_rna_final_2026,V1C,131,131,128,Hispanic/Latino;Race (choice=American Indian/ Alaska Native);Race (choice=Black/ African American),Hispanic;Race (choice=American Indian;Race (choice=Black,Brain Region;Donor ID;load_name;method;sample_name,True,False
