evidence_id,lineage,source_path,source_sha256,hash_verified,allowed_model_role,prohibited_claim,preservation_action
stage75_integrated_tf_target,stage75_79_tf_target_graph,results/tables/stage75_integrated_tf_target_summary_v1.csv,996c4e6e6c86dae1f15cbc0970f548d56dfbb69faa43cf7fc93beda8f107f4b5,True,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction,preserve_without_rebuild_or_overwrite
stage75_regulator_summary,stage75_79_tf_target_graph,results/tables/stage75_integrated_regulator_summary_v1.csv,4fa3d182b1d3d903dd7ae95eae0aeac2004f937db2b76eddecf661c04816ae73,True,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction,preserve_without_rebuild_or_overwrite
stage76_signed_edge_coverage,stage75_79_tf_target_graph,results/tables/stage76_perturbation_graph_edge_coverage_v1.csv,f6d1b164567ce736a7f1297e5fb45f5674b31a704b743ea26f7b42e1ffff03e2,True,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction,preserve_without_rebuild_or_overwrite
stage76_regulator_readiness,stage75_79_tf_target_graph,results/tables/stage76_regulator_readiness_v1.csv,a06ac7b01a1ace9e801690d3105034b02d93ea2440dfae28aa161bd0965a761d,True,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction,preserve_without_rebuild_or_overwrite
stage77_scenario_manifest,stage75_79_tf_target_graph,results/tables/stage77_perturbation_scenario_manifest_v1.csv,a9c6a12f064cccc2d8b9b60acc7a73f8e30af8ce36382847cdec9bb5e7a7ef14,True,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction,preserve_without_rebuild_or_overwrite
stage79_control_manifest,stage75_79_tf_target_graph,results/tables/stage79_control_graph_manifest_v1.csv,4118207f5f2794d904b0a41581c069056e1715ff2049f276302119ef737d59e9,True,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction,preserve_without_rebuild_or_overwrite
stage75_integrated_manifest,motif_enhancer_atac_cistarget_evidence,results/reports/stage75_integrated_evidence_manifest_v1.json,3df7fb9b8a4a8ab7a9831c5bd664c787b5541b0b2f97040a864f50a6719c5df8,True,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph,preserve_without_rebuild_or_overwrite
cistarget_rankings,motif_enhancer_atac_cistarget_evidence,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,cf9f5905a1c1ae93c20f62e21b772cc28438ecbb293cf577c5b59b7db62dd685,True,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph,preserve_without_rebuild_or_overwrite
cistarget_scores,motif_enhancer_atac_cistarget_evidence,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,9dfaf815b6f9c923f9161a8148cb973838416510b37446cac447245f20bfe574,True,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph,preserve_without_rebuild_or_overwrite
cistarget_annotations,motif_enhancer_atac_cistarget_evidence,data/external_resources/stage75b/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl,81eb754118e27e854974301b1400fcf519489f8be5249239671fb288cb501c31,True,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph,preserve_without_rebuild_or_overwrite
gse174367_microglia_snrna,motif_enhancer_atac_cistarget_evidence,data/processed/stage75f/gse174367_mg_snrna.csc.h5,8dfbd938d35e83738ce68559c9e0410aaa941d3b262a026812610f77d5ce992c,True,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph,preserve_without_rebuild_or_overwrite
gse174367_microglia_snatac,motif_enhancer_atac_cistarget_evidence,data/processed/stage75f/gse174367_mg_snatac.csc.h5,c9b196f15ab3d1734e18c77154509c079a0ee7d18929a7bc1da7ffdeefeb1e82,True,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph,preserve_without_rebuild_or_overwrite
