dataset_id,study_id,donor_id,sample_id,cell_id,matching_method,fuzzy_matching_used
GSE134577,GSE134577,AD6,GSM3984200,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,AD7,GSM3984204,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,AD8,GSM3984206,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,AD9,GSM3984213,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC10,GSM3984201,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC11,GSM3984202,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC12,GSM3984205,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC13,GSM3984208,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC14,GSM3984209,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC15,GSM3984211,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC16,GSM3984215,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC17,GSM3984216,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,HC9,GSM3984199,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,MCI3,GSM3984203,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,MCI4,GSM3984207,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,MCI5,GSM3984210,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,MCI6,GSM3984212,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE134577,GSE134577,MCI7,GSM3984214,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD1,GSM5494107,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD1,GSM5494108,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD1,GSM5494109,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD2,GSM5494110,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD2,GSM5494111,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD2,GSM5494112,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD3,GSM5494113,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD3,GSM5494114,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,AD3,GSM5494115,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,NC1,GSM5494116,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,NC1,GSM5494117,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,NC1,GSM5494118,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,NC2,GSM5494119,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,NC2,GSM5494120,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE181279,GSE181279,NC2,GSM5494121,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A1,GSM6016346,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A2,GSM6016347,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A4,GSM6016348,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A5,GSM6016349,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A6,GSM6016350,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A7,GSM6016351,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,A8,GSM6016352,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B1,GSM6016353,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B2,GSM6016354,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B3,GSM6016355,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B4,GSM6016356,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B5,GSM6016357,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B6,GSM6016358,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B7,GSM6016359,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,B8,GSM6016360,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C1,GSM6016361,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C2,GSM6016362,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C3,GSM6016363,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C4,GSM6016364,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C5,GSM6016365,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C6,GSM6016366,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,C8,GSM6016367,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D1,GSM6016368,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D2,GSM6016369,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D3,GSM6016370,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D4,GSM6016371,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D5,GSM6016372,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D6,GSM6016373,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,D8,GSM6016374,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E1,GSM6016375,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E2,GSM6016376,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E3,GSM6016377,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E4,GSM6016378,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E5,GSM6016379,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E7,GSM6016380,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,E8,GSM6016381,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F1,GSM6016382,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F2,GSM6016383,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F3,GSM6016384,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F4,GSM6016385,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F6,GSM6016386,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F7,GSM6016387,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,F8,GSM6016388,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G1,GSM6016389,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G2,GSM6016390,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G3,GSM6016391,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G4,GSM6016392,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G5,GSM6016393,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G6,GSM6016394,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G7,GSM6016395,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,G8,GSM6016396,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H1,GSM6016397,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H2,GSM6016398,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H3,GSM6016399,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H4,GSM6016400,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H5,GSM6016401,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H6,GSM6016402,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H7,GSM6016403,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE200164,GSE200164,H8,GSM6016404,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1010,GSM7070308,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1020,GSM7070296,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1028,GSM7070274,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1034,GSM7070277,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1052,GSM7070282,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1055,GSM7070278,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1081,GSM7070273,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1086,GSM7070270,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1092,GSM7070279,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1120,GSM7070280,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1147,GSM7070299,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1154,GSM7070272,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1160,GSM7070281,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1162,GSM7070306,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
GSE226267,GSE226267,1180,GSM7070286,not_expanded_in_acquisition_audit,exact_geo_sample_title_rule,False
