asset_id,study_id,source_authority,source_accession,source_version,file_name,remote_url,remote_size,official_checksum_type,official_checksum,last_modified,destination,selected,required,file_type,title,advertised_cell_count,catalog_first
gse134577_filelist_txt,GSE134577,NCBI_GEO,GSE134577,"Thu, 07 Nov 2019 00:09:33 GMT",filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134577/suppl/filelist.txt,1183,,,"Thu, 07 Nov 2019 00:09:33 GMT",geo/GSE134577/filelist.txt,False,False,txt,living_csf_external_validation_only,,False
gse134577_gse134577_family_soft_gz,GSE134577,NCBI_GEO,GSE134577,"Thu, 30 Jul 2026 05:33:51 GMT",GSE134577_family.soft.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134577/soft/GSE134577_family.soft.gz,3514,,,"Thu, 30 Jul 2026 05:33:51 GMT",geo/GSE134577/GSE134577_family.soft.gz,True,True,geo_soft,living_csf_external_validation_only,,False
gse134577_gse134577_raw_tar,GSE134577,NCBI_GEO,GSE134577,"Thu, 07 Nov 2019 00:09:33 GMT",GSE134577_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134577/suppl/GSE134577_RAW.tar,89190400,,,"Thu, 07 Nov 2019 00:09:33 GMT",geo/GSE134577/GSE134577_RAW.tar,True,True,tar,living_csf_external_validation_only,,False
gse181279_filelist_txt,GSE181279,NCBI_GEO,GSE181279,"Tue, 03 Aug 2021 19:23:23 GMT",filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/filelist.txt,1094,,,"Tue, 03 Aug 2021 19:23:23 GMT",geo/GSE181279/filelist.txt,False,False,txt,living_blood_independent_validation_only,,False
gse181279_gse181279_barcodes_tsv_gz,GSE181279,NCBI_GEO,GSE181279,"Wed, 21 Jul 2021 13:42:56 GMT",GSE181279_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_barcodes.tsv.gz,183425,,,"Wed, 21 Jul 2021 13:42:56 GMT",geo/GSE181279/GSE181279_barcodes.tsv.gz,True,True,gz,living_blood_independent_validation_only,,False
gse181279_gse181279_family_soft_gz,GSE181279,NCBI_GEO,GSE181279,"Sun, 24 May 2026 04:31:40 GMT",GSE181279_family.soft.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/soft/GSE181279_family.soft.gz,3798,,,"Sun, 24 May 2026 04:31:40 GMT",geo/GSE181279/GSE181279_family.soft.gz,True,True,geo_soft,living_blood_independent_validation_only,,False
gse181279_gse181279_features_tsv_gz,GSE181279,NCBI_GEO,GSE181279,"Wed, 21 Jul 2021 13:43:11 GMT",GSE181279_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_features.tsv.gz,310002,,,"Wed, 21 Jul 2021 13:43:11 GMT",geo/GSE181279/GSE181279_features.tsv.gz,True,True,gz,living_blood_independent_validation_only,,False
gse181279_gse181279_matrix_mtx_gz,GSE181279,NCBI_GEO,GSE181279,"Wed, 21 Jul 2021 13:49:48 GMT",GSE181279_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_matrix.mtx.gz,195150269,,,"Wed, 21 Jul 2021 13:49:48 GMT",geo/GSE181279/GSE181279_matrix.mtx.gz,True,True,gz,living_blood_independent_validation_only,,False
gse181279_gse181279_raw_tar,GSE181279,NCBI_GEO,GSE181279,"Tue, 03 Aug 2021 19:23:23 GMT",GSE181279_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_RAW.tar,200642560,,,"Tue, 03 Aug 2021 19:23:23 GMT",geo/GSE181279/GSE181279_RAW.tar,False,False,tar,living_blood_independent_validation_only,,False
gse200164_gse200164_counts_csv_gz,GSE200164,NCBI_GEO,GSE200164,"Mon, 04 Apr 2022 21:47:37 GMT",GSE200164_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200164/suppl/GSE200164_counts.csv.gz,1111633291,,,"Mon, 04 Apr 2022 21:47:37 GMT",geo/GSE200164/GSE200164_counts.csv.gz,True,True,gz,living_csf_immune_adapter_and_validation_candidate,,False
