dataset_id,local_processing_allowed,personal_google_drive_storage_allowed,google_cloud_compute_allowed,kaggle_upload_allowed,redistribution_allowed,terms_source,terms_verified,eligibility_status,blocker
GSE134577,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE181279,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE200164,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE226267,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE226602,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE270454,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE292141,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE302937,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
GSE305625,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
HVS,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
NPH52_Abeta,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
NPH52_AbetaTau,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
NPH52_Ctrl,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
gse146639_processed_microglia_archive,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
gse243292_full_dlpfc_h5ad,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_ang_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_caudate_rna_all_2025,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_fi_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_hip_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_itg_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_lec_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_mec_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_mtg_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_pfc_a9_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_stg_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
sea_ad_v1c_rna_final_2026,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
siletti_hbca_all_non_neuronal,verified_allowed,unresolved,unresolved,unresolved,unresolved,source-specific terms require future verification,False,local_only_cloud_unresolved,future cloud bundle blocked pending exact terms verification
