vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,eligible_study_family_fraction,training_donor_measurement_fraction,donor_balanced_detection_rate,donor_balanced_expression_variability,broad_cell_class_coverage,cross_study_rank_stability,missingness_entropy,technical_flags,selection_score,vocabulary_eligible,selection_reason,vocabulary_hash
0,ENSG00000251562,MALAT1,1.0,1.0,0.9998353223947043,0.09348885841353356,1.0,0.9997839333561501,0.0,,0.862780652226851,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1,ENSG00000230590,FTX,1.0,1.0,0.9521342559103446,0.036609681006285345,1.0,0.9625302543262513,0.0,,0.8438508758274733,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
2,ENSG00000127603,MACF1,1.0,1.0,0.9464201178150113,0.022794706441371586,1.0,0.9770691553875298,0.0,,0.841480484522239,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
3,ENSG00000158321,AUTS2,1.0,1.0,0.9479274993583804,0.024335369333637547,1.0,0.9663414056990961,0.0,,0.8414661544175359,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
4,ENSG00000160584,SIK3,1.0,1.0,0.916486870343561,0.06860731189179296,1.0,0.9594006663988169,0.0,,0.8408977895404935,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
5,ENSG00000142599,RERE,1.0,1.0,0.9395163845145538,0.022668475669886792,1.0,0.9698007640478984,0.0,,0.8397182160202925,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
6,ENSG00000184226,PCDH9,1.0,1.0,0.8957871087508256,0.11488149584300549,1.0,0.8984411891299227,0.0,,0.8395360337108546,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
7,ENSG00000151914,DST,1.0,1.0,0.9341698303589457,0.024899510499617587,1.0,0.9525026257235504,0.0,,0.8381032854336562,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
8,ENSG00000163539,CLASP2,1.0,1.0,0.9288579760549047,0.025628826983772047,1.0,0.9657916157847372,0.0,,0.8378094365272464,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
9,ENSG00000117020,AKT3,1.0,1.0,0.9363505481923166,0.01188079129480958,1.0,0.9743174544025861,0.0,,0.8377471766707616,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
10,ENSG00000230876,LINC00486,1.0,1.0,0.8612364203887805,0.16352909581764002,1.0,0.884932463410922,0.0,,0.8375757731516285,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
11,ENSG00000171988,JMJD1C,1.0,1.0,0.9298927327708014,0.02357740484310936,1.0,0.9601065962426756,0.0,,0.8374390236856202,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
12,ENSG00000075151,EIF4G3,1.0,1.0,0.9214242813397074,0.028763172428223665,1.0,0.9622215061423591,0.0,,0.8365897790803605,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
13,ENSG00000175161,CADM2,1.0,1.0,0.8840091340468536,0.12055868458714065,1.0,0.8699375332476982,0.0,,0.8364369057246201,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
14,ENSG00000185565,LSAMP,1.0,1.0,0.8753242090617018,0.12477684231856116,1.0,0.8812307108699478,0.0,,0.8357665904573119,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
15,ENSG00000157827,FMNL2,1.0,1.0,0.9008420417314902,0.04835701877442832,1.0,0.9611100508219693,0.0,,0.8351428828466285,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
16,ENSG00000100354,TNRC6B,1.0,1.0,0.9218008606826319,0.015691873261122282,1.0,0.9691648208738215,0.0,,0.8351358295651798,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
17,ENSG00000049618,ARID1B,1.0,1.0,0.9255292126198458,0.011384506659111325,1.0,0.963531072884339,0.0,,0.8349708499536882,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
18,ENSG00000244754,N4BP2L2,1.0,1.0,0.9162383157624072,0.019530218857682958,1.0,0.9745874953182807,0.0,,0.8348504523346301,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
19,ENSG00000169398,PTK2,1.0,1.0,0.9213612697636835,0.012948125866919407,1.0,0.965304712366822,0.0,,0.8344548818150052,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
20,ENSG00000187391,MAGI2,1.0,1.0,0.9036893985550946,0.05766560584897939,1.0,0.904753167049206,0.0,,0.8341537759011404,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
21,ENSG00000124788,ATXN1,1.0,1.0,0.9074763068135777,0.032925086093642995,1.0,0.9509607906441171,0.0,,0.8338246378771842,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
22,ENSG00000186153,WWOX,1.0,1.0,0.9013136902660247,0.03145648111594452,1.0,0.9784028160971413,0.0,,0.8337574510807182,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
23,ENSG00000112531,QKI,1.0,1.0,0.8888891898939005,0.04987334113773991,1.0,0.9703008177981158,0.0,,0.8334185014343126,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
24,ENSG00000115310,RTN4,1.0,1.0,0.8946720439357705,0.03886225356219568,1.0,0.9749307435249923,0.0,,0.8332922173464393,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
25,ENSG00000171723,GPHN,1.0,1.0,0.912831254104168,0.02015268069999513,1.0,0.9371985229194583,0.0,,0.8323893629312105,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
26,ENSG00000100201,DDX17,1.0,1.0,0.8965810354572991,0.022673280976079485,1.0,0.9879030456419504,0.0,,0.8320369494810509,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
27,ENSG00000113448,PDE4D,1.0,1.0,0.8788711145233313,0.07579962996762828,1.0,0.9072441111774113,0.0,,0.8317052594785527,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
28,ENSG00000084676,NCOA1,1.0,1.0,0.9023294263821917,0.025401482569918633,1.0,0.9496130892005272,0.0,,0.8316623744122041,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
29,ENSG00000156639,ZFAND3,1.0,1.0,0.9038483045100842,0.01274802992605531,1.0,0.9640569123326606,0.0,,0.8308606410125258,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
30,ENSG00000152061,RABGAP1L,1.0,1.0,0.9039158048224986,0.013180609683205094,1.0,0.9599063946854628,0.0,,0.830729851889245,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
31,ENSG00000144036,EXOC6B,1.0,1.0,0.8987436004716359,0.024102910925813865,1.0,0.9486719266275243,0.0,,0.8307126614723782,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
32,ENSG00000151474,FRMD4A,1.0,1.0,0.88390108857992,0.052274217365199244,1.0,0.9291474632856795,0.0,,0.8306891966265472,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
33,ENSG00000204406,MBD5,1.0,1.0,0.9013371028936663,0.02047703192161861,1.0,0.9458573810260863,0.0,,0.8305702101791155,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
34,ENSG00000177200,CHD9,1.0,1.0,0.8989513639036173,0.015641685763322474,1.0,0.9686518370314134,0.0,,0.8305329833457998,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
35,ENSG00000128512,DOCK4,1.0,1.0,0.8764690838553988,0.048068822187756904,1.0,0.965371281613005,0.0,,0.8304420085780015,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
36,ENSG00000115464,USP34,1.0,1.0,0.9016553195119501,0.011877919130477609,1.0,0.9660372430746416,0.0,,0.8303936995999334,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
37,ENSG00000131374,TBC1D5,1.0,1.0,0.8966622106844864,0.017706373822427224,1.0,0.9675480935553424,0.0,,0.8303195937335016,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
38,ENSG00000075292,ZNF638,1.0,1.0,0.8933209361519509,0.02134693923664799,1.0,0.9651251359884658,0.0,,0.8300555597896848,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
39,ENSG00000140262,TCF12,1.0,1.0,0.8920751688768656,0.013097610498054059,1.0,0.989719295404482,0.0,,0.8298402406821395,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
40,ENSG00000157985,AGAP1,1.0,1.0,0.8816736917147283,0.03497772657054152,1.0,0.9566565874060096,0.0,,0.8292369125415318,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
41,ENSG00000115355,CCDC88A,1.0,1.0,0.880153092964557,0.04058747702604263,1.0,0.9468125034893607,0.0,,0.8292219018699601,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
42,ENSG00000123066,MED13L,1.0,1.0,0.8978315203344603,0.01054133992306768,1.0,0.9605455050296774,0.0,,0.8291582861997199,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
43,ENSG00000185104,FAF1,1.0,1.0,0.8914645492555229,0.02072757172455257,1.0,0.9540039629758684,0.0,,0.829039107583734,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
44,ENSG00000196712,NF1,1.0,1.0,0.8901560155852621,0.017478333933728194,1.0,0.9599804561278221,0.0,,0.8286069393556827,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
45,ENSG00000116539,ASH1L,1.0,1.0,0.893206884374732,0.012624531813189647,1.0,0.9589590532772921,0.0,,0.8284594005399428,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
46,ENSG00000054523,KIF1B,1.0,1.0,0.8842579325211108,0.033451559173961094,1.0,0.934517577964798,0.0,,0.8284327813885396,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
47,ENSG00000128585,MKLN1,1.0,1.0,0.8931417324118062,0.010240703340122632,1.0,0.9651744311210909,0.0,,0.8284076022001652,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
48,ENSG00000090905,TNRC6A,1.0,1.0,0.8988069024685233,0.009920332861500132,1.0,0.9415384402001653,0.0,,0.8283117354872918,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
49,ENSG00000168702,LRP1B,1.0,1.0,0.8554640455226367,0.10467718611474945,1.0,0.8560427845298526,0.0,,0.8281086734939668,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
50,ENSG00000171735,CAMTA1,1.0,1.0,0.8820376953094042,0.030156672589678326,1.0,0.9398478003323825,0.0,,0.8277910095896618,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
51,ENSG00000131558,EXOC4,1.0,1.0,0.8876071483832652,0.013581154045603892,1.0,0.9640243220442076,0.0,,0.8277325224411409,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
