split_domain,cohort,study_id,canonical_person_id,split_group_id,split,assignment_method,freeze_seed,pathology_used_for_foundation_split
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1017,NPH52::human_NPH_1017,development,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1020,NPH52::human_NPH_1020,development,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1076,NPH52::human_NPH_1076,development,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1081,NPH52::human_NPH_1081,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_894,NPH52::human_NPH_894,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_998,NPH52::human_NPH_998,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1008,NPH52::human_NPH_1008,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1016,NPH52::human_NPH_1016,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1021,NPH52::human_NPH_1021,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1037,NPH52::human_NPH_1037,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1072,NPH52::human_NPH_1072,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_1074,NPH52::human_NPH_1074,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_899,NPH52::human_NPH_899,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_908,NPH52::human_NPH_908,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_925,NPH52::human_NPH_925,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_946,NPH52::human_NPH_946,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_949,NPH52::human_NPH_949,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_990,NPH52::human_NPH_990,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_Abeta,NPH52,NPH52::human_NPH_996,NPH52::human_NPH_996,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_1049,NPH52::human_NPH_1049,development,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_1059,NPH52::human_NPH_1059,development,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_1036,NPH52::human_NPH_1036,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_879,NPH52::human_NPH_879,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_1065,NPH52::human_NPH_1065,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_922,NPH52::human_NPH_922,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_932,NPH52::human_NPH_932,train,sha256_seeded_stable_group_allocation,8102,False
continuation,NPH_AbetaTau,NPH52,NPH52::human_NPH_993,NPH52::human_NPH_993,train,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H17.03.015,HVS::H17.03.015,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H17.06.013,HVS::H17.06.013,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H17.26.003,HVS::H17.26.003,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H18.03.317,HVS::H18.03.317,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H18.03.319,HVS::H18.03.319,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H18.06.365,HVS::H18.06.365,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H18.26.001,HVS::H18.26.001,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H20.03.303,HVS::H20.03.303,development,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H16.06.010,HVS::H16.06.010,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H16.06.011,HVS::H16.06.011,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H17.03.007,HVS::H17.03.007,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H17.06.005,HVS::H17.06.005,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H18.03.010,HVS::H18.03.010,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H18.06.371,HVS::H18.06.371,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H19.03.304,HVS::H19.03.304,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H20.26.401,HVS::H20.26.401,sealed_holdout,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H15.03.002,HVS::H15.03.002,train,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H15.03.003,HVS::H15.03.003,train,sha256_seeded_stable_group_allocation,8102,False
foundation,HVS,HVS,HVS::H15.03.005,HVS::H15.03.005,train,sha256_seeded_stable_group_allocation,8102,False
